Analysis Date,Sample,Museum,Sample.ID,Analysis #,Amount (mg),Comments,,PeakArea N (Vs),N quantity (ug),Percent N Accuracy,Percent N Precision,d15N vs Air N2 (permil),d15N Accuracy,d15N Precision,,PeakArea C (Vs),C quantity (ug),Percent C Accuracy,Percent C Precision,d13C vs VPDB (permil),d13C Accuracy,d13C Precision
20190202,1_A12,UWBM,BM_51206,100483,0.317,, ,209.1953,48.2056,-0.061295,0.063322,17.4742,-0.04856,0.023651, ,103.217,132.7419,-0.55485,0.1527,-11.8316,0.034222,0.023196
20190202,1_A5,UWBM,BM_51213,100473,0.312,, ,194.9873,44.9625,-0.061295,0.063322,19.7667,-0.04856,0.023651, ,97.301,125.3317,-0.55485,0.1527,-10.4525,0.034222,0.023196
20190202,1_A1,UWBM,BM_80772,100469,0.311,, ,202.6393,46.7091,-0.061295,0.063322,16.5705,-0.04856,0.023651, ,99.244,127.7654,-0.55485,0.1527,-10.9489,0.034222,0.023196
20190202,1_A6,UWBM,BM_80776,100474,0.312,, ,155.8453,36.0278,-0.061295,0.063322,17.5523,-0.04856,0.023651, ,81.975,106.1348,-0.55485,0.1527,-12.3599,0.034222,0.023196
20190202,1_A4,UWBM,BM_80777,100472,0.31,, ,193.6193,44.6502,-0.061295,0.063322,17.2891,-0.04856,0.023651, ,99.849,128.5232,-0.55485,0.1527,-13.1147,0.034222,0.023196
20190202,1_A9,UWBM,BM_80778,100480,0.306,, ,209.7373,48.3294,-0.061295,0.063322,16.2282,-0.04856,0.023651, ,101.863,131.0459,-0.55485,0.1527,-12.8056,0.034222,0.023196
20190202,1_A10,UWBM,BM_80780,100481,0.301,, ,177.6253,40.9994,-0.061295,0.063322,17.2182,-0.04856,0.023651, ,89.239,115.2334,-0.55485,0.1527,-11.1575,0.034222,0.023196
20190202,1_A11,UWBM,BM_80780_2,100482,0.302,, ,182.1953,42.0425,-0.061295,0.063322,17.2098,-0.04856,0.023651, ,91.031,117.478,-0.55485,0.1527,-11.0196,0.034222,0.023196
20190202,1_A8,UWBM,BM_80782,100476,0.306,, ,200.9113,46.3147,-0.061295,0.063322,17.1076,-0.04856,0.023651, ,98.085,126.3137,-0.55485,0.1527,-11.9114,0.034222,0.023196
20190202,1_A3,UWBM,BM_80783,100471,0.313,, ,202.6833,46.7192,-0.061295,0.063322,16.9459,-0.04856,0.023651, ,100.176,128.9328,-0.55485,0.1527,-13.115,0.034222,0.023196
20190202,1_A7,UWBM,BM_82685,100475,0.312,, ,183.4503,42.329,-0.061295,0.063322,18.71,-0.04856,0.023651, ,92.659,119.5172,-0.55485,0.1527,-13.3727,0.034222,0.023196
20170825,A1,BM,BM_89703,,0.289,81979,,76.559,10.9473,-0.042958,0.37456,17.9496,-0.05524,,,39.93,31.7974,0.44708,1.6161,-12.9255,0.063899,0.042656
20170825,A2,Tray 1,BM_89704,,0.286,34967,,70.728,10.2226,-0.042958,0.37456,17.6144,-0.05524,,,36.675,29.5478,0.44708,1.6161,-11.7364,0.063899,0.042656
20170825,A3,Tray 1,BM_89705,,0.325,80773,,84.891,10.7904,-0.042958,0.37456,16.0765,-0.05524,,,42.563,30.114,0.44708,1.6161,-14.2525,0.063899,0.042656
20170825,A4,Tray 1,BM_89706,,0.307,82372,,91.826,12.3533,-0.042958,0.37456,16.1325,-0.05524,,,47.812,35.7602,0.44708,1.6161,-15.502,0.063899,0.042656
20170825,A5,Tray 1,BM_89707,,0.295,32516,,79.547,11.1418,-0.042958,0.37456,17.6565,-0.05524,,,47.37,36.8748,0.44708,1.6161,-13.9867,0.063899,0.042656
20170825,A6,Tray 1,BM_89708,,0.311,32053,,100.308,13.3176,-0.042958,0.37456,17.39,-0.05524,,,57.366,42.2726,0.44708,1.6161,-13.6494,0.063899,0.042656
20170825,B1,Tray 1,BM_89709,,0.321,81078,,107.753,13.8578,-0.042958,0.37456,15.82,-0.05524,,,54.705,39.0742,0.44708,1.6161,-11.6931,0.063899,0.042656
20170825,B2,Tray 1,BM_89710,,0.304,35001,,99.281,13.4851,-0.042958,0.37456,17.2931,-0.05524,,,51.183,38.6298,0.44708,1.6161,-13.0222,0.063899,0.042656
20170825,B3,Tray 1,BM_89711,,0.309,34988,,90.38,12.0807,-0.042958,0.37456,18.0971,-0.05524,,,51.174,37.9981,0.44708,1.6161,-13.5759,0.063899,0.042656
20170825,B4,Tray 1,BM_89712,,0.314,36047,,95.385,12.5447,-0.042958,0.37456,17.4112,-0.05524,,,51.605,37.7046,0.44708,1.6161,-13.4893,0.063899,0.042656
20170825,B5,Tray 1,BM_89716,,0.306,36047-2,,94.84,12.7993,-0.042958,0.37456,17.4977,-0.05524,,,50.45,37.8337,0.44708,1.6161,-13.2708,0.063899,0.042656
20170825,B6,Tray 1,BM_89717,,0.301,34969,,100.4,13.7726,-0.042958,0.37456,17.8641,-0.05524,,,52.807,40.2394,0.44708,1.6161,-12.7282,0.063899,0.042656
20170825,C1,Tray 1,BM_89718,,0.307,34990,,102.448,13.7781,-0.042958,0.37456,16.6915,-0.05524,,,53.19,39.7361,0.44708,1.6161,-13.3393,0.063899,0.042656
20170825,C2,Tray 1,BM_89719,,0.307,34983,,99.21,13.3438,-0.042958,0.37456,17.2987,-0.05524,,,54.408,40.6366,0.44708,1.6161,-13.0433,0.063899,0.042656
20170825,C3,Tray 1,BM_89720,,0.319,20225,,92.181,11.9345,-0.042958,0.37456,16.971,-0.05524,,,48.731,35.0688,0.44708,1.6161,-13.9424,0.063899,0.042656
20170825,C4,Tray 1,BM_89721,,0.318,36045,,84.401,10.9645,-0.042958,0.37456,16.0736,-0.05524,,,43.831,31.6819,0.44708,1.6161,-12.9315,0.063899,0.042656
20170825,C5,Tray 1,BM_89722,,0.309,34997,,102.13,13.6466,-0.042958,0.37456,17.8668,-0.05524,,,54.306,40.2986,0.44708,1.6161,-13.7783,0.063899,0.042656
20170825,C6,Tray 1,BM_89723,,0.315,34989,,99.62,13.0585,-0.042958,0.37456,17.528,-0.05524,,,55.927,40.699,0.44708,1.6161,-13.8377,0.063899,0.042656
20170825,D1,Tray 1,BM_89724,,0.305,80771,,106.2,14.3751,-0.042958,0.37456,16.8483,-0.05524,,,55.886,42.0029,0.44708,1.6161,-12.6808,0.063899,0.042656
20170825,D2,Tray 1,BM_89725,,0.316,32052,,67.467,8.8271,-0.042958,0.37456,16.5873,-0.05524,,,35.186,25.6732,0.44708,1.6161,-12.4009,0.063899,0.042656
20170825,D3,Tray 1,BM_89726,,0.31,82370,,91.245,12.1566,-0.042958,0.37456,17.3424,-0.05524,,,50.14,37.1185,0.44708,1.6161,-14.6915,0.063899,0.042656
20170825,D4,Tray 1,BM_89730,,0.313,82370-2,,95.946,12.6586,-0.042958,0.37456,17.3146,-0.05524,,,52.149,38.2195,0.44708,1.6161,-14.5918,0.063899,0.042656
20170825,D5,Tray 1,BM_89731,,0.311,34991,,90.132,11.9701,-0.042958,0.37456,16.8257,-0.05524,,,52.157,38.4712,0.44708,1.6161,-15.1153,0.063899,0.042656
20170825,D6,Tray 1,BM_89732,,0.306,39398,,114.603,15.4589,-0.042958,0.37456,17.3602,-0.05524,,,59.227,44.3437,0.44708,1.6161,-11.4757,0.063899,0.042656
20170825,A1,Tray 2,BM_89733,,0.303,82371,,96.656,13.1728,-0.042958,0.37456,18.2604,-0.05524,,,52.696,39.8906,0.44708,1.6161,-16.0366,0.063899,0.042656
20170825,A2,Tray 2,BM_89734,,0.304,20228,,97.746,13.2772,-0.042958,0.37456,17.7057,-0.05524,,,50.243,37.928,0.44708,1.6161,-12.8298,0.063899,0.042656
20170825,A3,Tray 2,BM_89735,,0.301,80774,,97.264,13.3436,-0.042958,0.37456,16.8956,-0.05524,,,51.585,39.318,0.44708,1.6161,-13.2114,0.063899,0.042656
20170825,A4,Tray 2,BM_89736,,0.319,34974,,97.818,12.6621,-0.042958,0.37456,17.8851,-0.05524,,,55.139,39.628,0.44708,1.6161,-14.2706,0.063899,0.042656
20170825,A5,Tray 2,BM_89737,,0.306,82369,,100.095,13.5065,-0.042958,0.37456,16.3768,-0.05524,,,55.826,41.8211,0.44708,1.6161,-15.7748,0.063899,0.042656
