Museum,Sample.ID,N quantity (ug),d15N,C quantity (ug),d13C
UWBM,BM_51206,48.2056,17.4742,132.7419,-11.8316
UWBM,BM_51213,44.9625,19.7667,125.3317,-10.4525
UWBM,BM_80772,46.7091,16.5705,127.7654,-10.9489
UWBM,BM_80776,36.0278,17.5523,106.1348,-12.3599
UWBM,BM_80777,44.6502,17.2891,128.5232,-13.1147
UWBM,BM_80778,48.3294,16.2282,131.0459,-12.8056
UWBM,BM_80780,40.9994,17.2182,115.2334,-11.1575
UWBM,BM_80780_2,42.0425,17.2098,117.478,-11.0196
UWBM,BM_80782,46.3147,17.1076,126.3137,-11.9114
UWBM,BM_80783,46.7192,16.9459,128.9328,-13.115
UWBM,BM_82685,42.329,18.71,119.5172,-13.3727
UWBM,BM_89703,10.9473,17.9496,31.7974,-12.9255
UWBM,BM_89704,10.2226,17.6144,29.5478,-11.7364
UWBM,BM_89705,10.7904,16.0765,30.114,-14.2525
UWBM,BM_89706,12.3533,16.1325,35.7602,-15.502
UWBM,BM_89707,11.1418,17.6565,36.8748,-13.9867
UWBM,BM_89708,13.3176,17.39,42.2726,-13.6494
UWBM,BM_89709,13.8578,15.82,39.0742,-11.6931
UWBM,BM_89710,13.4851,17.2931,38.6298,-13.0222
UWBM,BM_89711,12.0807,18.0971,37.9981,-13.5759
UWBM,BM_89712,12.5447,17.4112,37.7046,-13.4893
UWBM,BM_89716,12.7993,17.4977,37.8337,-13.2708
UWBM,BM_89717,13.7726,17.8641,40.2394,-12.7282
UWBM,BM_89718,13.7781,16.6915,39.7361,-13.3393
UWBM,BM_89719,13.3438,17.2987,40.6366,-13.0433
UWBM,BM_89720,11.9345,16.971,35.0688,-13.9424
UWBM,BM_89721,10.9645,16.0736,31.6819,-12.9315
UWBM,BM_89722,13.6466,17.8668,40.2986,-13.7783
UWBM,BM_89723,13.0585,17.528,40.699,-13.8377
UWBM,BM_89724,14.3751,16.8483,42.0029,-12.6808
UWBM,BM_89725,8.8271,16.5873,25.6732,-12.4009
UWBM,BM_89726,12.1566,17.3424,37.1185,-14.6915
UWBM,BM_89730,12.6586,17.3146,38.2195,-14.5918
UWBM,BM_89731,11.9701,16.8257,38.4712,-15.1153
UWBM,BM_89732,15.4589,17.3602,44.3437,-11.4757
UWBM,BM_89733,13.1728,18.2604,39.8906,-16.0366
UWBM,BM_89734,13.2772,17.7057,37.928,-12.8298
UWBM,BM_89735,13.3436,16.8956,39.318,-13.2114
UWBM,BM_89736,12.6621,17.8851,39.628,-14.2706
UWBM,BM_89737,13.5065,16.3768,41.8211,-15.7748
UWBM,BM_89738,9.1027,17.1897,26.3432,-13.4964
UWBM,BM_89739,14.8034,18.2702,43.2161,-12.709
UWBM,BM_Makah 2017,43.0163,16.7439,121.6829,-14.4187
NMML,NM_1905,46.6683,18.211,128.8501,-10.1656
NMML,NM_1915,44.7853,17.8098,127.1254,-10.5641
NMML,NM_1915_2,47.6316,17.9435,135.066,-10.5088
NMML,NM_1917,46.7206,17.8737,128.4568,-9.9073
NMML,NM_1918,49.4471,18.2801,137.9539,-10.3121
NMML,NM_1919,49.1669,17.9926,135.6992,-10.5249
NMML,NM_1984,46.416,17.8156,131.1326,-12.966
NMML,NM_1995,48.5963,17.6423,135.0241,-13.1746
NMML,NM_2001,48.5421,16.7595,133.0124,-14.0639
NMML,NM_2016,46.9528,17.2948,130.8645,-13.4448
NMML,NM_2022,46.8072,17.4933,129.4072,-13.9786
NMML,NM_2024,46.6982,17.0014,130.3131,-14.0446
NMML,NM_2025,44.9364,16.3401,123.1058,-14.9391
