Museum,Sample ID,N quantity (ug),d15N,C quantity (ug),d13C
UA,UA_110372,40.6914,15.8681,113.6048,-14.9324
UA,UA_11457,28.4039,20.6515,90.7005,-13.2382
UA,UA_11475,44.4192,17.2376,123.15,-12.9576
UA,UA_11712,35.7177,16.0679,103.6585,-14.2385
UA,UA_11712,42.544,16.3356,121.4365,-14.3723
UA,UA_11712_2,41.1321,16.2654,116.6709,-14.3778
UA,UA_11713,39.3885,16.5685,115.2798,-13.8185
UA,UA_11738,43.7671,16.215,121.0512,-13.7299
UA,UA_11740,41.9367,15.971,115.7986,-13.7008
UA,UA_11742,43.6252,16.7096,120.8407,-13.4086
UA,UA_11743,31.9883,16.5519,90.7157,-13.4465
UA,UA_11743_2,32.8026,16.5952,92.9417,-13.3823
UA,UA_11747,45.3818,16.6759,127.4654,-13.8089
UA,UA_11770,46.0013,16.713,129.275,-13.4265
UA,UA_11771,44.2565,16.538,125.2201,-13.2065
UA,UA_11771_2,43.4553,16.3412,123.163,-13.2025
UA,UA_11774,44.2875,16.7945,125.5098,-13.4397
UA,UA_11777,44.5315,19.0281,131.4448,-12.7731
UA,UA_11778,43.0104,16.6685,124.0359,-14.2977
UA,UA_11778-2,40.646,16.6606,118.6881,-14.3183
UA,UA_11779,43.2147,16.1616,128.4296,-14.3894
UA,UA_11779_2,39.0151,16.0731,121.7758,-14.8679
UA,UA_11816,41.3075,16.5144,125.4745,-14.2481
UA,UA_11816_2,40.44,16.6574,124.6123,-14.425
UA,UA_11817,44.1704,16.3531,128.5499,-13.9599
UA,UA_11827,44.5958,17.4308,126.9187,-12.9853
UA,UA_11836,41.5004,16.7699,129.0737,-14.7285
UA,UA_11920,45.1524,16.1103,128.8325,-14.8142
UA,UA_11921,42.8033,16.825,119.9884,-13.8686
UA,UA_11921,38.1682,18.0371,108.6082,-13.3542
UA,UA_19119,43.3945,18.8274,117.9055,-11.7186
UA,UA_19122,42.3821,16.0257,121.5589,-14.4495
UA,UA_19123,45.673,18.7451,130.2468,-12.4359
UA,UA_19159,44.9301,20.4049,125.6486,-11.6924
UA,UA_19159_2,46.3817,20.5113,129.1945,-11.7788
UA,UA_19161,34.9287,19.7269,96.3534,-11.8283
UA,UA_19172,41.7489,19.3342,118.2925,-13.1271
UA,UA_19173,48.4735,20.248,134.7023,-12.8453
UA,UA_19174,43.8884,18.5015,126.3657,-14.1078
UA,UA_21485,39.3114,17.0044,114.7264,-13.1363
UA,UA_28932,37.665,18.9773,117.3108,-13.0549
UA,UA_28933,39.4286,16.3271,112.0569,-12.725
UA,UA_28934,43.2444,19.3372,124.9758,-13.0426
UA,UA_28935,42.6211,18.9912,122.063,-12.9681
UA,UA_19175,43.0111,19.1445,120.5389,-12.6304
UA,UA_42151,46.5241,17.8114,130.6227,-14.2255
UA,UA_42151_2,44.7032,17.5432,124.6755,-14.1952
UA,UA_43044,44.0367,19.511,127.7771,-13.3326
UA,UA_19160,46.7633,19.6818,129.8993,-11.8545
UA,UA_47510,46.089,20.201,129.153,-12.087
UA,UA_28936,45.7684,20.1751,127.7796,-11.9112
UA,UA_47511,36.1907,19.497,101.6002,-13.1303
UA,UA_19124,41.3811,17.1481,119.4303,-12.5804
UA,UA_35439,34.2445,16.1952,98.5481,-14.502
UA,UA_85206,39.2826,20.3773,112.4873,-12.0433
UA,UA_11743,41.7885,20.2015,120.1829,-12.0964
UA,UA_11743_2,44.041,20.5143,123.0411,-11.8216
UA,UA_28940,41.9416,19.9807,118.7081,-11.7847
UA,UA_28941,45.1387,18.5995,127.4501,-12.5614
UA,UA_28942,41.5223,19.993,120.038,-12.6505
UA,UA_28943,43.5287,19.4857,125.9273,-12.5438
UA,UA_28949,32.3462,15.8882,93.6262,-15.0513
UA,UA_28950,45.2446,17.0457,124.0639,-13.6715
UA,UA_35432,43.7242,17.2253,125.2791,-12.8831
UA,UA_35434,46.307,17.216,139.8444,-13.833
UA,UA_35437,40.481,16.8447,117.7222,-14.4468
UA,UA_35438,45.7495,17.7283,129.4221,-14.4945
UA,UA_35438_2,46.0974,17.7454,130.5701,-14.5447
