Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
12271,12AA,1482.9,2.421,-1.155,-1.155,ALA
12272,12AA,1483.5,2.418,0.469,0.469,ALA
12273,12AA,1483.5,2.424,1.04,1.04,ALA
12280,12AA,1495.4,2.5,-0.686,-0.686,ALA
12287,12AA,1546.4,2.835,0.195,0.195,ALA
12294,12AA,1595.5,2.355,-0.925,-0.925,ALA
12295,12AA,1598,2.299,-1.043,-1.043,ALA
12271,12AA,2135,2.148,-9.526,-9.526,ASP
12272,12AA,2135.8,2.246,-9.528,-9.528,ASP
12273,12AA,2135.8,2.254,-9.33,-9.33,ASP
12280,12AA,2150.6,2.33,-9.439,-9.439,ASP
12287,12AA,2208.7,2.621,-9.012,-9.012,ASP
12294,12AA,2261.4,2.989,-8.465,-8.465,ASP
12295,12AA,2264.3,2.753,-9.433,-9.433,ASP
12271,12AA,2297.3,1.871,-1.415,-1.415,GLU
12272,12AA,2297.7,1.892,-1.691,-1.691,GLU
12273,12AA,2298,1.895,-1.956,-1.956,GLU
12280,12AA,2309.2,2.063,-1.262,-1.262,GLU
12287,12AA,2355,2.238,-1.326,-1.326,GLU
12294,12AA,2398.5,2.268,-1.789,-1.789,GLU
12295,12AA,2401,2.249,-2.503,-2.503,GLU
12271,12AA,1550.2,2.61,3.49,3.49,GLY
12272,12AA,1550.8,2.615,5.511,5.511,GLY
12273,12AA,1551,2.609,4.318,4.318,GLY
12280,12AA,1562.9,2.524,3.255,3.255,GLY
12287,12AA,1610.6,2.427,3.941,3.941,GLY
12294,12AA,1659.3,2.561,4.146,4.146,GLY
12295,12AA,1662.2,2.551,4.644,4.644,GLY
12271,12AA,1706.1,2.116,-1.533,-1.533,ILE
12272,12AA,1706.7,2.183,-0.348,-0.348,ILE
12273,12AA,1706.9,2.2,-0.57,-0.57,ILE
12280,12AA,1721.1,2.256,-2.008,-2.008,ILE
12287,12AA,1784.2,2.539,-1.37,-1.37,ILE
12294,12AA,1852.2,2.655,-0.326,-0.326,ILE
12295,12AA,1856.1,2.636,-1.569,-1.569,ILE
12271,12AA,1753.1,1.185,16.01,16.01,NLE
12272,12AA,1753.7,1.241,16.866,16.866,NLE
12273,12AA,1753.9,1.25,17.267,17.267,NLE
12280,12AA,1769.4,1.223,13.511,13.511,NLE
12287,12AA,1837.9,1.401,14.312,14.312,NLE
12294,12AA,1911.5,1.462,14.82,14.82,NLE
12295,12AA,1915.9,1.447,13.62,13.62,NLE
12271,12AA,2387.4,2.205,4.191,4.191,PHE
12272,12AA,2387.6,2.18,4.285,4.285,PHE
12273,12AA,2387.8,2.188,3.641,3.641,PHE
12280,12AA,2398.7,2.347,2.774,2.774,PHE
12287,12AA,2442.2,2.545,3.459,3.459,PHE
12294,12AA,2484,2.555,3.585,3.585,PHE
12295,12AA,2486.3,2.509,2.927,2.927,PHE
12271,12AA,2058.9,1.854,-3.853,-3.853,PRO
12272,12AA,2059.5,1.861,-3.198,-3.198,PRO
12273,12AA,2059.7,1.868,-4.326,-4.326,PRO
12280,12AA,2077.7,2.021,-5.815,-5.815,PRO
12287,12AA,2146.2,2.142,-4.668,-4.668,PRO
12294,12AA,2206,2.012,-4.33,-4.33,PRO
12295,12AA,2209.1,1.938,-4.38,-4.38,PRO
12271,12AA,2157.2,1.988,-0.401,-0.401,SER
12272,12AA,2157.7,2.051,2.109,2.109,SER
12273,12AA,2157.9,2.045,1.89,1.89,SER
12280,12AA,2172.3,2.298,0.203,0.203,SER
12287,12AA,2228.6,2.503,1.156,1.156,SER
12294,12AA,2280,3.104,1.845,1.845,SER
12295,12AA,2282.9,2.541,-1.768,-1.768,SER
12271,12AA,2104.9,1.663,-1.369,-1.369,THR
12272,12AA,2105.7,1.702,-0.427,-0.427,THR
12273,12AA,2105.9,1.712,-1.643,-1.643,THR
12280,12AA,2121.8,1.662,-2.47,-2.47,THR
12287,12AA,2183.2,1.81,-2.42,-2.42,THR
12294,12AA,2238.2,2.096,-1.885,-1.885,THR
12295,12AA,2241.1,1.831,-3.714,-3.714,THR
12271,12AA,1605.3,1.77,-0.48,-0.48,VAL
12272,12AA,1605.7,1.847,1.306,1.306,VAL
12273,12AA,1606,1.837,0.346,0.346,VAL
12280,12AA,1617.5,1.862,0.972,0.972,VAL
12287,12AA,1669.1,2.113,1.393,1.393,VAL
12294,12AA,1724.3,2.213,1.721,1.721,VAL
12295,12AA,1727.6,2.183,1.161,1.161,VAL
12281,UA_110372,1506.1,19.56,22.672,22.672,ALA
12282,UA_110372,1509.8,20.024,22.735,22.735,ALA
12283,UA_110372,1545.1,1.333,27.976,27.976,ALA
12281,UA_110372,2163.4,8.034,20.533,20.533,ASP
12282,UA_110372,2168.2,8.198,19.986,19.986,ASP
12283,UA_110372,2176.1,8.277,20.191,20.191,ASP
12281,UA_110372,2321.8,12.393,26.137,26.137,GLU
12282,UA_110372,2325.3,12.588,26.091,26.091,GLU
12283,UA_110372,2331.8,12.738,26.23,26.23,GLU
12281,UA_110372,1587.6,61.181,6.717,6.717,GLY
12282,UA_110372,1591.1,60.336,6.377,6.377,GLY
12283,UA_110372,1637.1,4.032,22.469,22.469,GLY
12281,UA_110372,1727.6,1.143,34.084,34.084,ILE
12282,UA_110372,1732.4,1.177,33.682,33.682,ILE
12283,UA_110372,1791.8,2.032,13.749,13.749,ILE
12281,UA_110372,1700.8,4.258,27.575,27.575,LEU
12282,UA_110372,1705.4,4.348,27.315,27.315,LEU
12283,UA_110372,1741,1.187,32.972,32.972,LEU
12281,UA_110372,1843,0.396,13.757,13.757,NLE
12282,UA_110372,1849.2,0.525,22.812,22.812,NLE
12283,UA_110372,1859.3,0.524,26.186,26.186,NLE
12281,UA_110372,2403.9,2.458,11.842,11.842,PHE
12282,UA_110372,2407.3,2.476,10.791,10.791,PHE
12283,UA_110372,2413.5,2.479,12.098,12.098,PHE
12281,UA_110372,2095,12.06,26.73,26.73,PRO
12282,UA_110372,2100.7,12.294,26.686,26.686,PRO
12283,UA_110372,2110.1,12.404,26.559,26.559,PRO
12281,UA_110372,2184.7,6.872,13.192,13.192,SER
12282,UA_110372,2189.3,7.049,14.145,14.145,SER
12283,UA_110372,2197,7.14,14.294,14.294,SER
12281,UA_110372,2129.7,2.698,-22.258,-22.258,THR
12282,UA_110372,2134.9,2.761,-21.805,-21.805,THR
12283,UA_110372,2143.3,2.784,-21.826,-21.826,THR
12281,UA_110372,1626.2,4.366,24.641,24.641,VAL
12282,UA_110372,1630,3.877,23.755,23.755,VAL
12283,UA_110372,1713.4,4.407,27.057,27.057,VAL
12274,UA_11817,1495.2,30.646,21.267,21.267,ALA
12275,UA_11817,1496.4,31.219,21.121,21.121,ALA
12276,UA_11817,1498.7,31.088,21.048,21.048,ALA
12274,UA_11817,2150.6,12.855,22.412,22.412,ASP
12275,UA_11817,2152.3,13.14,21.806,21.806,ASP
12276,UA_11817,2154.8,13.017,21.167,21.167,ASP
12274,UA_11817,2312,16.182,25.299,25.299,GLU
12275,UA_11817,2313,16.127,25.24,25.24,GLU
12276,UA_11817,2315.1,15.979,24.662,24.662,GLU
