Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
9252,12AA,1296.4,2.257,-2.075,-2.075,ALA
9253,12AA,1296.8,2.869,-0.57,-0.57,ALA
9254,12AA,1296.6,2.854,-0.608,-0.608,ALA
9261,12AA,1295.4,2.342,-1.118,-1.118,ALA
9268,12AA,1295,2.199,-1.447,-1.447,ALA
9275,12AA,1294.5,2.188,-0.671,-0.671,ALA
9282,12AA,1295,1.904,-1.127,-1.127,ALA
9283,12AA,1294.3,1.965,-0.178,-0.178,ALA
9252,12AA,1836.1,2.073,-11.064,-11.064,ASP
9253,12AA,1836.5,2.321,-9.726,-9.726,ASP
9254,12AA,1836.1,2.318,-9.795,-9.795,ASP
9261,12AA,1834.2,1.764,-11.215,-11.215,ASP
9268,12AA,1833.6,1.729,-10.675,-10.675,ASP
9275,12AA,1833.3,1.669,-10.44,-10.44,ASP
9282,12AA,1833.6,1.468,-9.105,-9.105,ASP
9283,12AA,1833.3,1.493,-9.777,-9.777,ASP
9252,12AA,2097.5,1.906,-3.453,-3.453,GLU
9253,12AA,2097.7,2.071,-1.695,-1.695,GLU
9254,12AA,2097.5,2.063,-2.643,-2.643,GLU
9261,12AA,2095.9,1.639,-2.719,-2.719,GLU
9268,12AA,2095.2,1.568,-1.848,-1.848,GLU
9275,12AA,2095.2,1.5,-3.104,-3.104,GLU
9282,12AA,2095.4,1.302,-2.933,-2.933,GLU
9283,12AA,2095,1.201,-3.348,-3.348,GLU
9252,12AA,1364.6,2.231,2.512,2.512,GLY
9253,12AA,1364.8,2.808,3.761,3.761,GLY
9254,12AA,1364.6,2.753,4.352,4.352,GLY
9261,12AA,1363.3,2.265,2.979,2.979,GLY
9268,12AA,1362.9,2.125,3.229,3.229,GLY
9275,12AA,1362.7,2.032,3.448,3.448,GLY
9282,12AA,1362.9,1.768,3.705,3.705,GLY
9283,12AA,1362.5,1.808,3.391,3.391,GLY
9252,12AA,1516.1,2.756,-0.309,-0.309,ILE
9253,12AA,1516.3,3.044,-1.277,-1.277,ILE
9254,12AA,1516.1,2.991,-2.105,-2.105,ILE
9261,12AA,1514.8,2.346,-3.135,-3.135,ILE
9268,12AA,1514.2,2.243,-2.303,-2.303,ILE
9275,12AA,1514,2.161,-1.54,-1.54,ILE
9282,12AA,1514.4,1.879,-1.003,-1.003,ILE
9283,12AA,1513.8,1.923,-1.343,-1.343,ILE
9252,12AA,1553.7,1.554,14.267,14.267,NLE
9253,12AA,1553.9,1.839,15.237,15.237,NLE
9254,12AA,1553.5,1.816,14.317,14.317,NLE
9261,12AA,1552.5,1.246,13.309,13.309,NLE
9268,12AA,1552,1.194,13.364,13.364,NLE
9275,12AA,1551.6,1.113,14.696,14.696,NLE
9282,12AA,1552,0.948,13.342,13.342,NLE
9283,12AA,1551.6,0.974,13.917,13.917,NLE
9252,12AA,2211.8,2.528,2.808,2.808,PHE
9253,12AA,2211.8,2.581,3.415,3.415,PHE
9254,12AA,2211.6,2.621,3.364,3.364,PHE
9261,12AA,2210.4,2.056,2.917,2.917,PHE
9268,12AA,2209.8,1.999,1.429,1.429,PHE
9275,12AA,2209.8,1.921,3.775,3.775,PHE
9282,12AA,2210,1.697,4.76,4.76,PHE
9283,12AA,2209.5,1.721,3.373,3.373,PHE
9252,12AA,1752.9,2.002,-5.37,-5.37,PRO
9253,12AA,1753.1,2.131,-5.213,-5.213,PRO
9254,12AA,1752.9,2.07,-4.508,-4.508,PRO
