Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
9155,12AA,1283.1,0.813,3.37,3.37,ALA
9156,12AA,1283.9,1.964,-0.366,-0.366,ALA
9157,12AA,1283.9,1.864,0.045,0.045,ALA
9164,12AA,1284.3,1.787,-1.303,-1.303,ALA
9171,12AA,1285.6,1.564,-1.026,-1.026,ALA
9178,12AA,1285.1,1.412,0.735,0.735,ALA
9179,12AA,1285.6,1.39,-1.058,-1.058,ALA
9155,12AA,1843.2,1.584,1.069,1.069,ASP
9156,12AA,1844.4,2.229,1.388,1.388,ASP
9157,12AA,1844.4,2.023,2.153,2.153,ASP
9164,12AA,1845.1,1.902,0.123,0.123,ASP
9171,12AA,1847.6,1.827,-0.035,-0.035,ASP
9178,12AA,1847.6,1.486,2.941,2.941,ASP
9179,12AA,1848.2,1.422,1.598,1.598,ASP
9155,12AA,2077.7,1.158,-1.592,-1.592,GLU
9156,12AA,2078.9,1.474,-1.45,-1.45,GLU
9157,12AA,2078.9,1.371,-2.328,-2.328,GLU
9164,12AA,2079.6,1.374,-2.688,-2.688,GLU
9171,12AA,2081.6,1.093,-2.943,-2.943,GLU
9178,12AA,2081.4,0.971,-1.835,-1.835,GLU
9179,12AA,2082.1,0.98,-2.463,-2.463,GLU
9155,12AA,1502.3,1.349,-0.187,-0.187,ILE
9156,12AA,1503.1,2.114,-0.932,-0.932,ILE
9157,12AA,1502.9,1.999,-1.537,-1.537,ILE
9164,12AA,1503.5,1.808,-2.414,-2.414,ILE
9171,12AA,1504.8,1.485,-2.353,-2.353,ILE
9178,12AA,1504.4,1.338,-0.956,-0.956,ILE
9179,12AA,1504.8,1.296,-2.482,-2.482,ILE
9155,12AA,1539.3,0.726,15.271,15.271,NLE
9156,12AA,1540.3,1.119,13.952,13.952,NLE
9157,12AA,1540.1,1.054,14.435,14.435,NLE
9164,12AA,1540.7,0.907,13.339,13.339,NLE
9171,12AA,1542,0.701,14.093,14.093,NLE
9178,12AA,1541.6,0.635,13.115,13.115,NLE
9179,12AA,1542.2,0.613,14.908,14.908,NLE
9155,12AA,2195.8,1.598,3.826,3.826,PHE
9156,12AA,2196.8,1.853,4.379,4.379,PHE
9157,12AA,2196.8,1.732,2.919,2.919,PHE
9164,12AA,2197.4,1.737,3.417,3.417,PHE
9171,12AA,2199.1,1.252,1.591,1.591,PHE
9178,12AA,2198.7,1.189,2.667,2.667,PHE
9179,12AA,2199.3,1.194,2.954,2.954,PHE
9155,12AA,1780.1,0.876,0.18,0.18,PRO
9156,12AA,1781.3,1.381,-0.429,-0.429,PRO
9157,12AA,1780.9,1.317,-1.014,-1.014,PRO
9164,12AA,1781.9,1.247,-2.105,-2.105,PRO
9171,12AA,1783.8,1.003,-2.657,-2.657,PRO
9178,12AA,1783.8,0.913,0.167,0.167,PRO
9179,12AA,1784.4,0.875,-1.356,-1.356,PRO
9155,12AA,1814.3,1.054,-11.453,-11.453,THR
9156,12AA,1815.4,1.815,-9.376,-9.376,THR
9157,12AA,1815.4,1.668,-9.483,-9.483,THR
9164,12AA,1816.2,1.561,-10.44,-10.44,THR
9171,12AA,1818.5,1.207,-11.143,-11.143,THR
9178,12AA,1818.5,1.129,-8.497,-8.497,THR
9179,12AA,1819.1,1.077,-9.098,-9.098,THR
9155,12AA,2607.3,1.38,4.608,4.608,TYR
9156,12AA,2608.1,1.342,3.901,3.901,TYR
9157,12AA,2608.1,1.258,5.332,5.332,TYR
9164,12AA,2608.5,1.237,4.978,4.978,TYR
9171,12AA,2609.6,0.905,2.423,2.423,TYR
9178,12AA,2608.9,0.893,4.683,4.683,TYR
9179,12AA,2609.4,0.815,4.006,4.006,TYR
9155,12AA,1409.7,1.095,3.649,3.649,VAL
9156,12AA,1410.5,2.019,2.708,2.708,VAL
9157,12AA,1410.5,1.952,1.356,1.356,VAL
9164,12AA,1411,1.797,1.171,1.171,VAL
9171,12AA,1412.2,1.493,0.785,0.785,VAL
9178,12AA,1411.8,1.212,0.831,0.831,VAL
9179,12AA,1412.2,1.216,0.421,0.421,VAL
9165,BM_20228,1505,1.206,23.374,23.374,ILE
9166,BM_20228,1504.8,1.108,26.262,26.262,ILE
9167,BM_20228,1505.4,1.615,21.582,21.582,ILE
9165,BM_20228,1545.8,3.847,13.349,13.349,NLE
9166,BM_20228,1545.3,3.692,13.13,13.13,NLE
9167,BM_20228,1576.9,1.238,16.873,16.873,NLE
9165,BM_20228,2200.6,1.939,11.034,11.034,PHE
9166,BM_20228,2200.1,1.845,10.861,10.861,PHE
9167,BM_20228,2201,1.771,11.691,11.691,PHE
9165,BM_20228,1750.6,13.761,29.047,29.047,PRO
9166,BM_20228,1750.4,13.115,28.046,28.046,PRO
9167,BM_20228,1751.4,12.623,28.161,28.161,PRO
9165,BM_20228,1855.3,4.434,16.746,16.746,SER
9166,BM_20228,1855.3,4.317,16.879,16.879,SER
9167,BM_20228,1856.5,4.83,15.486,15.486,SER
9165,BM_20228,1786.1,2.152,-13.305,-13.305,THR
9166,BM_20228,1785.9,2.162,-16.071,-16.071,THR
9167,BM_20228,1786.7,2.128,-14.92,-14.92,THR
9168,BM_34969,1503.5,0.85,25.822,25.822,ILE
9169,BM_34969,1504.6,0.829,26.284,26.284,ILE
9170,BM_34969,1505,0.8,25.095,25.095,ILE
9168,BM_34969,1542.4,1.283,15.355,15.355,NLE
9169,BM_34969,1543.3,1.244,14.966,14.966,NLE
9170,BM_34969,1543.9,1.164,15.707,15.707,NLE
9168,BM_34969,2197.8,1.184,13.339,13.339,PHE
9169,BM_34969,2198.7,1.129,13.852,13.852,PHE
9170,BM_34969,2199.5,1.077,12.679,12.679,PHE
9168,BM_34969,1746.4,8.422,29.35,29.35,PRO
9169,BM_34969,1747.2,8.091,29.666,29.666,PRO
9170,BM_34969,1747.9,7.854,29.384,29.384,PRO
9168,BM_34969,1849.9,2.538,17.834,17.834,SER
9169,BM_34969,1850.9,2.456,19.231,19.231,SER
9170,BM_34969,1851.5,2.412,19.408,19.408,SER
9168,BM_34969,1783.2,1.336,-12.833,-12.833,THR
9169,BM_34969,1784.2,1.248,-11.808,-11.808,THR
9170,BM_34969,1784.9,1.286,-11.909,-11.909,THR
9175,BM_34988,1506.3,1.273,33.45,33.45,ILE
9176,BM_34988,1505.6,1.218,33.719,33.719,ILE
9177,BM_34988,1507.3,1.187,31.221,31.221,ILE
9175,BM_34988,1544.9,1.828,10.917,10.917,NLE
9176,BM_34988,1544.5,1.746,11.409,11.409,NLE
9177,BM_34988,1546.2,1.719,10.18,10.18,NLE
9175,BM_34988,2202.2,2.039,12.543,12.543,PHE
9176,BM_34988,2202.2,2.001,12.932,12.932,PHE
9177,BM_34988,2203.5,1.958,13.545,13.545,PHE
9175,BM_34988,1745.6,4.715,31.173,31.173,PRO
9176,BM_34988,1745.2,4.586,31.458,31.458,PRO
9177,BM_34988,1746.8,4.53,31.493,31.493,PRO
9175,BM_34988,1857.4,4.096,14.413,14.413,SER
9176,BM_34988,1857,3.998,16.232,16.232,SER
9177,BM_34988,1858.6,3.964,21.522,21.522,SER
9175,BM_34988,1787.4,1.564,-29.945,-29.945,THR
9176,BM_34988,1787,1.553,-28.974,-28.974,THR
9177,BM_34988,1788.6,1.523,-29.97,-29.97,THR
9158,BM_35001,1504.8,1.523,24.546,24.546,ILE
9159,BM_35001,1504.8,1.167,34.152,34.152,ILE
9160,BM_35001,1504.8,1.1,29.972,29.972,ILE
9158,BM_35001,1544.1,2.418,12.708,12.708,NLE
9159,BM_35001,1544.1,2.761,12.349,12.349,NLE
9160,BM_35001,1544.3,2.642,11.673,11.673,NLE
9158,BM_35001,2200.1,2.184,11.512,11.512,PHE
9159,BM_35001,2200.1,2.188,11.631,11.631,PHE
9160,BM_35001,2200.1,2.167,11.067,11.067,PHE
9158,BM_35001,1748.5,12.152,27.664,27.664,PRO
9159,BM_35001,1748.3,12.536,27.523,27.523,PRO
9160,BM_35001,1748.5,12.205,27.54,27.54,PRO
9158,BM_35001,1856.3,5.386,13.837,13.837,SER
9159,BM_35001,1856.5,5.527,13.58,13.58,SER
9160,BM_35001,1856.8,5.925,15.279,15.279,SER
9158,BM_35001,1785.9,1.98,-30.11,-30.11,THR
9159,BM_35001,1786.1,2.089,-30.472,-30.472,THR
9160,BM_35001,1786.1,2.431,-21.608,-21.608,THR
9161,BM_82372,1502.7,0.608,23.597,23.597,ILE
9162,BM_82372,1502.5,0.601,23.611,23.611,ILE
9163,BM_82372,1503.3,0.593,22.594,22.594,ILE
9161,BM_82372,1542,1.434,14.592,14.592,NLE
9162,BM_82372,1541.8,1.394,15.06,15.06,NLE
9163,BM_82372,1542.4,1.347,15.545,15.545,NLE
9161,BM_82372,2197,1.153,9.202,9.202,PHE
9162,BM_82372,2196.8,1.121,8.655,8.655,PHE
9163,BM_82372,2197.6,1.066,8.524,8.524,PHE
9161,BM_82372,1741.4,5.099,30.935,30.935,PRO
9162,BM_82372,1741.2,5.078,30.679,30.679,PRO
9163,BM_82372,1742,5.359,28.533,28.533,PRO
9161,BM_82372,1847.8,2.61,16.566,16.566,SER
9162,BM_82372,1847.6,2.538,15.527,15.527,SER
9163,BM_82372,1848.4,2.464,16.687,16.687,SER
9161,BM_82372,1781.9,1.007,-35.846,-35.846,THR
9162,BM_82372,1781.7,0.988,-33.863,-33.863,THR
9163,BM_82372,1782.6,0.937,-33.553,-33.553,THR
