Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
9316,12AA,1295,4.076,-2.313,-2.313,ALA
9317,12AA,1295.4,4.72,-1.51,-1.51,ALA
9318,12AA,1295.2,4.224,-1.891,-1.891,ALA
9325,12AA,1296,4.324,-1.533,-1.533,ALA
9332,12AA,1295.6,3.88,-0.23,-0.23,ALA
9339,12AA,1296,4.5,0.59,0.59,ALA
9346,12AA,1296.8,5.012,0.355,0.355,ALA
9347,12AA,1295.8,4.893,0.54,0.54,ALA
9316,12AA,1835.2,3.843,-10.17,-10.17,ASP
9317,12AA,1835.9,3.425,-10.867,-10.867,ASP
9318,12AA,1836.1,2.985,-11.44,-11.44,ASP
9325,12AA,1837.5,3.068,-11.717,-11.717,ASP
9332,12AA,1837.3,2.914,-10.058,-10.058,ASP
9339,12AA,1839,3.052,-10.413,-10.413,ASP
9346,12AA,1840.9,3.295,-10.466,-10.466,ASP
9347,12AA,1839.6,3.981,-7.976,-7.976,ASP
9316,12AA,2096.9,3.501,-2.943,-2.943,GLU
9317,12AA,2097.5,3.22,-3.773,-3.773,GLU
9318,12AA,2097.5,2.907,-3.757,-3.757,GLU
9325,12AA,2098.6,3.023,-3.789,-3.789,GLU
9332,12AA,2098.8,2.611,-2.441,-2.441,GLU
9339,12AA,2100,2.984,-2.199,-2.199,GLU
9346,12AA,2101.7,3.213,-0.518,-0.518,GLU
9347,12AA,2100.7,3.107,-2.209,-2.209,GLU
9316,12AA,1363.9,4.007,4.032,4.032,GLY
9317,12AA,1364.4,4.605,3.238,3.238,GLY
9318,12AA,1364.1,4.127,2.861,2.861,GLY
9325,12AA,1365,4.077,3.154,3.154,GLY
9332,12AA,1365,3.666,4.165,4.165,GLY
9339,12AA,1365.4,3.983,4.158,4.158,GLY
9346,12AA,1366.9,4.37,4.669,4.669,GLY
9347,12AA,1365.6,4.253,4.699,4.699,GLY
9316,12AA,1514.4,4.793,-1.277,-1.277,ILE
9317,12AA,1515,4.89,-1.954,-1.954,ILE
9318,12AA,1514.8,4.258,-2.143,-2.143,ILE
9325,12AA,1515.5,4.193,-2.29,-2.29,ILE
9332,12AA,1515.3,3.911,-0.709,-0.709,ILE
9339,12AA,1515.7,4.169,-0.346,-0.346,ILE
9346,12AA,1516.7,4.528,0.37,0.37,ILE
9347,12AA,1515.7,4.4,-0.022,-0.022,ILE
9316,12AA,1552,3.015,14.089,14.089,NLE
9317,12AA,1552.5,2.94,13.771,13.771,NLE
9318,12AA,1552.5,2.487,13.377,13.377,NLE
9325,12AA,1553.1,3.192,12.236,12.236,NLE
9332,12AA,1552.9,3.104,12.552,12.552,NLE
9339,12AA,1553.3,2.007,15.52,15.52,NLE
9346,12AA,1554.3,3.685,12.411,12.411,NLE
9347,12AA,1553.3,3.579,12.155,12.155,NLE
9316,12AA,2211.2,4.479,2.744,2.744,PHE
9317,12AA,2211.6,4.068,1.991,1.991,PHE
9318,12AA,2211.8,3.716,2.869,2.869,PHE
9325,12AA,2212.7,3.83,2.363,2.363,PHE
9332,12AA,2212.7,3.463,3.732,3.732,PHE
9339,12AA,2213.9,3.716,3.966,3.966,PHE
9346,12AA,2215.2,4.02,3.986,3.986,PHE
9347,12AA,2214.1,3.909,3.817,3.817,PHE
9316,12AA,1751,3.33,-5.569,-5.569,PRO
9317,12AA,1751.6,3.126,-5.778,-5.778,PRO
9318,12AA,1751.6,2.649,-6.409,-6.409,PRO
9325,12AA,1752.7,2.714,-5.78,-5.78,PRO
9332,12AA,1752.5,2.362,-4.013,-4.013,PRO
9339,12AA,1753.5,2.429,-4.171,-4.171,PRO
9346,12AA,1754.8,2.646,-1.612,-1.612,PRO
9347,12AA,1753.7,2.56,-1.069,-1.069,PRO
