Year ,Coastal Estuaries,Olympic Peninsula,Straight of Juan de Fuca,San Juans,Eastern Bays,Puget Sound,Hood Canal
1975,1694,,,,,,
1976,1742,,,,,,
1977,2082,,,,,,
1978,2570,,417,852,755,337,732
1979,,,,,,,
1980,2864,1639,,,,,
1981,4408,1677,,,,,
1982,5197,,,,,,
1983,4416,2359,883,1688,1347,,
1984,4203,,1025,2308,1727,,
1985,6008,,1288,1859,1416,732,
1986,4807,1789,849,2193,1613,,
1987,7600,3204,1016,2179,1751,,
1988,6796,,1518,2847,1902,,
1989,6475,3667,1402,2884,1839,,
1990,,,1142,3157,,,
1991,8681,3832,1238,3510,1939,891,1206
1992,7761,4191,1580,3640,2102,708,989
1993,8161,3544,2154,4524,2175,972,592
1994,5786,3505,1488,4529,2144,854,
1995,6492,4867,2281,4852,2068,,
1996,7191,3124,1988,5330,2521,1119,975
1997,7643,4221,2284,4277,2008,1060,695
1998,,,1734,4441,1810,1026,577
1999,7117,3313,1752,3588,1873,1025,711
