Common Population Name,NMFS_POPID,ESU,Species,Start Year,Year,Spawners
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2013,552
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2012,736
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2011,226
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2010,380
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2009,257
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2008,555
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2007,392
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2006,1232
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2005,891
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2004,476
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2003,1543
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2002,927
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2001,1103
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,2000,603
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1999,321
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1998,482
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1997,305
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1996,1132
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1995,286
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1994,135
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1993,215
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1992,474
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1991,668
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1990,1323
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1989,469
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1988,1101
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1987,810
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1986,1143
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1985,540
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1984,708
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1983,392
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1982,1170
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1981,1726
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1980,2816
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1979,1698
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1978,1716
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1977,970
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1976,1840
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1975,997
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1974,1135
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1973,3991
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1972,2295
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1971,1893
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1970,1891
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1969,971
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1968,1244
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1967,586
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1966,1102
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1965,543
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1964,517
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1963,1170
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1962,551
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1961,1052
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1960,1168
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1959,537
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1958,712
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1957,414
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1956,569
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1955,648
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1954,586
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1953,588
Lower Sauk River,39,"Salmon, Chinook (Puget Sound ESU)", ,1952,1952,568
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2003,1236
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2002,4884
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2001,2741
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2000,3511
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1999,1076
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1998,2572
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1997,421
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1996,1568
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1995,668
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1994,934
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1993,945
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1992,1364
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1991,1530
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1990,3770
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1989,1475
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1988,2444
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1987,2650
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1986,4584
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1985,1731
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1984,2388
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1983,3189
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1982,1987
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1981,2425
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1980,4986
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1979,3896
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1978,3094
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1977,2554
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1976,5707
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1975,3234
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1974,3240
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1973,4993
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1972,7478
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1971,6066
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1970,6138
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1969,3126
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1968,4036
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1967,3299
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1966,4759
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1965,4032
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1964,2933
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1963,3444
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1962,1899
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1961,4691
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1960,9328
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1959,5161
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1958,3244
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1957,2296
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1956,1745
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1955,1383
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1954,1750
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1953,1837
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,1952,2721
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2013,1439
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2012,3360
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2011,835
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2010,1083
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2009,1468
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2008,2689
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2007,1101
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2006,3633
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2005,3387
Lower Skagit River,40,"Salmon, Chinook (Puget Sound ESU)", ,1952,2004,3274
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2012,465
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2011,217
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2010,266
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2009,275
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2008,207
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2007,108
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2006,378
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2005,518
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2004,495
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2003,357
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2002,269
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2001,702
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2000,369
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1999,208
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1970,1027
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1969,844
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1968,763
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1967,833
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1966,949
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1965,1068
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1964,480
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1963,706
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1962,1291
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1961,934
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1960,622
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1959,1050
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1958,454
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1957,915
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1998,473
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1997,430
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1996,439
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1995,440
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1994,168
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1993,296
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1992,202
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1991,358
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1990,701
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1989,536
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1988,740
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1987,729
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1986,806
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1985,721
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1956,1211
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1955,546
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1954,423
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1953,510
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1952,292
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1984,351
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1983,359
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1982,478
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1981,655
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1980,825
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1979,410
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1978,536
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1977,410
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1976,464
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1975,331
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1974,357
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1973,584
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1972,1807
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,1971,1479
Suiattle River,52,"Salmon, Chinook (Puget Sound ESU)", ,1952,2013,625
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1990,566
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1989,687
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1988,880
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1987,832
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1986,736
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1985,1858
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1984,241
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1983,227
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1982,279
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1981,397
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1980,599
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1979,416
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1978,419
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1977,116
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1976,183
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1975,302
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1974,109
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1973,1269
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1972,151
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1971,621
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1970,1108
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1969,981
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1968,153
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1967,355
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1966,1387
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1965,2023
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1964,695
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,1963,1296
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,2013,1103
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,2012,1867
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,2011,351
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,2010,784
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,2009,373
Upper Sauk River,53,"Salmon, Chinook (Puget Sound ESU)", ,1952,2008,983
