Common Population Name,NMFS_POPID,ESU,Species,Start Year,Year,Spawners
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1973,740
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1972,1094
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1971,4095
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1970,2751
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1969,1854
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1968,4696
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1967,1498
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1966,777
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1965,3937
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1964,2476
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1963,1879
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1962,3119
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1961,2189
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1960,2185
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2013,3252
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2012,1755
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2011,2498
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2010,4040
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2009,10960
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2008,3104
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2007,4190
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2006,14335
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2005,1805
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2004,3411
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2003,2801
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2002,4561
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2001,7880
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,2000,5608
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1959,1330
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1958,522
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1957,598
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1999,234
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1998,491
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1997,2901
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1996,184
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1995,4365
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1994,6178
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1993,360
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1992,7449
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1991,6692
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1990,1516
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1989,4721
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1988,3561
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1987,2886
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1986,9163
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1985,6793
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1984,1464
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1983,3426
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1982,5471
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1981,2507
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1980,6840
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1979,2451
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1978,1678
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1977,1920
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1976,2593
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1975,2428
Clackamas River,130,"Salmon, coho (Lower Columbia River ESU)", ,1957,1974,1931
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,2013,756
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,2012,1198
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,2011,3813
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,2010,1029
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,2009,1667
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,2008,1277
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,2007,753
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1993,193
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1992,790
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1991,1491
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1990,376
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1989,2182
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1988,1507
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1987,1204
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1986,2558
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1985,2063
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1984,1568
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1983,745
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1982,1648
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1981,994
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1980,2122
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1979,367
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1978,407
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1977,91
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1976,642
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1975,619
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1974,548
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1973,-99
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1972,-99
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1971,-99
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1970,-99
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1969,716
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1968,1281
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1967,669
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1966,229
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1965,1018
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1964,1126
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1963,2199
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1962,1458
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1961,1733
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1960,1670
Sandy River,145,"Salmon, coho (Lower Columbia River ESU)", ,1957,1959,68
