Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
9044,12AA,1284.1,2.375,0.085,0.085,ALA,100
9045,12AA,1283.9,3.882,-0.871,-0.871,ALA,100
9046,12AA,1284.3,3.352,-0.984,-0.984,ALA,100
9053,12AA,1284.7,3.618,-1.146,-1.146,ALA,100
9060,12AA,1284.3,3.256,-1.331,-1.331,ALA,100
9067,12AA,1284.7,3.002,-0.857,-0.857,ALA,100
9074,12AA,1284.5,3.103,-0.048,-0.048,ALA,100
9075,12AA,1284.9,3.002,-0.794,-0.794,ALA,100
9044,12AA,1847.6,4.145,1.598,1.598,ASP,100
9045,12AA,1847.6,3.717,1.46,1.46,ASP,100
9046,12AA,1847.8,3.398,1.052,1.052,ASP,100
9053,12AA,1848.6,3.841,0.583,0.583,ASP,100
9060,12AA,1848.2,4.403,2.131,2.131,ASP,100
9067,12AA,1849,3.446,0.369,0.369,ASP,100
9074,12AA,1849,3.507,1.154,1.154,ASP,100
9075,12AA,1849.2,3.441,0.985,0.985,ASP,100
9044,12AA,2081.6,3.113,-2.16,-2.16,GLU,100
9045,12AA,2081.6,2.811,-2.864,-2.864,GLU,100
9046,12AA,2081.8,2.506,-1.925,-1.925,GLU,100
9053,12AA,2082.5,3.036,-2.064,-2.064,GLU,100
9060,12AA,2082.3,2.777,-2.613,-2.613,GLU,100
9067,12AA,2082.9,2.528,-1.897,-1.897,GLU,100
9074,12AA,2082.9,2.463,-1.834,-1.834,GLU,100
9075,12AA,2082.9,2.337,-1.468,-1.468,GLU,100
9044,12AA,1503.3,3.368,-0.919,-0.919,ILE,100
9045,12AA,1503.3,3.854,-1.875,-1.875,ILE,100
9046,12AA,1503.8,3.292,-1.795,-1.795,ILE,100
9053,12AA,1504.2,3.614,-2.219,-2.219,ILE,100
9060,12AA,1503.8,3.299,-2.569,-2.569,ILE,100
9067,12AA,1504.2,3.012,-1.781,-1.781,ILE,100
9074,12AA,1504,3.018,-1.243,-1.243,ILE,100
9075,12AA,1504.2,2.936,-1.03,-1.03,ILE,100
9044,12AA,1540.1,1.879,13.437,13.437,NLE,100
9045,12AA,1540.3,2.086,14.195,14.195,NLE,100
9046,12AA,1540.5,2.024,12.843,12.843,NLE,100
9053,12AA,1541,2.147,14.462,14.462,NLE,100
9060,12AA,1540.5,2.021,13,13,NLE,100
9067,12AA,1541,1.89,13.377,13.377,NLE,100
9074,12AA,1540.7,1.572,15.37,15.37,NLE,100
9075,12AA,1541,1.829,14.22,14.22,NLE,100
9044,12AA,2198.5,3.459,3.747,3.747,PHE,100
9045,12AA,2198.3,3.057,2.941,2.941,PHE,100
9046,12AA,2198.5,2.819,4.3,4.3,PHE,100
9053,12AA,2199.1,3.345,2.852,2.852,PHE,100
9060,12AA,2198.7,3.007,3.371,3.371,PHE,100
9067,12AA,2199.3,2.676,3.353,3.353,PHE,100
9074,12AA,2199.3,2.714,5.14,5.14,PHE,100
9075,12AA,2199.3,2.599,4.463,4.463,PHE,100
9044,12AA,1782.1,2.349,-1.493,-1.493,PRO,100
9045,12AA,1782.4,2.51,-2.364,-2.364,PRO,100
9046,12AA,1782.6,2.163,-2.313,-2.313,PRO,100
9053,12AA,1783.4,2.541,-2.717,-2.717,PRO,100
9060,12AA,1783,2.283,-2.076,-2.076,PRO,100
9067,12AA,1783.6,2.082,-2.443,-2.443,PRO,100
9074,12AA,1783.4,1.99,-1.676,-1.676,PRO,100
9075,12AA,1783.6,1.975,-1.039,-1.039,PRO,100
9044,12AA,1816.8,2.815,-11.402,-11.402,THR,100
9045,12AA,1817,2.714,-9.965,-9.965,THR,100
9046,12AA,1817,2.3,-10.286,-10.286,THR,100
