"","Year","years","Location.2","Sample.ID","Sex","Length","d13C.s","d13C","d15N","PHE.mean","GLU.mean","VAL.mean","PRO.mean","ASP.mean","TP.ALA1","TP.GLU1","TP.VAL1","TP.ASP1","TP.PRO1","TP.ALA1.beta","TP.GLU1.beta","TP.VAL1.beta","TP.ASP1.beta","TP.PRO1.beta","TP.ALA2","TP.GLU2","TP.VAL2","TP.ASP2","TP.PRO2","TP.ALA2.beta","TP.GLU2.beta","TP.VAL2.beta","TP.ASP2.beta","TP.PRO2.beta","TP.ALA3","TP.GLU3","TP.VAL3","TP.ASP3","TP.PRO3","TP.ALA3.beta","TP.GLU3.beta","TP.VAL3.beta","TP.ASP3.beta","TP.PRO3.beta","TP.ALA4","TP.GLU4","TP.VAL4","TP.ASP4","TP.PRO4","TP.ALA4.beta","TP.GLU4.beta","TP.VAL4.beta","TP.ASP4.beta","TP.PRO4.beta","X.x","Col.Dis.An","UpInAn.45.Winter","UpInAn.45.Spring","UpInAn.45.Summer","UpInAn.45.Autumn","UpInAn.45.Annual","TUMI.45","LUSI.45","MEI","ONI","PDO","WA.SST.Wi","WA.SST.Su","WA.SST.Sp","WA.SST.Au","WA.SST.An","Col.Dis.low","Col.Dis.high","NOI","Fras.Dis.high","Fras.Dis.low","Fras.Dis.an","Dis.Total","NPGO","X.y","Herring.Biomass","Chinook","Chum","Coho","HarborSeal","HatcherySmolts","HakeBiomass","EulachonLandings","WildProduction","allSmolt"
"1",1957,1959,"Coastal","BM_20228","",NA,NA,NA,NA,10.86231661,28.54661061,22.55807163,27.22275,25.88973439,2.52612003970588,3.24004454545455,2.80342500434783,3.44952181111111,3.732086678,3.57329187927517,4.39352750461144,4.25868124142508,4.56157219271208,5.09717409725051,3.15637214054622,3.71623502164502,2.18230699192547,3.80401916560846,3.64065810657143,4.20354398011551,4.86971798080192,3.63756322900272,4.91606954720944,5.00574552582193,3.70259062794118,4.08852939393939,3.89038152608696,4.44952181111111,4.592086678,4.74976246751046,5.24201235309629,5.34563776316421,5.56157219271208,5.95717409725051,3.33284272878151,3.56471987012987,2.2692635136646,4.29603328042328,3.76543022857143,4.3800145683508,4.71820282928677,3.72451975074185,4.91606954720944,4.86574552582193,79,0.0236427776231576,3.50655789731998,-2.39789527279837,-2.42774823594805,15.3333333333333,1.88454120267902,NA,NA,0.618333333333333,0.960833333333333,0.2275,-0.777060990267721,1.17980668295536,0.63609657438079,0.770990035002505,0.452458075517733,-0.176228231315324,0.251219919882526,-1.07316666666667,0.0954411444573484,0.0729203756876551,0.0833757410729525,0.0653296368027547,-1.1473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1975,1977,"Inland","BM_32052","M",92,NA,NA,NA,9.919833049,27.23310108,22.85177626,23.572,22.45310278,2.38616611485294,3.18382848954545,3.0721615676087,2.98764254277778,3.1904333902,3.43333795442223,4.33731144870235,4.52741780468595,4.09969292437875,4.55552080945051,3.01641821569328,3.66001896573593,2.45104355518634,3.34213989727513,3.09900481877143,4.06359005526256,4.81350192489283,3.90629979226359,4.4541902788761,4.46409223802194,3.56263670308824,4.0323133380303,4.15911808934783,3.98764254277778,4.0504333902,4.60980854265752,5.1857962971872,5.61437432642508,5.09969292437875,5.41552080945051,3.19288880392857,3.50850381422078,2.53800007692547,4.2273247676455,3.69122503477143,4.24006064349786,4.66198677337768,3.99325631400272,4.4541902788761,4.32409223802193,97,0.0353186687115148,2.70805020110221,3.120895416508,0.693147180559945,5.33333333333333,2.42036812865043,0.426695273655861,0.153736582936488,-1.28433333333333,-1.0525,-1.10166666666667,-0.453727726870504,-0.386859920133043,-0.693903349325268,-0.709009825125236,-0.560875205363514,-0.0647931913068778,-0.0847128332810012,2.15716666666667,-0.0644265590403919,0.0579138115400486,-0.0160103469923314,0.0754142555831798,0.7985,3,1.47419493875182,0.318028311916107,0.312728749692742,1.0779859328335,-2.30726660687491,2.06550824223764,0.657035063783798,NA,-0.743677039771604,1.91084682793682
"3",1975,1977,"Inland","BM_32053","M",NA,NA,NA,NA,13.6774433,28.30520833,25.2605,28.351,24.52154167,2.18589681911765,2.77693409545455,2.77892536956522,2.67483303148148,3.39471134,3.23306865868693,3.93041705461144,4.23418160664247,3.78688341308246,4.75979875925051,2.81614891995798,3.25312457164502,2.15780735714286,3.02933038597884,3.30328276857143,3.86332075952727,4.40660753080192,3.61306359422011,4.14138076757981,4.66837018782193,3.36236740735294,3.62541894393939,3.86588189130435,3.67483303148148,4.25471134,4.40953924692223,4.77890190309629,5.3211381283816,4.78688341308245,5.61979875925051,2.99261950819328,3.10160942012987,2.24476387888199,3.73000939708995,3.15412443457143,4.03979134776256,4.25509237928677,3.70002011595924,4.14138076757981,4.52837018782193,97,0.0353186687115148,2.70805020110221,3.120895416508,0.693147180559945,5.33333333333333,2.42036812865043,0.426695273655861,0.153736582936488,-1.28433333333333,-1.0525,-1.10166666666667,-0.453727726870504,-0.386859920133043,-0.693903349325268,-0.709009825125236,-0.560875205363514,-0.0647931913068778,-0.0847128332810012,2.15716666666667,-0.0644265590403919,0.0579138115400486,-0.0160103469923314,0.0754142555831798,0.7985,3,1.47419493875182,0.318028311916107,0.312728749692742,1.0779859328335,-2.30726660687491,2.06550824223764,0.657035063783798,NA,-0.743677039771604,1.91084682793682
"4",1977,1979,"Coastal","BM_32516","F",133,NA,NA,NA,NA,25.11268428,25.0977573,28.032,9.179434708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,-0.462302701742292,1.6094379124341,-1.20397280432594,-1.84582669049833,4.33333333333333,2.484906649788,0.200421193103148,0.290534884706359,0.617,0.511666666666667,0.230833333333333,0.589605485664084,-0.263526624946643,-0.273903273031312,-0.215676644379828,-0.040875264173426,-0.287658694516974,-0.930792307682202,-0.0620833333333333,-0.0858358274640718,0.0342696255022119,-0.0383916196280953,-0.413463718570123,1.24926666666667,5,0.508554908629026,-0.526637549749487,-0.174639346807695,1.38387501263834,-2.10496362316281,0.603018523480726,0.551543991630417,NA,-0.930529988561145,0.486235918418807
"5",1985,1987,"Coastal","BM_34967","F",124,NA,NA,NA,11.93828522,25.48749785,25.7273256,26.87166667,27.06912758,2.04496904705882,2.61351706515152,3.25848703913044,3.46867451111111,3.44667629,3.09214088662811,3.76700002430841,4.71374327620769,4.58072489271208,4.81176370925051,2.67522114789916,3.08970754134199,2.63736902670807,3.82317186560847,3.35524771857143,3.72239298746845,4.24319050049889,4.09262526378533,4.93522224720944,4.72033513782194,3.22143963529412,3.46200191363636,4.34544356086957,4.46867451111111,4.30667629,4.26861147486341,4.61548487279326,5.80069979794682,5.58072489271208,5.67176370925051,2.85169173613445,2.93819238982684,2.7243255484472,3.53027747116402,2.93841395457143,3.89886357570374,4.09167534898374,4.17958178552446,4.93522224720944,4.58033513782194,107,-0.104765962172115,3.3557350075854,-1.84582669049833,-1.09861228866811,17.6666666666667,2.31088389580874,-0.123443605477567,-0.0359418120831752,-0.38925,-0.598333333333333,0.449166666666667,-0.547061130139953,-0.000193304328977462,-0.224236550415744,-0.919009863272219,-0.422625212039224,-0.148694836781145,-0.353385296219233,1.0065,0.0143289815098768,-0.178465320811219,-0.0624059368781289,-0.0632101113270895,-0.393916666666667,13,0.753187695414325,-0.476267973956725,-0.905857466254066,-1.17414018254986,-0.523438100914336,0.896546661731667,2.26596926796017,NA,-0.51351614954981,0.778049735167134
"6",1985,1987,"Coastal","BM_34969","M",104,NA,NA,NA,12.55011945,27.69229167,23.94979167,29.46666667,25.52725,2.27566258088235,2.85487457878788,2.73905917826087,3.06983899074074,3.843309444,3.32283442045164,4.00835753794478,4.19431541533812,4.18188937234171,5.20839686325051,2.90591468172269,3.33106505497835,2.11794116583851,3.42433634523809,3.75188087257143,3.95308652129198,4.48454801413525,3.57319740291576,4.53638672683907,5.11696829182193,3.45213316911765,3.70335942727273,3.8260157,4.06983899074074,4.703309444,4.49930500868693,4.85684238642962,5.28127193707725,5.18188937234171,6.06839686325051,3.08238526995798,3.1795499034632,2.20489768757764,3.82526998783069,3.25700587257143,4.12955710952727,4.3330328626201,3.66015392465489,4.53638672683907,4.97696829182193,107,-0.104765962172115,3.3557350075854,-1.84582669049833,-1.09861228866811,17.6666666666667,2.31088389580874,-0.123443605477567,-0.0359418120831752,-0.38925,-0.598333333333333,0.449166666666667,-0.547061130139953,-0.000193304328977462,-0.224236550415744,-0.919009863272219,-0.422625212039224,-0.148694836781145,-0.353385296219233,1.0065,0.0143289815098768,-0.178465320811219,-0.0624059368781289,-0.0632101113270895,-0.393916666666667,13,0.753187695414325,-0.476267973956725,-0.905857466254066,-1.17414018254986,-0.523438100914336,0.896546661731667,2.26596926796017,NA,-0.51351614954981,0.778049735167134
"7",1985,1987,"Coastal","BM_34974","M",123,NA,NA,NA,9.545861254,24.9448417,27.02557781,NA,20.7483262,2.35513313029412,2.89378491606061,4.06080794695652,2.74119721222222,NA,3.4023049698634,4.0472678752175,5.51606418403378,3.8532475938232,NA,2.98538523113445,3.36997539225108,3.43968993453416,3.09569456671958,NA,4.03255707070374,4.52345835140798,4.89494617161142,4.20774494832055,NA,3.53160371852941,3.74226976454545,5.14776446869565,3.74119721222222,NA,4.5787755580987,4.89575272370235,6.60302070577291,4.8532475938232,NA,3.16185581936975,3.21846024073593,3.52664645627329,3.87282706671958,3.30836751777143,4.20902765893903,4.37194319989283,4.98190269335055,4.20774494832055,NA,107,-0.104765962172115,3.3557350075854,-1.84582669049833,-1.09861228866811,17.6666666666667,2.31088389580874,-0.123443605477567,-0.0359418120831752,-0.38925,-0.598333333333333,0.449166666666667,-0.547061130139953,-0.000193304328977462,-0.224236550415744,-0.919009863272219,-0.422625212039224,-0.148694836781145,-0.353385296219233,1.0065,0.0143289815098768,-0.178465320811219,-0.0624059368781289,-0.0632101113270895,-0.393916666666667,13,0.753187695414325,-0.476267973956725,-0.905857466254066,-1.17414018254986,-0.523438100914336,0.896546661731667,2.26596926796017,NA,-0.51351614954981,0.778049735167134
"8",1984,1986,"Coastal","BM_34983","M",106,NA,NA,NA,9.275568299,24.26778952,23.63908827,28.436,20.75247541,2.79269162514706,2.83215473045455,3.38337390673913,2.79201983537037,4.2920863402,3.83986346471635,3.98563768961144,4.83863014381638,3.90407021697134,5.65717375945051,3.42294372598739,3.30834520664502,2.76225589431677,3.14651718986772,4.20065776877143,4.47011556555668,4.46182816580192,4.21751213139402,4.2585675714687,5.56574518802193,3.96916221338235,3.68063957893939,4.47033042847826,3.79201983537037,5.1520863402,5.01633405295164,4.83412253809629,5.92558666555552,4.90407021697134,6.51717375945051,3.59941431422269,3.15683005512987,2.8492124160559,3.79750128431217,3.22701567277143,4.64658615379198,4.31031301428677,4.30446865313315,4.2585675714687,5.42574518802193,106,0.120584152074587,-2.51230562397611,-3.06027079469156,1.94591014905531,4.66666666666667,-1.70474809223843,-0.508989487967076,-0.23872444074847,-0.118416666666667,-0.505833333333333,0.8375,0.679605638251973,0.0958067312748572,-0.0972366953742689,-0.0256767461050682,0.163124732011873,0.0140508860861654,0.0565458237779026,1.03233333333333,-0.0694559074453949,0.127625034032606,0.0121753969174101,0.159862927656247,0.620758333333333,12,0.889661985844488,-1.05081811755057,-0.796181387324939,-1.32786480145061,-0.622202636713689,-0.677448240319906,1.40016106095317,NA,-0.686747189501774,-0.754745973287469
"9",1985,1987,"Coastal","BM_34988","M",138,NA,NA,NA,12.64108407,28.90800816,27.38628651,31.37466667,26.56309192,2.23343372794118,3.02529152878788,3.46634835652174,3.24481626851852,4.20671652,3.28060556751046,4.17877448794478,4.92160459359899,4.35686665011949,5.57180393925051,2.86368582878151,3.50148200497836,2.84523034409938,3.59931362301587,4.11528794857143,3.9108576683508,4.65496496413525,4.30048658117663,4.71136400461685,5.48037536782193,3.40990431617647,3.87377637727273,4.55330487826087,4.24481626851852,5.06671652,4.45707615574576,5.02725933642962,6.00856111533813,5.35686665011949,6.43180393925051,3.04015641701681,3.3499668534632,2.93218686583851,4.03355737116402,3.48195624657143,4.08732825658609,4.5034498126201,4.38744310291576,4.71136400461685,5.34037536782193,107,-0.104765962172115,3.3557350075854,-1.84582669049833,-1.09861228866811,17.6666666666667,2.31088389580874,-0.123443605477567,-0.0359418120831752,-0.38925,-0.598333333333333,0.449166666666667,-0.547061130139953,-0.000193304328977462,-0.224236550415744,-0.919009863272219,-0.422625212039224,-0.148694836781145,-0.353385296219233,1.0065,0.0143289815098768,-0.178465320811219,-0.0624059368781289,-0.0632101113270895,-0.393916666666667,13,0.753187695414325,-0.476267973956725,-0.905857466254066,-1.17414018254986,-0.523438100914336,0.896546661731667,2.26596926796017,NA,-0.51351614954981,0.778049735167134
"10",1985,1987,"Coastal","BM_34989","F",119,NA,NA,NA,11.16191237,29.17720619,22.74430326,28.43166667,25.87286813,2.323113125,3.29019603333333,2.77878062826087,3.39091773333333,3.91395086,3.37028496456929,4.44367899249023,4.23403686533812,4.50296811493431,5.27903827925051,2.95336522584034,3.76638650952381,2.15766261583851,3.74541508783069,3.82252228857143,4.00053706540962,4.91986946868071,3.61291885291576,4.85746546943166,5.18760970782193,3.49958371323529,4.13868088181818,3.86573715,4.39091773333333,4.77395086,4.54675555280458,5.29216384097508,5.32099338707725,5.50296811493431,6.13903827925051,3.12983581407563,3.61487135800866,2.24461913757764,4.35732954338624,3.83163019257143,4.17700765364492,4.76835431716556,3.69987537465489,4.85746546943166,5.04760970782193,107,-0.104765962172115,3.3557350075854,-1.84582669049833,-1.09861228866811,17.6666666666667,2.31088389580874,-0.123443605477567,-0.0359418120831752,-0.38925,-0.598333333333333,0.449166666666667,-0.547061130139953,-0.000193304328977462,-0.224236550415744,-0.919009863272219,-0.422625212039224,-0.148694836781145,-0.353385296219233,1.0065,0.0143289815098768,-0.178465320811219,-0.0624059368781289,-0.0632101113270895,-0.393916666666667,13,0.753187695414325,-0.476267973956725,-0.905857466254066,-1.17414018254986,-0.523438100914336,0.896546661731667,2.26596926796017,NA,-0.51351614954981,0.778049735167134
