"","Sample.ID","Year","Up.DFA1","Climate.DFA1.x","SST.DFA1","Dis.DFA1","years.x","Location.2","TP","AA","TP.norm","years.y","PHE.mean","PHE.norm","years","d13C.s","d13C.norm"
"1","BM_20228",1960,-0.751345650871164,-0.37485185081782,0.398062378362935,0.365822964058775,1959,"Coastal",5.27644867768595,"Glu",0.906918646433419,1959,10.86231661,-0.499432663702933,1959,NA,NA
"2","BM_20228",1960,-0.751345650871164,-0.37485185081782,0.398062378362935,0.365822964058775,1959,"Coastal",4.79475100245901,"ASP",0.806300750517744,1959,10.86231661,-0.499432663702933,1959,NA,NA
"3","BM_20228",1960,-0.751345650871164,-0.37485185081782,0.398062378362935,0.365822964058775,1959,"Coastal",6.9198896590909,"ALA",0.906918646433419,1959,10.86231661,-0.499432663702933,1959,NA,NA
"4","BM_32052",1978,0.292696571755813,0.0691032455316327,0.225930380998904,-0.413586996257569,1977,"Inland",6.77232251232954,"ALA",0.774203681393914,1977,9.919833049,-0.871214096743065,1977,NA,NA
"5","BM_32052",1978,0.292696571755813,0.0691032455316327,0.225930380998904,-0.413586996257569,1977,"Inland",5.16912711640496,"Glu",0.774203681393914,1977,9.919833049,-0.871214096743065,1977,NA,NA
"6","BM_32052",1978,0.292696571755813,0.0691032455316327,0.225930380998904,-0.413586996257569,1977,"Inland",4.07921672610656,"ASP",0.363477514479973,1977,9.919833049,-0.871214096743065,1977,NA,NA
"7","BM_32053",1978,0.292696571755813,0.0691032455316327,0.225930380998904,-0.413586996257569,1977,"Inland",5.7042247278409,"ALA",-0.186393329785115,1977,13.6774433,0.611050190647588,1977,NA,NA
"8","BM_32053",1978,0.292696571755813,0.0691032455316327,0.225930380998904,-0.413586996257569,1977,"Inland",3.59461838483606,"ASP",0.063573774363083,1977,13.6774433,0.611050190647588,1977,NA,NA
"9","BM_32053",1978,0.292696571755813,0.0691032455316327,0.225930380998904,-0.413586996257569,1977,"Inland",4.39232872768595,"Glu",-0.186393329785115,1977,13.6774433,0.611050190647588,1977,NA,NA
"10","BM_32516",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Coastal",NA,"ASP",NA,1979,NA,NA,1979,NA,NA
"11","BM_32516",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Coastal",NA,"Glu",NA,1979,NA,NA,1979,NA,NA
"12","BM_32516",1980,-0.364141555932805,0.564552897205082,0.137056236104267,-0.604183081586385,1979,"Coastal",NA,"ALA",NA,1979,NA,NA,1979,NA,NA
"13","BM_34967",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",4.0803507607438,"Glu",-0.572188546343864,1987,11.93828522,-0.0749953914946395,1987,NA,NA
"14","BM_34967",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",4.82442198852459,"ASP",0.82466325599123,1987,11.93828522,-0.0749953914946395,1987,NA,NA
"15","BM_34967",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",5.27525502329545,"ALA",-0.572188546343864,1987,11.93828522,-0.0749953914946395,1987,NA,NA
"16","BM_34969",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",4.54112419586777,"Glu",-0.00239129774158271,1987,12.55011945,0.166354820036961,1987,NA,NA
"17","BM_34969",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",4.20655384631147,"ASP",0.442282733880946,1987,12.55011945,0.166354820036961,1987,NA,NA
"18","BM_34969",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",5.90881849659091,"ALA",-0.00239129774158301,1987,12.55011945,0.166354820036961,1987,NA,NA
"19","BM_34974",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",6.01095813193182,"ALA",0.0894682958801448,1987,9.545861254,-1.0187347279933,1987,NA,NA
"20","BM_34974",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",3.69742846811475,"ASP",0.1271999279652,1987,9.545861254,-1.0187347279933,1987,NA,NA
"21","BM_34974",1988,0.137313754291952,-0.596697641316814,-0.480847688891094,-1.30503098052299,1987,"Coastal",4.6154075670248,"Glu",0.0894682958801451,1987,9.545861254,-1.0187347279933,1987,NA,NA
"22","BM_34983",1987,-0.531297059389928,1.81594383396053,-0.212857818296482,-1.1597035555614,1986,"Coastal",5.84917889471591,"ALA",-0.0560283562029107,1986,9.275568299,-1.12535717352851,1986,NA,NA
"23","BM_34983",1987,-0.531297059389928,1.81594383396053,-0.212857818296482,-1.1597035555614,1986,"Coastal",3.77616187610656,"ASP",0.175925731415095,1986,9.275568299,-1.12535717352851,1986,NA,NA
"24","BM_34983",1987,-0.531297059389928,1.81594383396053,-0.212857818296482,-1.1597035555614,1986,"Coastal",4.49774993995868,"Glu",-0.0560283562029103,1986,9.275568299,-1.12535717352851,1986,NA,NA
