UTC,Year,Month,DAY,degrees_north,degrees_east,Upwelling Index,Upwelling Index Anomaly
7/15/48 0:00,1948,7,15,45,235,30,-44
8/15/48 0:00,1948,8,15,45,235,23,-27
9/15/48 0:00,1948,9,15,45,235,2,-14
10/15/48 0:00,1948,10,15,45,235,-3,17
11/15/48 0:00,1948,11,15,45,235,-41,33
12/15/48 0:00,1948,12,15,45,235,-37,56
1/15/49 0:00,1949,1,15,45,235,1,95
2/15/49 0:00,1949,2,15,45,235,-61,-14
3/15/49 0:00,1949,3,15,45,235,-4,11
4/15/49 0:00,1949,4,15,45,235,-3,-12
5/15/49 0:00,1949,5,15,45,235,7,-27
6/15/49 0:00,1949,6,15,45,235,57,9
7/15/49 0:00,1949,7,15,45,235,62,-12
8/15/49 0:00,1949,8,15,45,235,7,-43
9/15/49 0:00,1949,9,15,45,235,7,-9
10/15/49 0:00,1949,10,15,45,235,3,23
11/15/49 0:00,1949,11,15,45,235,-212,-138
12/15/49 0:00,1949,12,15,45,235,-50,43
1/15/50 0:00,1950,1,15,45,235,-16,78
2/15/50 0:00,1950,2,15,45,235,-166,-119
3/15/50 0:00,1950,3,15,45,235,-49,-34
4/15/50 0:00,1950,4,15,45,235,-4,-13
5/15/50 0:00,1950,5,15,45,235,49,15
6/15/50 0:00,1950,6,15,45,235,32,-16
7/15/50 0:00,1950,7,15,45,235,71,-3
8/15/50 0:00,1950,8,15,45,235,15,-35
9/15/50 0:00,1950,9,15,45,235,14,-2
10/15/50 0:00,1950,10,15,45,235,-54,-34
11/15/50 0:00,1950,11,15,45,235,-72,2
12/15/50 0:00,1950,12,15,45,235,-168,-75
1/15/51 0:00,1951,1,15,45,235,-65,29
2/15/51 0:00,1951,2,15,45,235,-39,8
3/15/51 0:00,1951,3,15,45,235,-2,13
4/15/51 0:00,1951,4,15,45,235,34,25
5/15/51 0:00,1951,5,15,45,235,16,-18
6/15/51 0:00,1951,6,15,45,235,105,57
7/15/51 0:00,1951,7,15,45,235,60,-14
8/15/51 0:00,1951,8,15,45,235,98,48
9/15/51 0:00,1951,9,15,45,235,6,-10
10/15/51 0:00,1951,10,15,45,235,-16,4
11/15/51 0:00,1951,11,15,45,235,-138,-64
12/15/51 0:00,1951,12,15,45,235,-19,74
1/15/52 0:00,1952,1,15,45,235,-135,-41
2/15/52 0:00,1952,2,15,45,235,-30,17
3/15/52 0:00,1952,3,15,45,235,1,16
4/15/52 0:00,1952,4,15,45,235,-2,-11
5/15/52 0:00,1952,5,15,45,235,18,-16
6/15/52 0:00,1952,6,15,45,235,31,-17
7/15/52 0:00,1952,7,15,45,235,82,8
8/15/52 0:00,1952,8,15,45,235,50,0
9/15/52 0:00,1952,9,15,45,235,15,-1
10/15/52 0:00,1952,10,15,45,235,-1,19
11/15/52 0:00,1952,11,15,45,235,-64,10
12/15/52 0:00,1952,12,15,45,235,-273,-180
1/15/53 0:00,1953,1,15,45,235,-235,-141
2/15/53 0:00,1953,2,15,45,235,-1,46
3/15/53 0:00,1953,3,15,45,235,-17,-2
