Year,1,2,3,4,5,6,7,8,9,10,11,12
1931,22711.065,22580.116,20852.27,13904.039,27193.291,28773.538,28297.351,32570.065,45407.959,46524.654,47146.847,14994.962
1932,6501.6639,2480.1395,5941.0543,11015.711,15929.653,21534.492,25594.475,30406.724,30968.155,49560.765,28644.352,24081.305
1933,6230.9806,2029.3995,1832.2645,10148.077,20524.839,15161.938,21056.001,29748.147,38342.198,30171.244,40637.537,35716.485
1934,2876.3329,4027.2758,9954.4787,14362.87,17276.234,14580.924,18545.082,19224.004,27745.818,25660.246,31010.997,8704.6042
1935,8354.0119,2309.8455,10728.973,4169.7442,10673.598,18902.503,26275.93,26400.962,40981.6,24904.377,19203.423,24907.726
1936,31119.308,5624.3086,735.02926,9210.4349,22191.961,16113.757,13887.832,26904.148,30280.681,47074.555,54175.424,53248.736
1937,16361.247,2881.1361,4425.6358,12460.374,22106.891,20438.411,24706.862,27647.936,43243.895,46633.448,51816.052,21560.385
1938,10589.405,3743.2448,2562.4503,11188.936,27136.179,31881.597,30154.998,27055.578,41243.012,64214.84,50665.534,31378.919
1939,29001.258,27971.72,9589.5948,13077.629,25391.744,18965.793,22544.286,42108.151,49631.936,46179.097,57066.742,53222.135
1940,35192.169,14570.806,18057.82,29352.279,18454.436,21785.607,17651.668,24976.348,53759.895,45861.811,38778.93,35809.841
1941,23040.707,25300.886,24724.963,34361.23,16286.911,16888.796,24762.844,19725.529,16135.996,30369.192,39202.485,26824.921
1942,12096.545,32301.463,17687.84,22293.453,19069.556,20587.326,19465.205,35844.8,34673.574,40012.889,38817.494,18170.463
1943,9521.969,3059.1327,2124.4471,8318.1845,22039.254,20734.41,17229.088,30294.528,49435.46,49295.839,49657.927,60036.622
1944,40191.114,27010.337,12569.6,22979.081,27650.338,20634.304,20129.869,26663.142,34313.702,35849.041,50751.569,27817.606
1945,24849.735,32654.947,19871.156,20735.762,16488.228,13050.523,23580.72,39928.401,29043.964,49131.205,38155.144,6697.1268
1946,7310.1007,17431.97,14036.431,19543.596,24664.578,11653.587,15416.991,32831.152,33304.603,45777.958,31671.89,21968.239
1947,8259.9011,2816.2625,7683.3834,16646.316,27063.256,19577.09,23060.337,25172.834,47432.76,50666.167,51729.887,39330.061
1948,30427.829,21836.139,4441.2608,5853.1475,8832.3414,17071.061,19895.823,21892.058,34356.51,69406.572,44241.976,34978.79
1949,9239.2821,2650.7493,6334.8587,11504.538,29053.384,22303.413,27423.36,24737.177,41882.68,45366.95,46702.383,31849.824
1950,5666.0141,615.991,5280.4817,12818.978,25130.476,21652.066,11228.328,23891.225,33845.874,32842.532,16254.959,5922.2198
1951,8791.6361,6820.6351,1689.2963,7175.148,15012.206,19948.237,23285.793,24011.044,44946.818,34759.858,34073.019,22428.066
1952,6452.598,2508.4636,8690.9361,16996.381,23752.389,20290.572,23654.53,25502.38,34929.918,61509.782,58232.026,30050.288
1953,16904.456,6241.9329,13872.484,23867.189,18111.22,17583.91,13750.248,25598.797,40083.672,43320.86,47060.807,25817.469
1954,26215.957,6451.6461,3129.0189,5957.3142,17411.3,15400.329,20876.21,24763.55,24103.793,42595.95,38981.221,29598.24
1955,15652.304,11923.779,17522.534,12623.564,17452.735,27169.042,23142.347,26912.776,43495.256,43295.253,35066.005,6597.0453
1956,1292.9166,1392.5773,1988.0191,11234.118,29367.696,24603.969,22450.717,31575.693,51597.088,35603.356,38754.02,34637.669
1957,13716.617,895.24967,4746.0081,9596.4417,19244.125,14863.162,19043.964,26510.653,38695.16,38967.718,37486.24,34701.208
1958,20112.423,24707.11,15817.177,10812.289,21661.351,23798.111,25120.667,29033.177,36883.722,37530.021,42966.562,27856.5
1959,26001.484,6055.8899,9756.1698,27777.648,20003.507,14414.952,24820.401,30236.183,33903.933,39573.09,41669.433,33715.296
1960,31374.82,12570.489,8509.0892,21061.174,18382.496,14321.511,25685.217,27636.323,36669.083,40635.596,47408.181,38230.07
1961,38226.324,20087.189,23721.121,16623.068,26901.372,17599.125,24246.996,29108.866,41608.524,31579.526,43384.677,22340.634
1962,9773.881,3216.9917,2234.1075,12564.103,21464.985,17104.537,24647.599,19697.85,34778.824,48318.151,38090.279,26006.705
1963,22875.16,15616.844,14620.174,12682.141,18041.031,16859.812,23811.769,22363.192,23609.853,44665.237,28877.325,15905.703
1964,13877.838,18105.404,24114.287,17510.038,18493.604,19015.983,18957.421,31776.145,32361.213,31302.607,33470.85,19702.791
1965,8469.8412,2601.725,7639.9039,11301.222,21302.006,24231.087,20540.059,16329.016,29011.461,26150.865,36987.856,10695.656
1966,8423.6062,1519.7908,7041.7363,17665.472,17062.532,25251.196,14304.747,29903.795,44199.743,45451.691,32664.829,8378.1051
1967,7417.6343,1910.5818,11086.916,3966.9479,7067.0821,20769.319,17306.515,33202.961,49948.957,51209.406,41848.227,21495.838
1968,7456.777,7152.3865,11368.032,20327.07,22410.165,11003.695,15332.065,19592.754,30469.459,47971.618,33273.976,24200.673
1969,3933.1263,1090.3368,1254.9538,8633.0688,20907.677,15516.598,15815.691,27863.939,36505.567,41610.07,29376.204,57255.563
1970,22506.225,13144.972,20096.496,22941.677,17214.298,17330.024,18366.482,24449.497,27419.656,38799.729,27591.14,12845.119
1971,6909.028,2552.9621,7753.9637,9485.1239,22929.273,21405.432,21274.129,22903.573,37698.473,39045.335,27871.574,17446.194
1972,5477.1989,1533.0049,1493.2422,1702.1724,10932.949,18477.07,17665.666,26357.261,42857.654,42433.819,39239.44,18930.807
1973,7139.0569,2023.5404,2100.4044,10461.798,20965.825,21925.123,23230.014,28661.036,29153.91,39252.303,29146.742,3764.3184
1974,8045.5307,5345.1188,11731.209,6310.5175,10512.749,18407.242,20874.917,20670.08,32425.732,44401.817,66284.646,34610.873
1975,25899.651,8715.1507,1825.8461,9506.0406,20611.922,17869.662,23065.509,27251.823,37192.299,42759.904,22514.278,15694.5
1976,11588.44,13600.198,8127.8269,12995.673,19941.242,23578.651,19229.899,30471.989,48310.319,50221.15,61971.909,27615.157
1977,34555.705,38650.889,26858.636,19940.911,21585.092,11834.004,19838.418,22772.143,25780.344,41416.738,34706.151,8843.9507
1978,2031.8668,1953.777,9918.6361,16959.305,21652.752,18413.916,16680.354,18276.313,26434.654,37390.93,50305.639,20061.097
1979,9150.4817,1137.8274,6416.0609,9316.2283,9908.8512,20079.112,22128.257,30110.579,29169.273,45539.977,44210.309,26158.439
1980,13064.475,2146.5285,10203.251,21330.578,25893.69,13779.364,19987.054,27018.479,32175.942,48196.663,52880.48,33559.445
1981,17254.273,15777.276,18392.616,17480.028,16407.735,13412.923,21321.02,33887.318,36202.776,54435.934,27164.232,26577.981
1982,6007.0902,1460.3205,1012.9662,7990.9104,18491.878,24623.167,12607.258,19608.145,39092.448,34485.814,39803.695,15624.611
1983,11994.522,23183.455,14903.597,16826.285,23189.253,22151.723,18892.077,24841.962,44242.452,35613.043,37531.206,10071.646
1984,3276.7538,13222.771,27110.672,22930.877,12549.077,13809.306,21790.203,26333.925,38435.084,31729.03,25509.887,15827.082
1985,18917.192,17631.237,11763.357,7886.4916,21878.852,24031.911,26386.491,25806.11,43036.372,35513.408,28185.821,18141.99
1986,20472.58,24419.416,5999.921,14339.069,21026.026,22917.744,23650.177,34242.423,36106.154,42530.077,50131.932,37004.629
1987,34104.626,28151.863,21974.316,16598.615,28028.04,30135.451,23082.771,15158.307,38223.065,61178.371,47467.514,40025.087
1988,21431.483,7890.2484,18402.41,31803.469,17529.12,19747.806,18509.306,35815.073,39849.158,43676.006,34643.49,35293.853
1989,20234.524,11768.904,212.7629,7686.5754,13806.647,21870.658,16976.441,26892.339,34638.391,44808.088,28673.582,37355.974
1990,36508.245,7460.4176,6867.0864,13035.732,13997.909,15502.652,26616.147,27564.79,48860.4,45599.848,28891.507,9480.2504
1991,3089.0591,2506.7131,12819.447,17783.521,26101.53,22448.24,24639.445,35387.458,58802.321,54366.162,44994.867,39448.098
