Year,Month,Discharge
1879,1,65890
1879,2,87240
1879,3,181200
1879,4,360000
1879,5,395000
1879,6,612300
1879,7,501300
1879,8,275200
1879,9,153900
1879,10,110200
1879,11,85370
1879,12,85370
1880,1,98430
1880,2,77150
1880,3,75180
1880,4,151100
1880,5,404400
1880,6,697600
1880,7,793300
1880,8,385700
1880,9,198200
1880,10,130500
1880,11,103900
1880,12,80730
1881,1,106800
1881,2,211500
1881,3,220800
1881,4,386400
1881,5,425600
1881,6,546100
1881,7,431300
1881,8,243600
1881,9,141000
1881,10,110000
1881,11,111700
1881,12,86440
1882,1,78370
1882,2,66710
1882,3,95600
1882,4,229300
1882,5,335800
1882,6,770100
1882,7,477500
1882,8,262800
1882,9,149800
1882,10,110100
1882,11,94430
1882,12,121400
1883,1,87150
1883,2,87520
1883,3,178100
1883,4,197200
1883,5,403900
1883,6,533500
1883,7,396800
1883,8,201700
1883,9,125600
1883,10,90830
1883,11,74340
1883,12,73450
1884,1,71910
1884,2,71940
1884,3,104700
1884,4,202800
1884,5,404000
1884,6,648200
1884,7,403400
1884,8,255400
1884,9,165900
1884,10,133300
1884,11,134600
1884,12,80640
1885,1,93370
1885,2,163800
1885,3,188700
1885,4,258800
1885,5,372300
1885,6,445000
1885,7,340000
1885,8,202700
1885,9,155200
1885,10,122300
1885,11,102900
1885,12,102500
1886,1,92440
1886,2,178100
1886,3,121600
1886,4,209200
1886,5,342400
1886,6,577100
1886,7,350900
1886,8,200900
1886,9,125300
1886,10,85920
1886,11,69730
1886,12,75350
1887,1,99140
1887,2,75270
1887,3,175600
1887,4,258900
1887,5,422400
1887,6,809200
1887,7,585100
1887,8,288500
1887,9,170600
1887,10,114000
1887,11,100300
1887,12,99210
1888,1,69670
1888,2,144400
1888,3,120300
1888,4,189400
1888,5,361700
1888,6,515300
1888,7,338300
1888,8,212500
1888,9,153300
1888,10,102200
1888,11,93210
1888,12,85480
1889,1,66450
1889,2,62980
1889,3,88720
1889,4,152400
1889,5,254100
1889,6,267700
1889,7,182600
1889,8,149400
1889,9,96400
1889,10,87500
1889,11,77420
1889,12,64560
1890,1,51410
1890,2,117400
1890,3,119600
1890,4,192000
1890,5,558600
1890,6,437000
1890,7,325800
1890,8,194300
1890,9,121100
1890,10,89080
1890,11,77610
1890,12,69630
1891,1,65870
1891,2,62640
1891,3,73710
1891,4,136900
1891,5,341600
1891,6,419500
1891,7,305500
1891,8,204800
1891,9,131700
1891,10,88300
1891,11,107600
1891,12,99790
1892,1,78980
1892,2,72960
1892,3,126800
1892,4,153000
1892,5,297800
1892,6,543600
1892,7,446800
1892,8,210000
1892,9,144900
1892,10,110700
1892,11,98170
1892,12,85970
1893,1,77740
1893,2,81950
1893,3,71030
1893,4,170400
1893,5,440900
1893,6,597400
1893,7,464500
1893,8,273400
1893,9,149500
1893,10,122200
1893,11,141700
1893,12,166500
1894,1,145000
1894,2,114400
1894,3,162900
1894,4,322900
1894,5,580000
1894,6,1002000
1894,7,553100
1894,8,270700
1894,9,175000
1894,10,132700
1894,11,136100
1894,12,114300
1895,1,102400
1895,2,94030
1895,3,119000
1895,4,181600
1895,5,376300
1895,6,380800
1895,7,347700
1895,8,205600
1895,9,128900
1895,10,96500
1895,11,78630
1895,12,75260
1896,1,90310
1896,2,92560
1896,3,134500
1896,4,180400
1896,5,267800
1896,6,679100
1896,7,638500
1896,8,256300
1896,9,157300
1896,10,89330
1896,11,121500
1896,12,162900
1897,1,114700
1897,2,122600
1897,3,108600
1897,4,302400
1897,5,624400
1897,6,540300
1897,7,372500
1897,8,210000
1897,9,137400
1897,10,97070
1897,11,113700
1897,12,140800
1898,1,113400
1898,2,146800
1898,3,147400
1898,4,201000
1898,5,419700
1898,6,603000
1898,7,399300
1898,8,236900
1898,9,143000
1898,10,97380
