Year,1,2,3,4,5,6,7,8,9,10,11,12
1946,132,-79,-1,-52,5,0,-8,-1,-10,67,88,101
1947,183,-81,-12,-14,-7,-7,-1,8,-5,-59,50,31
1948,112,29,24,25,-4,2,0,13,-7,-33,25,94
1949,148,5,12,-31,8,-7,-2,2,-8,33,-19,86
1950,164,-246,-22,-70,-25,-3,-13,-8,1,5,-97,17
1951,-48,76,-23,6,7,15,1,6,-11,11,-6,119
1952,-84,-9,30,-29,-5,-1,5,5,-3,16,15,-144
1953,-111,-8,-2,-25,8,1,-1,1,8,-51,11,28
1954,22,33,44,4,3,-11,-7,12,18,-7,-17,47
1955,98,79,21,8,-18,0,6,-11,10,-9,-99,-110
1956,-173,51,-17,2,-7,-1,1,-17,27,39,-29,-27
1957,161,49,-26,7,-3,0,1,5,7,36,38,37
1958,-28,-222,38,17,4,18,3,-32,22,-17,-11,-88
1959,-245,65,-45,15,8,-3,-6,4,11,24,8,2
1960,108,41,-96,-2,2,-3,-14,4,0,-6,21,11
1961,-29,-78,-39,19,-1,-31,-1,-2,29,63,47,53
1962,78,88,23,-36,10,0,-1,7,-7,-6,-49,8
1963,183,-97,45,22,-6,8,8,16,-60,-80,-12,-84
1964,27,47,19,16,10,1,-3,0,24,14,2,-58
1965,-104,24,28,6,12,-9,-2,15,42,-88,10,77
1966,-237,85,-47,25,-2,1,30,-9,-58,20,34,-91
1967,-37,-20,28,28,9,20,-1,-3,-49,46,120,29
1968,122,-180,-52,-18,10,-3,-5,-2,-35,1,-70,-94
1969,-39,-59,4,-55,-1,5,-7,0,-5,-75,-23,-178
1970,12,-17,-11,15,-15,-4,-13,-9,15,54,-1,1
1971,-29,35,-10,-25,-18,0,7,-9,13,52,37,89
1972,114,-141,-24,-2,6,0,0,-12,28,60,41,32
1973,108,-5,25,-8,-37,-4,-1,8,8,2,43,-50
1974,83,-36,-4,-16,7,-2,5,11,1,-57,2,52
1975,108,-122,13,7,-7,1,-6,3,-5,26,35,5
1976,11,67,16,-30,-24,6,-7,-2,-52,30,-97,31
1977,65,-102,29,-11,14,0,-4,7,23,-83,81,-3
1978,-72,-141,-42,17,-13,23,0,2,-16,-7,80,99
1979,31,-195,5,25,-13,-1,-15,7,-31,-56,34,83
1980,0,-90,0,-148,7,11,-3,9,7,-84,-27,-81
1981,-123,73,-50,13,-5,-1,8,-19,-33,48,-12,-16
1982,-104,-48,18,-49,-7,3,0,6,10,24,36,-66
1983,-112,-113,-57,17,-3,-1,-2,-22,11,3,-22,-29
1984,95,-59,-58,-21,5,-4,-21,-2,-47,8,25,48
1985,16,55,-16,-23,4,-14,7,6,30,47,26,-68
1986,-136,-68,-48,-21,-12,-5,2,-5,29,-6,6,-56
1987,15,-34,-36,-114,-27,-58,9,6,-44,-17,-48,68
1988,62,-51,-63,-16,-18,-21,-7,-16,-6,1,-1,38
1989,143,60,-78,2,11,-1,2,7,18,11,69,2
1990,145,46,-82,11,15,0,0,-1,-10,37,72,134
1991,118,1,48,-35,4,5,-2,-22,-26,35,-41,8
1992,-23,-49,11,-4,5,2,0,-7,14,-2,21,77
1993,159,0,-35,-32,10,2,9,7,42,34,103,16
1994,9,-84,-25,-1,-15,-2,-1,8,-32,-19,90,-25
1995,0,36,-11,-35,7,-5,6,4,-15,14,-84,-138
1996,11,45,13,-45,14,-4,3,-6,4,8,-56,18
1997,6,-1,-17,-19,11,0,-14,6,0,38,15,7
1998,-126,-222,-22,-36,15,39,-3,-12,-2,2,36,55
1999,-91,-53,-26,-31,-42,-4,4,-20,-53,-12,-54,19
2000,63,36,-126,-51,1,-5,-1,5,3,-30,19,9
2001,-105,51,-67,-21,-63,-3,2,-3,-73,26,-26,7
2002,102,4,22,26,-7,-10,-9,2,15,21,-68,6
2003,-22,52,-24,-2,-11,-4,-2,2,-35,22,119,-14
2004,103,-49,10,-21,18,1,1,2,4,48,66,36
2005,133,47,-28,-15,-1,1,-5,3,14,-37,-44,-59
2006,52,90,-26,-29,-8,-2,11,0,-3,68,-43,-103
2007,137,3,-127,-79,-14,0,-4,6,14,4,37,52
2008,120,-100,-65,11,1,-1,-6,-3,-4,-34,9,103
2009,52,94,-69,12,6,9,15,-4,-20,9,15,75
2010,-102,-20,-91,-6,9,-24,-4,8,3,-36,42,61
2011,174,104,-13,4,6,6,-6,-26,-52,17,93,85
2012,119,8,12,-1,-51,-3,-3,-2,-35,72,-49,78
2013,133,-3,25,12,6,0,5,-2,-41,51,95,128
2014,109,64,-16,-1,10,-13,-8,-23,6,0,88,73
2015,68,32,-2,-41,24,-5,-5,0,1,10,87,42
2016,-29,-80,-49,-47,10,-5,-3,2,12,27,-65,93
2017,163,106,-52,-10,2,-21,-7,-19,8,58,31,47
2018,13,113,36,-11,-13,0,23,4,28,-38,33,46
