time,Month,Year,MEI
1/1/50 0:00,1,1950,-1.03
2/1/50 0:00,2,1950,-1.133
3/1/50 0:00,3,1950,-1.283
4/1/50 0:00,4,1950,-1.071
5/1/50 0:00,5,1950,-1.434
6/1/50 0:00,6,1950,-1.412
7/1/50 0:00,7,1950,-1.269
8/1/50 0:00,8,1950,-1.042
9/1/50 0:00,9,1950,-0.631
10/1/50 0:00,10,1950,-0.441
11/1/50 0:00,11,1950,-1.151
12/1/50 0:00,12,1950,-1.235
1/1/51 0:00,1,1951,-1.049
2/1/51 0:00,2,1951,-1.152
3/1/51 0:00,3,1951,-1.178
4/1/51 0:00,4,1951,-0.511
5/1/51 0:00,5,1951,-0.374
6/1/51 0:00,6,1951,0.288
7/1/51 0:00,7,1951,0.679
8/1/51 0:00,8,1951,0.818
9/1/51 0:00,9,1951,0.726
10/1/51 0:00,10,1951,0.72
11/1/51 0:00,11,1951,0.694
12/1/51 0:00,12,1951,0.504
1/1/52 0:00,1,1952,0.433
2/1/52 0:00,2,1952,0.138
3/1/52 0:00,3,1952,0.071
4/1/52 0:00,4,1952,0.224
5/1/52 0:00,5,1952,-0.307
6/1/52 0:00,6,1952,-0.756
7/1/52 0:00,7,1952,-0.305
8/1/52 0:00,8,1952,-0.374
9/1/52 0:00,9,1952,0.31
10/1/52 0:00,10,1952,0.265
11/1/52 0:00,11,1952,-0.351
12/1/52 0:00,12,1952,-0.098
1/1/53 0:00,1,1953,0.044
2/1/53 0:00,2,1953,0.401
3/1/53 0:00,3,1953,0.277
4/1/53 0:00,4,1953,0.687
5/1/53 0:00,5,1953,0.756
6/1/53 0:00,6,1953,0.191
7/1/53 0:00,7,1953,0.382
8/1/53 0:00,8,1953,0.209
9/1/53 0:00,9,1953,0.483
10/1/53 0:00,10,1953,0.087
11/1/53 0:00,11,1953,0.078
12/1/53 0:00,12,1953,0.351
1/1/54 0:00,1,1954,-0.036
2/1/54 0:00,2,1954,-0.027
3/1/54 0:00,3,1954,0.154
4/1/54 0:00,4,1954,-0.616
5/1/54 0:00,5,1954,-1.465
6/1/54 0:00,6,1954,-1.558
7/1/54 0:00,7,1954,-1.355
8/1/54 0:00,8,1954,-1.456
9/1/54 0:00,9,1954,-1.159
10/1/54 0:00,10,1954,-1.335
11/1/54 0:00,11,1954,-1.124
12/1/54 0:00,12,1954,-1.088
1/1/55 0:00,1,1955,-0.74
2/1/55 0:00,2,1955,-0.669
3/1/55 0:00,3,1955,-1.117
4/1/55 0:00,4,1955,-1.621
5/1/55 0:00,5,1955,-1.653
6/1/55 0:00,6,1955,-2.247
7/1/55 0:00,7,1955,-1.976
8/1/55 0:00,8,1955,-2.05
9/1/55 0:00,9,1955,-1.829
10/1/55 0:00,10,1955,-1.738
11/1/55 0:00,11,1955,-1.821
12/1/55 0:00,12,1955,-1.846
1/1/56 0:00,1,1956,-1.408
2/1/56 0:00,2,1956,-1.275
3/1/56 0:00,3,1956,-1.371
4/1/56 0:00,4,1956,-1.216
5/1/56 0:00,5,1956,-1.304
6/1/56 0:00,6,1956,-1.523
7/1/56 0:00,7,1956,-1.244
8/1/56 0:00,8,1956,-1.118
9/1/56 0:00,9,1956,-1.35
10/1/56 0:00,10,1956,-1.478
11/1/56 0:00,11,1956,-1.024
12/1/56 0:00,12,1956,-0.993
1/1/57 0:00,1,1957,-0.915
2/1/57 0:00,2,1957,-0.348
