time,Year,Month,ONI
1/1/50 0:00,1950,1,-1.53
2/1/50 0:00,1950,2,-1.34
3/1/50 0:00,1950,3,-1.16
4/1/50 0:00,1950,4,-1.18
5/1/50 0:00,1950,5,-1.07
6/1/50 0:00,1950,6,-0.85
7/1/50 0:00,1950,7,-0.54
8/1/50 0:00,1950,8,-0.42
9/1/50 0:00,1950,9,-0.39
10/1/50 0:00,1950,10,-0.44
11/1/50 0:00,1950,11,-0.6
12/1/50 0:00,1950,12,-0.8
1/1/51 0:00,1951,1,-0.82
2/1/51 0:00,1951,2,-0.54
3/1/51 0:00,1951,3,-0.17
4/1/51 0:00,1951,4,0.18
5/1/51 0:00,1951,5,0.36
6/1/51 0:00,1951,6,0.58
7/1/51 0:00,1951,7,0.7
8/1/51 0:00,1951,8,0.89
9/1/51 0:00,1951,9,0.99
10/1/51 0:00,1951,10,1.15
11/1/51 0:00,1951,11,1.04
12/1/51 0:00,1951,12,0.81
1/1/52 0:00,1952,1,0.53
2/1/52 0:00,1952,2,0.37
3/1/52 0:00,1952,3,0.34
4/1/52 0:00,1952,4,0.29
5/1/52 0:00,1952,5,0.2
6/1/52 0:00,1952,6,0
7/1/52 0:00,1952,7,-0.08
8/1/52 0:00,1952,8,0
9/1/52 0:00,1952,9,0.15
10/1/52 0:00,1952,10,0.1
11/1/52 0:00,1952,11,0.04
12/1/52 0:00,1952,12,0.15
1/1/53 0:00,1953,1,0.4
2/1/53 0:00,1953,2,0.6
3/1/53 0:00,1953,3,0.63
4/1/53 0:00,1953,4,0.66
5/1/53 0:00,1953,5,0.75
6/1/53 0:00,1953,6,0.77
7/1/53 0:00,1953,7,0.75
8/1/53 0:00,1953,8,0.73
9/1/53 0:00,1953,9,0.78
10/1/53 0:00,1953,10,0.84
11/1/53 0:00,1953,11,0.84
12/1/53 0:00,1953,12,0.81
1/1/54 0:00,1954,1,0.76
2/1/54 0:00,1954,2,0.47
3/1/54 0:00,1954,3,-0.05
4/1/54 0:00,1954,4,-0.41
5/1/54 0:00,1954,5,-0.54
6/1/54 0:00,1954,6,-0.5
7/1/54 0:00,1954,7,-0.64
8/1/54 0:00,1954,8,-0.84
9/1/54 0:00,1954,9,-0.9
10/1/54 0:00,1954,10,-0.77
11/1/54 0:00,1954,11,-0.73
12/1/54 0:00,1954,12,-0.66
1/1/55 0:00,1955,1,-0.68
2/1/55 0:00,1955,2,-0.62
3/1/55 0:00,1955,3,-0.69
4/1/55 0:00,1955,4,-0.8
5/1/55 0:00,1955,5,-0.79
6/1/55 0:00,1955,6,-0.72
7/1/55 0:00,1955,7,-0.68
8/1/55 0:00,1955,8,-0.75
9/1/55 0:00,1955,9,-1.09
10/1/55 0:00,1955,10,-1.42
11/1/55 0:00,1955,11,-1.67
12/1/55 0:00,1955,12,-1.47
1/1/56 0:00,1956,1,-1.11
2/1/56 0:00,1956,2,-0.76
3/1/56 0:00,1956,3,-0.63
4/1/56 0:00,1956,4,-0.54
5/1/56 0:00,1956,5,-0.52
6/1/56 0:00,1956,6,-0.51
7/1/56 0:00,1956,7,-0.57
8/1/56 0:00,1956,8,-0.55
9/1/56 0:00,1956,9,-0.46
10/1/56 0:00,1956,10,-0.42
11/1/56 0:00,1956,11,-0.43
12/1/56 0:00,1956,12,-0.43
1/1/57 0:00,1957,1,-0.25
2/1/57 0:00,1957,2,0.06
3/1/57 0:00,1957,3,0.41
4/1/57 0:00,1957,4,0.72
5/1/57 0:00,1957,5,0.92
6/1/57 0:00,1957,6,1.11
7/1/57 0:00,1957,7,1.25
