time,Year,sti
1/1/67 0:00,1967,83
1/1/68 0:00,1968,87
1/1/69 0:00,1969,115
1/1/70 0:00,1970,74
1/1/71 0:00,1971,102
1/1/72 0:00,1972,102
1/1/73 0:00,1973,79
1/1/74 0:00,1974,100
1/1/75 0:00,1975,81
1/1/76 0:00,1976,100
1/1/77 0:00,1977,73
1/1/78 0:00,1978,95
1/1/79 0:00,1979,127
1/1/80 0:00,1980,109
1/1/81 0:00,1981,173
1/1/82 0:00,1982,106
1/1/83 0:00,1983,127
1/1/84 0:00,1984,146
1/1/85 0:00,1985,123
1/1/86 0:00,1986,147
1/1/87 0:00,1987,105
1/1/88 0:00,1988,154
1/1/89 0:00,1989,95
1/1/90 0:00,1990,81
1/1/91 0:00,1991,98
1/1/92 0:00,1992,119
1/1/93 0:00,1993,165
1/1/94 0:00,1994,114
1/1/95 0:00,1995,99
1/1/96 0:00,1996,141
1/1/97 0:00,1997,125
1/1/98 0:00,1998,82
1/1/99 0:00,1999,88
1/1/00 0:00,2000,133
1/1/01 0:00,2001,119
1/1/02 0:00,2002,105
1/1/03 0:00,2003,116
1/1/04 0:00,2004,111
1/1/05 0:00,2005,141
1/1/06 0:00,2006,108
1/1/07 0:00,2007,116
1/1/08 0:00,2008,87
1/1/09 0:00,2009,82
1/1/10 0:00,2010,153
1/1/11 0:00,2011,117
1/1/12 0:00,2012,123
1/1/13 0:00,2013,99
1/1/14 0:00,2014,129
1/1/15 0:00,2015,102
1/1/16 0:00,2016,113
1/1/17 0:00,2017,122
1/1/18 0:00,2018,107
