"","years","Location.2","Sample.ID","PHE.mean","GLU.mean","d13C","d13C.s","d15N","Sex","Length","TP","SD"
"1",1959,"Coastal","BM_20228",10.86231661,28.54661061,NA,NA,NA,"",NA,4.86971798080192,0.197356154748789
"2",1977,"Inland","BM_32052",9.919833049,27.23310108,NA,NA,NA,"M",92,4.81350192489283,0.187650517017396
"3",1977,"Inland","BM_32053",13.6774433,28.30520833,NA,NA,NA,"M",NA,4.40660753080192,0.124754728296675
"4",1979,"Coastal","BM_32516",NA,25.11268428,NA,NA,NA,"F",133,NA,NA
"5",1987,"Coastal","BM_34967",11.93828522,25.48749785,NA,NA,NA,"F",124,4.24319050049889,0.103131732840034
"6",1987,"Coastal","BM_34969",12.55011945,27.69229167,NA,NA,NA,"M",104,4.48454801413525,0.135801798311733
"7",1987,"Coastal","BM_34974",9.545861254,24.9448417,NA,NA,NA,"M",123,4.52345835140798,0.141494285202247
"8",1986,"Coastal","BM_34983",9.275568299,24.26778952,NA,NA,NA,"M",106,4.46182816580192,0.132532586433837
"9",1987,"Coastal","BM_34988",12.64108407,28.90800816,NA,NA,NA,"M",138,4.65496496413525,0.161608004120478
"10",1987,"Coastal","BM_34989",11.16191237,29.17720619,NA,NA,NA,"F",119,4.91986946868071,0.206222938938587
"11",1987,"Coastal","BM_34990",9.579375,26.68410622,NA,NA,NA,"F",152,4.78190543837768,0.182303701803889
"12",1987,"Coastal","BM_34991",9.793436856,27.51266581,NA,NA,NA,"M",142,4.8750111556504,0.198282721585598
"13",1987,"Coastal","BM_34997",11.55928479,26.86002282,NA,NA,NA,"M",108,4.50857313686253,0.139302658161236
"14",1988,"Coastal","BM_35001",10.87819771,28.26988212,NA,NA,NA,"F",NA,4.82538319443828,0.189681247194355
"15",1979,"Inland","BM_36044",11.92477942,26.39671177,NA,NA,NA,"F",105,4.38299651868071,0.121501743756572
"16",1989,"Inland","BM_36045",10.8456686,26.41679167,NA,NA,NA,"",NA,4.54954056716555,0.145376205367836
"17",1989,"Inland","BM_36047",12.05071735,27.56863402,NA,NA,NA,"M",122,4.54147899140798,0.144170699320828
"18",1980,"Inland","BM_39398",10.52203436,25.20052534,NA,NA,NA,"F",92,4.41429328080192,0.125823012558436
"19",1980,"Inland","BM_51206",10.83458935,28.19609488,-11.8316,-12.3126914273121,17.4742,"M",NA,4.82081063686253,0.188898407719704
"20",1983,"Inland","BM_51213",13.83063574,28.89579381,-10.4525,-10.974181542365,19.7667,"M",109,4.47287920352919,0.134117713403626
"21",2004,"Inland","BM_80771",10.220875,24.99494172,NA,NA,NA,"M",NA,4.42877445352919,0.127848357310858
"22",2007,"Inland","BM_80772",11.41245017,27.21916125,-10.9489,-11.9462056868277,16.5705,"F",NA,4.58523572019586,0.150774916991947
"23",2007,"Coastal","BM_80773",11.99954553,26.10441796,NA,NA,NA,"F",NA,4.32738137928677,0.114011379390668
"24",1994,"Coastal","BM_80774",11.29791967,26.26323411,NA,NA,NA,"F",NA,4.45775138080192,0.131950231777308
"25",2006,"Inland","BM_80776",11.80008333,26.13492101,-12.3599,-13.3306387015099,17.5523,"F",NA,4.36222459898374,0.118675891830859
"26",2007,"Coastal","BM_80777",11.43165893,28.14413316,-13.1147,-14.1120056868277,17.2891,"M",NA,4.72247256110495,0.172457501070109
"27",2008,"Coastal","BM_80778",10.78815292,29.57097451,-12.8056,-13.8301997521597,16.2282,"F",NA,5.03616155504434,0.227538784635322
"28",2006,"Inland","BM_80780",17.5675,27.0094912,-11.1575,-12.1282387015099,17.2182,"F",NA,3.62088422322616,0.039871966104557
"29",2007,"Inland","BM_80782",10.74410739,28.85783333,-11.9114,-12.9087056868277,17.1076,"M",NA,4.93478342625646,0.208897597764538
"30",2008,"Inland","BM_81078",10.25948625,24.65756486,NA,NA,NA,"",NA,4.37180655807465,0.119975255480212
"31",2011,"Inland","BM_81979",13.84189261,26.39897809,NA,NA,NA,"M",154,4.09286820504434,0.085081979504561
"32",2014,"SE","BM_82369",13.15763832,26.21867354,NA,NA,NA,"F",135,4.16922422625646,0.0940299156001627
"33",2014,"SE","BM_82370",9.226383591,26.20408033,NA,NA,NA,"F",111,4.76265778974131,0.179084772145408
"34",2014,"SE","BM_82371",8.391690292,27.61451103,NA,NA,NA,"F",118,5.1028280926201,0.240234494243451
"35",2014,"SE","BM_82372",7.970988813,24.50919924,NA,NA,NA,"F",122,4.6960689545898,0.16817168481655
"36",2012,"Inland","BM_82685",11.95434708,27.51280504,-13.3727,-14.514153043817,18.71,"",99,4.54762161110495,0.145088789890225
"37",1999,"Inland","NM_1905",14.86308703,27.43935642,-10.1656,-10.9691643986362,18.211,"M",170,4.09577485807465,0.085414269702275
"38",1996,"Inland","NM_1915",13.47608296,27.10269553,-10.5641,-11.3051420190918,17.8098,"M",149,4.25491776413525,0.104614034833317
