,years.x,Location.2,TP,Sample.ID,AA,TP.norm,Year,years.y,d13C.s,d13C.norm,years,PHE.mean,PHE.norm,X.x,Col.Dis.An,UpInAn.45.Winter,UpInAn.45.Spring,UpInAn.45.Summer,UpInAn.45.Autumn,UpInAn.45.Annual,TUMI.45,LUSI.45,MEI,ONI,PDO,WA.SST.Wi,WA.SST.Su,WA.SST.Sp,WA.SST.Au,WA.SST.An,Col.Dis.low,Col.Dis.high,NOI,Fras.Dis.high,Fras.Dis.low,Fras.Dis.an,Dis.Total,NPGO,X.y,Herring.Biomass,Chinook,Chum,Coho,HarborSeal,HatcherySmolts,HakeBiomass,EulachonLandings,WildProduction,allSmolt
108,1928,Inland,3.153128795,SI_253041,Glu,-1.069659134,1929,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1928,Inland,4.425779161,SI_253042,Glu,0.887802015,1929,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1928,Inland,2.966121067,SI_253043,Glu,-1.357295371,1929,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,1928,Inland,3.237952532,SI_253041,ASP,-0.157156291,1929,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,1928,Inland,4.473876032,SI_253042,ASP,0.607720616,1929,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,1928,Inland,NA,SI_253043,ASP,NA,1929,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,1928,Inland,2.019331059,SI_253041,PRO,-1.817392188,1929,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,1928,Inland,3.554969437,SI_253042,PRO,0.595973952,1929,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,1928,Inland,-1.391221742,SI_253043,PRO,-7.177321173,1929,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,1928,Inland,1.958950399,SI_253041,VAL,-0.42509079,1929,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
