,Year,years.x,Location.2,TP,Sample.ID,AA,TP.norm,years.y,d13C.s,d13C.norm,years,PHE.mean,PHE.norm,X.x,Col.Dis.An,UpInAn.45.Winter,UpInAn.45.Spring,UpInAn.45.Summer,UpInAn.45.Autumn,UpInAn.45.Annual,TUMI.45,LUSI.45,MEI,ONI,PDO,WA.SST.Wi,WA.SST.Su,WA.SST.Sp,WA.SST.Au,WA.SST.An,Col.Dis.low,Col.Dis.high,NOI,Fras.Dis.high,Fras.Dis.low,Fras.Dis.an,Dis.Total,NPGO,X.y,Herring.Biomass,Chinook,Chum,Coho,HarborSeal,HatcherySmolts,HakeBiomass,EulachonLandings,WildProduction,allSmolt
108,1929,1928,Inland,3.69459408,SI_253041,Glu,-1.069659134,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1929,1928,Inland,5.277518708,SI_253042,Glu,0.887802015,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,1929,1928,Inland,3.461993559,SI_253043,Glu,-1.357295371,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,1929,1928,Inland,2.688772204,SI_253041,ASP,-0.157156291,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,1929,1928,Inland,3.924695704,SI_253042,ASP,0.607720616,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,1929,1928,Inland,NA,SI_253043,ASP,NA,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,1929,1928,Inland,2.451268232,SI_253041,PRO,-1.817392188,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,1929,1928,Inland,3.986906609,SI_253042,PRO,0.595973952,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,1929,1928,Inland,-0.959284569,SI_253043,PRO,-7.177321173,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
591,1929,1928,Inland,2.342092162,SI_253041,VAL,-0.42509079,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
592,1929,1928,Inland,2.64795352,SI_253042,VAL,0.198531331,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
593,1929,1928,Inland,NA,SI_253043,VAL,NA,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,1929,1928,Inland,1.306979449,SI_253041,ALA,-2.564988728,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
753,1929,1928,Inland,3.495520588,SI_253042,ALA,-0.461722306,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
754,1929,1928,Inland,NA,SI_253043,ALA,NA,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1938,1937,Inland,3.713440079,RM_2361,Glu,-1.046353975,1937,-14.34856477,-0.50744421,1937,14.093963,0.775354691,60,0.007796067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.166272318,0.423140182,0.056096651,0.571323694,0.304208211,-0.129821265,0.209466491,NA,-0.25480726,-0.303432997,-0.277232425,0.045073315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
