Year,BB,Coastal,Inland,SC,SE
1955,,,,1,
1956,,,,,
1957,,,,,
1958,,,,,
1959,,1,,,
1960,,,,,
1961,,,,,
1962,,,,1,
1963,,,,,
1964,,,,,
1965,,,,,5
1966,7,,,,
1967,,,,,
1968,,,,,
1969,,1,6,,
1970,,,5,,
1971,,,2,,
1972,,3,3,4,7
1973,,,,8,
1974,,,,,
1975,1,,1,1,
1976,,,3,,
1977,,10,8,,
1978,,4,,,
1979,,1,4,,
1980,,,2,2,
1981,6,4,,,
1982,,5,2,,
1983,,,3,,
1984,,,,,
1985,2,,,,
1986,,1,,,
1987,,8,,,
1988,,1,,,
1989,,,2,,
1990,,,,,
1991,,4,,,
1992,,5,,,
1993,,,,,
1994,,1,,,
1995,,,,,5
1996,3,,1,10,3
1997,2,,,,
1998,,,3,,
1999,,,1,,
2000,,,,,
2001,,,,,
2002,,,,4,
2003,,,,2,9
2004,,,1,1,2
2005,,,,1,2
2006,,,2,,4
2007,,2,2,,
2008,,1,1,,
2009,,,,,
2010,,,,,
2011,,,1,,
2012,,,1,,
2013,,,5,,
2014,,,1,,4
