Year ,Total Landings
1888 ,150000 
1889 ,60000 
1890 ,1000 
1891 ,150000 
1892 ,625000 
1893 ,
1894 ,300000 
1895 ,313375 
1896 ,677350 
1897 ,1021480 
1898 ,737000 
1899 ,560920 
1900 ,487600 
1901 ,265380 
1902 ,572454 
1903 ,402000 
1904 ,440460 
1905 ,483015 
1906 ,503000 
1907 ,169804 
1908 ,602022 
1909 ,549608 
1910 ,622478 
1911 ,349639 
1912 ,495336 
1913 ,200000 
1914 ,
1915 ,1609500 
1916 ,641595 
1917 ,2806129 
1918 ,1633700 
1919 ,2405360 
1920 ,977084 
1921 ,1051283 
1922 ,1371180 
1923 ,1029418 
1924 ,1006222 
1925 ,1400704 
1926 ,1267214 
1927 ,1293046 
1928 ,1168818 
1929 ,1208480 
1930 ,1454486 
1931 ,1957272 
1932 ,1583948 
1933 ,1392590 
1934 ,1520156 
1935 ,2331958 
1936 ,3083857 
1937 ,2438443 
1938 ,1041600 
1939 ,3096400 
1940 ,3082500 
1941 ,2531800 
1942 ,2686000 
1943 ,3977300 
1944 ,2268500 
1945 ,5719300 
1946 ,3276000 
1947 ,1544900 
1948 ,3974100 
1949 ,3333600 
1950 ,1482500 
1951 ,1516900 
1952 ,1274900 
1953 ,1711000 
1954 ,1884300 
1955 ,2237100 
1956 ,1683900 
1957 ,1579000 
1958 ,2616400 
1959 ,1756100 
1960 ,1172200 
1961 ,1052300 
1962 ,1473600 
1963 ,1077100 
1964 ,841800 
1965 ,910700 
1966 ,1028300 
1967 ,1000800 
1968 ,947500 
1969 ,1083700 
1970 ,1183900 
1971 ,1776700 
1972 ,1643500 
1973 ,2434400 
1974 ,2361800 
1975 ,2077600 
1976 ,3075100 
1977 ,1753000 
1978 ,2680300 
1979 ,1156700 
1980 ,3211500 
1981 ,1672300 
1982 ,2210000 
1983 ,2730400 
1984 ,498000 
1985 ,2038000 
1986 ,3838800 
1987 ,1895700 
1988 ,2867700 
1989 ,3066800 
1990 ,2784200 
1991 ,2950400 
1992 ,3673800 
1993 ,513900 
1994 ,43400 
1995 ,440000 
1996 ,9100 
1997 ,58600 
1998 ,12100 
1999 ,20900 
2000 ,31000 
2001 ,313100 
2002 ,721200 
2003 ,1083400 
2004 ,231600 
2005 ,200 
2006 ,13100 
2007 ,8310 
2008 ,17300 
2009 ,17644 
