Year ,Total landings (pounds) ,Number of fish at 10_8 per pound ,Number of fish at 12_3 per pound 
1888 ,"150,000 ","1,620,000 ","1,845,000 "
1889 ,"60,000 ","648,000 ","738,000 "
1890 ,"1,000 ","10,800 ","12,300 "
1891 ,"150,000 ","1,620,000 ","1,845,000 "
1892 ,"625,000 ","6,750,000 ","7,687,500 "
1893 ,,,
1894 ,"300,000 ","3,240,000 ","3,690,000 "
1895 ,"313,375 ","3,384,450 ","3,854,513 "
1896 ,"677,350 ","7,315,380 ","8,331,405 "
1897 ,"1,021,480 ","11,031,984 ","12,564,204 "
1898 ,"737,000 ","7,959,600 ","9,065,100 "
1899 ,"560,920 ","6,057,936 ","6,899,316 "
1900 ,"487,600 ","5,266,080 ","5,997,480 "
1901 ,"265,380 ","2,866,104 ","3,264,174 "
1902 ,"572,454 ","6,182,503 ","7,041,184 "
1903 ,"402,000 ","4,341,600 ","4,944,600 "
1904 ,"440,460 ","4,756,968 ","5,417,658 "
1905 ,"483,015 ","5,216,562 ","5,941,085 "
1906 ,"503,000 ","5,432,400 ","6,186,900 "
1907 ,"169,804 ","1,833,883 ","2,088,589 "
1908 ,"602,022 ","6,501,838 ","7,404,871 "
1909 ,"549,608 ","5,935,766 ","6,760,178 "
1910 ,"622,478 ","6,722,762 ","7,656,479 "
1911 ,"349,639 ","3,776,101 ","4,300,560 "
1912 ,"495,336 ","5,349,629 ","6,092,633 "
1913 ,"200,000 ","2,160,000 ","2,460,000 "
1914 ,,,
1915 ,"1,609,500 ","17,382,600 ","19,796,850 "
1916 ,"641,595 ","6,929,226 ","7,891,619 "
1917 ,"2,806,129 ","30,306,193 ","34,515,387 "
1918 ,"1,633,700 ","17,643,960 ","20,094,510 "
1919 ,"2,405,360 ","25,977,888 ","29,585,928 "
1920 ,"977,084 ","10,552,507 ","12,018,133 "
1921 ,"1,051,283 ","11,353,856 ","12,930,781 "
1922 ,"1,371,180 ","14,808,744 ","16,865,514 "
1923 ,"1,029,418 ","11,117,714 ","12,661,841 "
1924 ,"1,006,222 ","10,867,198 ","12,376,531 "
1925 ,"1,400,704 ","15,127,603 ","17,228,659 "
1926 ,"1,267,214 ","13,685,911 ","15,586,732 "
1927 ,"1,293,046 ","13,964,897 ","15,904,466 "
1928 ,"1,168,818 ","12,623,234 ","14,376,461 "
1929 ,"1,208,480 ","13,051,584 ","14,864,304 "
1930 ,"1,454,486 ","15,708,449 ","17,890,178 "
1931 ,"1,957,272 ","21,138,538 ","24,074,446 "
1932 ,"1,583,948 ","17,106,638 ","19,482,560 "
1933 ,"1,392,590 ","15,039,972 ","17,128,857 "
1934 ,"1,520,156 ","16,417,685 ","18,697,919 "
1935 ,"2,331,958 ","25,185,146 ","28,683,083 "
1936 ,"3,083,857 ","33,305,656 ","37,931,441 "
1937 ,"2,438,443 ","26,335,184 ","29,992,849 "
1938 ,"1,041,600 ","11,249,280 ","12,811,680 "
1939 ,"3,096,400 ","33,441,120 ","38,085,720 "
1940 ,"3,082,500 ","33,291,000 ","37,914,750 "
1941 ,"2,531,800 ","27,343,440 ","31,141,140 "
1942 ,"2,686,000 ","29,008,800 ","33,037,800 "
1943 ,"3,977,300 ","42,954,840 ","48,920,790 "
1944 ,"2,268,500 ","24,499,800 ","27,902,550 "
1945 ,"5,719,300 ","61,768,440 ","70,347,390 "
1946 ,"3,276,000 ","35,380,800 ","40,294,800 "
1947 ,"1,544,900 ","16,684,920 ","19,002,270 "
1948 ,"3,974,100 ","42,920,280 ","48,881,430 "
1949 ,"3,333,600 ","36,002,880 ","41,003,280 "
1950 ,"1,482,500 ","16,011,000 ","18,234,750 "
1951 ,"1,516,900 ","16,382,520 ","18,657,870 "
1952 ,"1,274,900 ","13,768,920 ","15,681,270 "
1953 ,"1,711,000 ","18,478,800 ","21,045,300 "
1954 ,"1,884,300 ","20,350,440 ","23,176,890 "
1955 ,"2,237,100 ","24,160,680 ","27,516,330 "
1956 ,"1,683,900 ","18,186,120 ","20,711,970 "
1957 ,"1,579,000 ","17,053,200 ","19,421,700 "
1958 ,"2,616,400 ","28,257,120 ","32,181,720 "
1959 ,"1,756,100 ","18,965,880 ","21,600,030 "
1960 ,"1,172,200 ","12,659,760 ","14,418,060 "
1961 ,"1,052,300 ","11,364,840 ","12,943,290 "
1962 ,"1,473,600 ","15,914,880 ","18,125,280 "
1963 ,"1,077,100 ","11,632,680 ","13,248,330 "
1964 ,"841,800 ","9,091,440 ","10,354,140 "
1965 ,"910,700 ","9,835,560 ","11,201,610 "
1966 ,"1,028,300 ","11,105,640 ","12,648,090 "
1967 ,"1,000,800 ","10,808,640 ","12,309,840 "
1968 ,"947,500 ","10,233,000 ","11,654,250 "
1969 ,"1,083,700 ","11,703,960 ","13,329,510 "
1970 ,"1,183,900 ","12,786,120 ","14,561,970 "
1971 ,"1,776,700 ","19,188,360 ","21,853,410 "
1972 ,"1,643,500 ","17,749,800 ","20,215,050 "
1973 ,"2,434,400 ","26,291,520 ","29,943,120 "
1974 ,"2,361,800 ","25,507,440 ","29,050,140 "
1975 ,"2,077,600 ","22,438,080 ","25,554,480 "
1976 ,"3,075,100 ","33,211,080 ","37,823,730 "
1977 ,"1,753,000 ","18,932,400 ","21,561,900 "
1978 ,"2,680,300 ","28,947,240 ","32,967,690 "
1979 ,"1,156,700 ","12,492,360 ","14,227,410 "
