Year,Female Spawning Biomass (thousands t),Relative Spawning biomass,Total biomass (thousands t),Age-0,Relatve Fishing intensity
1966.00,1086.00,0.46,2599.00,1393.00,0.42
1967.00,1011.00,0.43,2539.00,3736.00,0.61
1968.00,937.00,0.40,2552.00,2195.00,0.45
1969.00,1005.00,0.43,2793.00,938.00,0.58
1970.00,1084.00,0.47,2948.00,8030.00,0.67
1971.00,1083.00,0.47,3116.00,787.00,0.50
1972.00,1281.00,0.55,3540.00,498.00,0.39
1973.00,1455.00,0.63,3632.00,5085.00,0.42
1974.00,1456.00,0.63,3601.00,417.00,0.50
1975.00,1469.00,0.63,4626.00,1464.00,0.43
1976.00,1456.00,0.63,4822.00,349.00,0.39
1977.00,1389.00,0.59,4491.00,6007.00,0.28
1978.00,1290.00,0.55,3669.00,287.00,0.26
1979.00,1339.00,0.57,4125.00,1029.00,0.30
1980.00,1371.00,0.59,4536.00,18559.00,0.24
1981.00,1342.00,0.57,4833.00,319.00,0.35
1982.00,1810.00,0.77,5494.00,286.00,0.30
1983.00,2256.00,0.96,5299.00,428.00,0.24
1984.00,2386.00,1.01,5577.00,13854.00,0.26
1985.00,2269.00,0.96,6685.00,206.00,0.21
1986.00,2473.00,1.05,6461.00,249.00,0.32
1987.00,2587.00,1.11,5815.00,5927.00,0.37
1988.00,2460.00,1.05,5827.00,1886.00,0.39
1989.00,2353.00,1.01,5186.00,198.00,0.50
1990.00,2213.00,0.94,4788.00,4284.00,0.41
1991.00,2004.00,0.85,4569.00,907.00,0.62
1992.00,1807.00,0.77,3856.00,207.00,0.61
1993.00,1614.00,0.69,2895.00,3018.00,0.54
1994.00,1408.00,0.60,2872.00,3164.00,0.73
1995.00,1162.00,0.50,2829.00,1211.00,0.61
1996.00,1102.00,0.47,2691.00,1743.00,0.77
1997.00,1014.00,0.43,2539.00,1115.00,0.84
1998.00,908.00,0.39,2090.00,1873.00,0.92
1999.00,785.00,0.34,2074.00,12746.00,1.01
2000.00,678.00,0.29,3854.00,322.00,0.77
2001.00,1004.00,0.43,4025.00,1220.00,0.76
2002.00,1311.00,0.56,4394.00,67.00,0.54
2003.00,1451.00,0.62,3759.00,1609.00,0.50
2004.00,1392.00,0.60,3092.00,96.00,0.75
2005.00,1195.00,0.51,2508.00,2624.00,0.75
2006.00,942.00,0.40,2195.00,1995.00,0.92
2007.00,753.00,0.33,1747.00,54.00,0.95
2008.00,673.00,0.29,1807.00,5556.00,1.00
2009.00,565.00,0.24,1593.00,1213.00,0.81
2010.00,652.00,0.28,2185.00,15808.00,0.96
2011.00,724.00,0.31,2857.00,439.00,0.88
2012.00,1167.00,0.49,3655.00,1722.00,0.69
2013.00,1574.00,0.67,4279.00,402.00,0.67
2014.00,1718.00,0.73,4606.00,12105.00,0.66
2015.00,1638.00,0.70,4224.00,733.00,0.45
2016.00,1993.00,0.84,4800.00,1269.00,0.69
2017.00,2129.00,0.89,5280.00,1367.00,\'96
