Year,Smolts
1950,75261
1951,4116254
1952,23493212
1953,12789399
1954,22290901
1955,15635222
1956,23129425
1967,
1970,91284
1971,
1972,11157367
1973,10377263
1974,23622225
1975,34531679
1976,21760878
1977,19924591
1978,25597995
1979,16925345
1980,23195011
1981,2903875
1982,8957551
1983,7642058
1984,7135516
1985,22856298
1986,16765656
1987,13733139
1988,19994602
1989,17077482
1990,19838659
1991,24488200
1992,27615754
1993,25175043
1994,22802044
1995,21443894
1996,19043410
1997,12723063
1998,8215220
1999,18401917
2000,7807519
2001,31280264
2002,40362438
2003,4309248
2004,3739456
2005,1748160
2006,994005
2007,9017065
2008,1428097
2009,1968615
2010,1629555
2011,2014527
2012,2104075
2013,4850245
2014,14362068
2015,317731
