Year,Count,Group
1952,,CedarRiver
1953,,CedarRiver
1954,,CedarRiver
1955,,CedarRiver
1956,,CedarRiver
1957,,CedarRiver
1958,,CedarRiver
1959,,CedarRiver
1960,,CedarRiver
1961,,CedarRiver
1962,,CedarRiver
1963,,CedarRiver
1964,,CedarRiver
1965,1047,CedarRiver
1966,1884,CedarRiver
1967,1352,CedarRiver
1968,1451,CedarRiver
1969,493,CedarRiver
1970,1746,CedarRiver
1971,505,CedarRiver
1972,451,CedarRiver
1973,1036,CedarRiver
1974,590,CedarRiver
1975,657,CedarRiver
1976,485,CedarRiver
1977,689,CedarRiver
1978,967,CedarRiver
1979,1268,CedarRiver
1980,1392,CedarRiver
1981,669,CedarRiver
1982,786,CedarRiver
1983,855,CedarRiver
1984,906,CedarRiver
1985,841,CedarRiver
1986,978,CedarRiver
1987,1559,CedarRiver
1988,593,CedarRiver
1989,559,CedarRiver
1990,529,CedarRiver
1991,523,CedarRiver
1992,736,CedarRiver
1993,253,CedarRiver
1994,663,CedarRiver
1995,960,CedarRiver
1996,435,CedarRiver
1997,371,CedarRiver
1998,605,CedarRiver
1999,494,CedarRiver
2000,142,CedarRiver
2001,996,CedarRiver
2002,726,CedarRiver
2003,841,CedarRiver
2004,1274,CedarRiver
2005,866,CedarRiver
2006,1538,CedarRiver
2007,2223,CedarRiver
2008,1530,CedarRiver
2009,744,CedarRiver
2010,715,CedarRiver
2011,857,CedarRiver
2012,1128,CedarRiver
2013,1934,CedarRiver
2014,,CedarRiver
1952,,CoweemanRiver
1953,,CoweemanRiver
1954,,CoweemanRiver
1955,,CoweemanRiver
1956,,CoweemanRiver
1957,,CoweemanRiver
1958,,CoweemanRiver
1959,,CoweemanRiver
1960,,CoweemanRiver
1961,,CoweemanRiver
1962,,CoweemanRiver
1963,,CoweemanRiver
1964,364,CoweemanRiver
1965,75,CoweemanRiver
1966,108,CoweemanRiver
1967,100,CoweemanRiver
1968,132,CoweemanRiver
1969,86,CoweemanRiver
1970,72,CoweemanRiver
1971,933,CoweemanRiver
1972,830,CoweemanRiver
1973,242,CoweemanRiver
1974,156,CoweemanRiver
1975,296,CoweemanRiver
1976,528,CoweemanRiver
1977,337,CoweemanRiver
1978,243,CoweemanRiver
1979,344,CoweemanRiver
1980,180,CoweemanRiver
1981,116,CoweemanRiver
1982,146,CoweemanRiver
1983,122,CoweemanRiver
1984,683,CoweemanRiver
1985,491,CoweemanRiver
1986,396,CoweemanRiver
1987,386,CoweemanRiver
1988,1890,CoweemanRiver
1989,2549,CoweemanRiver
1990,812,CoweemanRiver
1991,340,CoweemanRiver
1992,1247,CoweemanRiver
1993,890,CoweemanRiver
1994,1695,CoweemanRiver
1995,1368,CoweemanRiver
1996,2305,CoweemanRiver
1997,689,CoweemanRiver
1998,491,CoweemanRiver
1999,299,CoweemanRiver
2000,290,CoweemanRiver
2001,802,CoweemanRiver
2002,877,CoweemanRiver
2003,1106,CoweemanRiver
2004,1503,CoweemanRiver
2005,853,CoweemanRiver
2006,566,CoweemanRiver
2007,251,CoweemanRiver
2008,424,CoweemanRiver
2009,783,CoweemanRiver
2010,639,CoweemanRiver
2011,566,CoweemanRiver
2012,413,CoweemanRiver
2013,2035,CoweemanRiver
2014,890,CoweemanRiver
1952,,ElochomanRiver
1953,,ElochomanRiver
1954,,ElochomanRiver
1955,,ElochomanRiver
1956,,ElochomanRiver
1957,,ElochomanRiver
1958,,ElochomanRiver
1959,,ElochomanRiver
1960,,ElochomanRiver
1961,,ElochomanRiver
1962,,ElochomanRiver
1963,,ElochomanRiver
1964,3020,ElochomanRiver
1965,2539,ElochomanRiver
1966,2984,ElochomanRiver
1967,3182,ElochomanRiver
1968,3594,ElochomanRiver
1969,2973,ElochomanRiver
1970,3186,ElochomanRiver
1971,3277,ElochomanRiver
1972,2869,ElochomanRiver
1973,3350,ElochomanRiver
1974,3125,ElochomanRiver
1975,5448,ElochomanRiver
1976,2383,ElochomanRiver
1977,3030,ElochomanRiver
1978,5060,ElochomanRiver
1979,2202,ElochomanRiver
1980,247,ElochomanRiver
1981,514,ElochomanRiver
1982,1352,ElochomanRiver
1983,2627,ElochomanRiver
1984,2036,ElochomanRiver
1985,5919,ElochomanRiver
1986,1064,ElochomanRiver
1987,2741,ElochomanRiver
1988,2411,ElochomanRiver
1989,1093,ElochomanRiver
1990,587,ElochomanRiver
1991,445,ElochomanRiver
1992,392,ElochomanRiver
1993,408,ElochomanRiver
1994,1004,ElochomanRiver
1995,316,ElochomanRiver
1996,547,ElochomanRiver
1997,2137,ElochomanRiver
1998,358,ElochomanRiver
1999,957,ElochomanRiver
2000,146,ElochomanRiver
2001,2806,ElochomanRiver
2002,7893,ElochomanRiver
2003,7348,ElochomanRiver
2004,6880,ElochomanRiver
2005,2699,ElochomanRiver
2006,324,ElochomanRiver
2007,168,ElochomanRiver
2008,1320,ElochomanRiver
2009,1467,ElochomanRiver
2010,1318,ElochomanRiver
2011,1127,ElochomanRiver
2012,172,ElochomanRiver
2013,637,ElochomanRiver
2014,869,ElochomanRiver
1952,,GraysandChinookRivers
1953,,GraysandChinookRivers
1954,,GraysandChinookRivers
1955,,GraysandChinookRivers
1956,,GraysandChinookRivers
1957,,GraysandChinookRivers
1958,,GraysandChinookRivers
1959,,GraysandChinookRivers
1960,,GraysandChinookRivers
