Year,Hood Canal,Strait of Juan de Fuca
1968,32838,
1969,15073,
1970,12645,
1971,17412,1281
1972,30079,1362
1973,18107,1648
1974,12281,1768
1975,18248,1448
1976,27715,1494
1977,10711,1644
1978,19709,3080
1979,6554,761
1980,3777,5109
1981,2374,884
1982,2623,2751
1983,899,1139
1984,1414,1579
1985,1109,232
1986,2552,1087
1987,757,1991
1988,2967,3690
1989,598,388
1990,429,341
1991,747,309
1992,1945,1008
1993,707,521
1994,2044,154
1995,8971,786
1996,19707,975
1997,8412,852
1998,3404,1148
1999,3884,502
2000,7987,801
2001,11491,3733
2002,10818,6791
2003,35173,6752
2004,69565,9280
2005,15311,9619
2006,26418,8181
2007,10539,3219
2008,15112,3449
2009,7236,5029
2010,12533,9179
2011,6914,5675
2012,29855,6304
2013,22618,14727
