Group,Year,Spawners
Hood Canal,2013,22618
Hood Canal,2012,29855
Hood Canal,2011,6914
Hood Canal,2010,12533
Hood Canal,2009,7236
Hood Canal,2008,15112
Hood Canal,2007,10539
Hood Canal,2006,26418
Hood Canal,2005,15311
Hood Canal,2004,69565
Hood Canal,2003,35173
Hood Canal,2002,10818
Hood Canal,2001,11491
Hood Canal,2000,7987
Hood Canal,1999,3884
Hood Canal,1998,3404
Hood Canal,1997,8412
Hood Canal,1996,19707
Hood Canal,1995,8971
Hood Canal,1994,2044
Hood Canal,1993,707
Hood Canal,1992,1945
Hood Canal,1991,747
Hood Canal,1990,429
Hood Canal,1989,598
Hood Canal,1988,2967
Hood Canal,1987,757
Hood Canal,1986,2552
Hood Canal,1985,1109
Hood Canal,1984,1414
Hood Canal,1983,899
Hood Canal,1982,2623
Hood Canal,1981,2374
Hood Canal,1980,3777
Hood Canal,1979,6554
Hood Canal,1978,19709
Hood Canal,1977,10711
Hood Canal,1976,27715
Hood Canal,1975,18248
Hood Canal,1974,12281
Hood Canal,1973,18107
Hood Canal,1972,30079
Hood Canal,1971,17412
Hood Canal,1970,12645
Hood Canal,1969,15073
Hood Canal,1968,32838
Strait of Juan de Fuca,2013,14727
Strait of Juan de Fuca,2012,6304
Strait of Juan de Fuca,2011,5675
Strait of Juan de Fuca,2010,9179
Strait of Juan de Fuca,2009,5029
Strait of Juan de Fuca,1996,975
Strait of Juan de Fuca,1995,786
Strait of Juan de Fuca,1994,154
Strait of Juan de Fuca,1993,521
Strait of Juan de Fuca,1992,1008
Strait of Juan de Fuca,1991,309
Strait of Juan de Fuca,1990,341
Strait of Juan de Fuca,1989,388
Strait of Juan de Fuca,1988,3690
Strait of Juan de Fuca,1987,1991
Strait of Juan de Fuca,1986,1087
Strait of Juan de Fuca,1985,232
Strait of Juan de Fuca,1984,1579
Strait of Juan de Fuca,1983,1139
Strait of Juan de Fuca,1982,2751
Strait of Juan de Fuca,1981,884
Strait of Juan de Fuca,1980,5109
Strait of Juan de Fuca,1979,761
Strait of Juan de Fuca,1978,3080
Strait of Juan de Fuca,1977,1644
Strait of Juan de Fuca,1976,1494
Strait of Juan de Fuca,1975,1448
Strait of Juan de Fuca,1974,1768
Strait of Juan de Fuca,1973,1648
Strait of Juan de Fuca,1972,1362
Strait of Juan de Fuca,1971,1281
Strait of Juan de Fuca,2008,3449
Strait of Juan de Fuca,2007,3219
Strait of Juan de Fuca,2006,8181
Strait of Juan de Fuca,2005,9619
Strait of Juan de Fuca,2004,9280
Strait of Juan de Fuca,2003,6752
Strait of Juan de Fuca,2002,6791
Strait of Juan de Fuca,2001,3733
Strait of Juan de Fuca,2000,801
Strait of Juan de Fuca,1999,502
Strait of Juan de Fuca,1998,1148
Strait of Juan de Fuca,1997,852
