Group,Year,Spawners
Clackamas River,1973,740
Clackamas River,1972,1094
Clackamas River,1971,4095
Clackamas River,1970,2751
Clackamas River,1969,1854
Clackamas River,1968,4696
Clackamas River,1967,1498
Clackamas River,1966,777
Clackamas River,1965,3937
Clackamas River,1964,2476
Clackamas River,1963,1879
Clackamas River,1962,3119
Clackamas River,1961,2189
Clackamas River,1960,2185
Clackamas River,2013,3252
Clackamas River,2012,1755
Clackamas River,2011,2498
Clackamas River,2010,4040
Clackamas River,2009,10960
Clackamas River,2008,3104
Clackamas River,2007,4190
Clackamas River,2006,14335
Clackamas River,2005,1805
Clackamas River,2004,3411
Clackamas River,2003,2801
Clackamas River,2002,4561
Clackamas River,2001,7880
Clackamas River,2000,5608
Clackamas River,1959,1330
Clackamas River,1958,522
Clackamas River,1957,598
Clackamas River,1999,234
Clackamas River,1998,491
Clackamas River,1997,2901
Clackamas River,1996,184
Clackamas River,1995,4365
Clackamas River,1994,6178
Clackamas River,1993,360
Clackamas River,1992,7449
Clackamas River,1991,6692
Clackamas River,1990,1516
Clackamas River,1989,4721
Clackamas River,1988,3561
Clackamas River,1987,2886
Clackamas River,1986,9163
Clackamas River,1985,6793
Clackamas River,1984,1464
Clackamas River,1983,3426
Clackamas River,1982,5471
Clackamas River,1981,2507
Clackamas River,1980,6840
Clackamas River,1979,2451
Clackamas River,1978,1678
Clackamas River,1977,1920
Clackamas River,1976,2593
Clackamas River,1975,2428
Clackamas River,1974,1931
Sandy River,2013,756
Sandy River,2012,1198
Sandy River,2011,3813
Sandy River,2010,1029
Sandy River,2009,1667
Sandy River,2008,1277
Sandy River,2007,753
Sandy River,1993,193
Sandy River,1992,790
Sandy River,1991,1491
Sandy River,1990,376
Sandy River,1989,2182
Sandy River,1988,1507
Sandy River,1987,1204
Sandy River,1986,2558
Sandy River,1985,2063
Sandy River,1984,1568
Sandy River,1983,745
Sandy River,1982,1648
Sandy River,1981,994
Sandy River,1980,2122
Sandy River,1979,367
Sandy River,1978,407
Sandy River,1977,91
Sandy River,1976,642
Sandy River,1975,619
Sandy River,1974,548
Sandy River,1973,-99
Sandy River,1972,-99
Sandy River,1971,-99
Sandy River,1970,-99
Sandy River,1969,716
Sandy River,1968,1281
Sandy River,1967,669
Sandy River,1966,229
Sandy River,1965,1018
Sandy River,1964,1126
Sandy River,1963,2199
Sandy River,1962,1458
Sandy River,1961,1733
Sandy River,1960,1670
Sandy River,1959,68
Sandy River,1958,330
Sandy River,1957,264
Sandy River,2006,-99
Sandy River,2005,856
Sandy River,2004,1340
Sandy River,2003,1348
Sandy River,2002,897
Sandy River,2001,1176
Sandy River,2000,730
Sandy River,1999,162
Sandy River,1998,261
Sandy River,1997,116
Sandy River,1996,180
Sandy River,1995,697
Sandy River,1994,601
