"","yr","value"
"1",1952,27
"2",1953,27
"3",1954,27
"4",1955,27
"5",1956,27
"6",1957,27
"7",1958,27
"8",1959,27
"9",1960,27
"10",1961,27
"11",1962,27
"12",1963,27
"13",1964,27
"14",1965,27
"15",1966,27
"16",1967,27
"17",1968,27
"18",1969,27
"19",1970,27
"20",1971,27
"21",1972,27
"22",1973,27
"23",1974,27
"24",1975,27
"25",1976,27
"26",1977,27
"27",1978,27
"28",1979,27
"29",1980,27
"30",1981,27
"31",1982,27
"32",1983,27
"33",1984,27
"34",1985,27
"35",1986,27
"36",1987,27
"37",1988,27
"38",1989,27
"39",1990,27
"40",1991,27
"41",1992,27
"42",1993,27
"43",1994,27
"44",1995,27
"45",1996,27
"46",1997,27
"47",1998,27
"48",1999,27
"49",2000,27
"50",2001,27
"51",2002,27
"52",2003,27
"53",2004,27
"54",2005,27
"55",2006,27
"56",2007,27
"57",2008,27
"58",2009,27
"59",2010,27
"60",2011,27
"61",2012,27
"62",2013,27
"63",2014,27
