"","Year","Count"
"1",1968,59820
"2",1969,52682
"3",1970,92553
"4",1971,113963
"5",1972,100751
"6",1973,72428
"7",1974,73171
"8",1975,77663
"9",1976,55554
"10",1977,58613
"11",1978,66605
"12",1979,78926
"13",1980,78138
"14",1981,53964
"15",1982,45086
"16",1983,53434
"17",1984,46791
"18",1985,59749
"19",1986,61068
"20",1987,80006
"21",1988,98828
"22",1989,98725
"23",1990,72886
"24",1991,59160
"25",1992,46470
"26",1993,38100
"27",1994,44458
"28",1995,57257
"29",1996,68040
"30",1997,48693
"31",1998,59736
"32",1999,45703
"33",2000,58617
"34",2001,83814
"35",2002,124451
"36",2003,128123
"37",2004,123753
"38",2005,76793
"39",2006,91052
"40",2007,61667
"41",2008,69781
"42",2009,42718
"43",2010,59258
"44",2011,55973
"45",2012,69016
"46",2013,78522
