"","yr","value"
"1",1973,26085.5107193041
"2",1974,24310.7352673593
"3",1975,22441.8059831334
"4",1976,20643.7480305788
"5",1977,18046.1108229405
"6",1978,16964.627099075
"7",1979,19520.640716416
"8",1980,22566.5345968813
"9",1981,22292.7331381027
"10",1982,19851.4667850673
"11",1983,20076.1175742485
"12",1984,19780.9503931458
"13",1985,19159.7050437185
"14",1986,18639.8462046656
"15",1987,18259.332223601
"16",1988,17403.5231857252
"17",1989,17352.4432642179
"18",1990,16914.1001714099
"19",1991,15601.4259160449
"20",1992,14120.2285538628
"21",1993,15326.3030962198
"22",1994,14422.7074882986
"23",1995,13603.2820721474
"24",1996,12237.8191197189
"25",1997,11054.8072803029
"26",1998,11201.064977594
"27",1999,13114.6922802035
"28",2000,12656.1781853369
"29",2001,14351.1137468444
"30",2002,14619.0736420366
"31",2003,12973.6686657137
"32",2004,11610.3366246075
"33",2005,11116.8366090438
"34",2006,12591.4366959826
"35",2007,10676.5889863331
"36",2008,10822.21184563
"37",2009,10604.6453182983
"38",2010,8773.23087089635
"39",2011,9082.35188598709
"40",2012,8374.67675168493
