"","yr","value"
"1",1975,4799.52638539887
"2",1976,5186.98243125714
"3",1977,5878.03791784454
"4",1978,6815.67788793593
"5",1979,7726.82640404981
"6",1980,8764.14372565133
"7",1981,10305.5056818795
"8",1982,11829.3844668484
"9",1983,12545.2864605432
"10",1984,13782.8883278696
"11",1985,14309.4188263413
"12",1986,13666.1237316296
"13",1987,15872.9258955968
"14",1988,17599.4274943711
"15",1989,17947.3167686642
"16",1990,17930.5368813739
"17",1991,19684.2097362852
"18",1992,20036.3881310016
"19",1993,20552.4721540094
"20",1994,20163.9127429382
"21",1995,22418.2359444188
"22",1996,22826.416112097
"23",1997,22019.867201775
"24",1998,20486.0872486465
"25",1999,20467.6825835402
