"","yr","value"
"1",1973,348375.696450382
"2",1974,350191.093239292
"3",1975,353757.169834634
"4",1976,302474.35601902
"5",1977,323971.747290678
"6",1978,329745.057177131
"7",1979,320502.640461632
"8",1980,325658.280159022
"9",1981,335970.432100212
"10",1982,342851.80068754
"11",1983,346564.823007371
"12",1984,362832.11168937
"13",1985,390446.124505993
"14",1986,565437.983269623
"15",1987,560811.09739787
"16",1988,558350.305157648
"17",1989,538870.602880959
"18",1990,529388.373584556
"19",1991,366684.850649969
"20",1992,371746.129114041
"21",1993,357248.25007792
"22",1994,381054.99562501
"23",1995,384130.100671198
"24",1996,408495.214791431
"25",1997,403995.702412552
"26",1998,381737.549084763
"27",1999,321492.127670007
"28",2000,382101.801475803
"29",2001,588597.674184013
"30",2002,807458.298746475
"31",2003,824529.800062534
"32",2004,840130.971729747
"33",2005,596947.686827826
"34",2006,522024.402907494
"35",2007,360141.244010607
"36",2008,491602.759547313
"37",2009,549845.139821107
"38",2010,719497.041987309
"39",2011,688738.692862376
"40",2012,649671.735933687
"41",2013,780372.404250752
