"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s"
"1","BM_20228",13.29155738,24.03993288,22.55807163,NA,25.88973439,10.86231661,28.54661061,NA,-14.97925227,16.09664186,27.22275,12.03325,1959,"Coastal",NA,"",46.0999,-123.935,"WA",NA,NA,NA,NA,NA,1960,NA
"2","BM_32052",13.82677456,22.14576263,22.85177626,NA,22.45310278,9.919833049,27.23310108,NA,-18.20001079,18.13917547,23.572,10.878,1977,"Inland",92,"M",48.2933,-122.5985228,"WA",NA,NA,NA,NA,NA,1978,NA
"3","BM_32053",17.99134894,24.54154167,25.2605,NA,24.52154167,13.6774433,28.30520833,NA,-3.935905069,19.84966667,28.351,10.08666667,1977,"Inland",NA,"M",48.225,-122.7689,"WA",NA,NA,NA,NA,NA,1978,NA
"4","BM_32516",15.42084278,20.81010223,25.0977573,NA,9.179434708,NA,25.11268428,NA,NA,NA,28.032,8.5615,1979,"Coastal",133,"F",46.3525,-124.0531,"WA",NA,NA,NA,NA,NA,1980,NA
"5","BM_34967",20.15124485,21.84407474,25.7273256,NA,27.06912758,11.93828522,25.48749785,NA,-13.77413531,13.02749012,26.87166667,9.890666667,1987,"Coastal",124,"F",46.185552,-123.187834,"WA",NA,NA,NA,NA,NA,1988,NA
"6","BM_34969",15.47317444,24.024625,23.94979167,NA,25.52725,12.55011945,27.69229167,NA,-3.870218546,18.82433333,29.46666667,11.04266667,1987,"Coastal",104,"M",42.2706,-123.4558,"WA",NA,NA,NA,NA,NA,1988,NA
"7","BM_34974",21.85508417,21.56076654,27.02557781,NA,20.7483262,9.545861254,24.9448417,NA,NA,19.71933333,NA,12.178,1987,"Coastal",123,"M",46.1408,-123.2525,"WA",NA,NA,NA,NA,NA,1988,NA
"8","BM_34983",15.82907313,24.26587135,23.63908827,NA,20.75247541,9.275568299,24.26778952,NA,-12.06914991,15.54855735,28.436,10.67383333,1986,"Coastal",106,"M",46.185552,-123.187834,"WA",NA,NA,NA,NA,NA,1987,NA
"9","BM_34988",7.991490588,23.82843342,27.38628651,NA,26.56309192,12.64108407,28.90800816,NA,-21.64469864,17.389,31.37466667,10.72466667,1987,"Coastal",138,"M",46.1583,-123.2531,"WA",NA,NA,NA,NA,NA,1988,NA
"10","BM_34989",14.54837865,22.95908162,22.74430326,NA,25.87286813,11.16191237,29.17720619,NA,-26.61213359,20.11066667,28.43166667,11.00133333,1987,"Coastal",119,"F",46.185552,-123.187834,"WA",NA,NA,NA,NA,NA,1988,NA
"11","BM_34990",15.67233381,21.88124426,20.15998951,NA,21.4531864,9.579375,26.68410622,NA,-8.889666667,16.73333333,25.267,8.896333333,1987,"Coastal",152,"F",46.277934,-123.486647,"WA",NA,NA,NA,NA,NA,1988,NA
"12","BM_34991",15.51428705,24.80241731,25.59763424,NA,23.46189508,9.793436856,27.51266581,NA,-22.56736297,7.684477019,27.646,10.3395,1987,"Coastal",142,"M",46.185552,-123.187834,"WA",NA,NA,NA,NA,NA,1988,NA
"13","BM_34997",16.37027104,23.77243396,20.50875834,NA,21.89174822,11.55928479,26.86002282,NA,-21.49979038,18.721,29.25333333,11.62833333,1987,"Coastal",108,"M",46.185552,-123.187834,"WA",NA,NA,NA,NA,NA,1988,NA
"14","BM_35001",9.453697426,23.42481033,25.40885874,NA,24.21711218,10.87819771,28.26988212,NA,-16.39075765,14.43416667,27.23966667,9.769916667,1988,"Coastal",NA,"F",46.2706,-123.4558,"WA",NA,NA,NA,NA,NA,1989,NA
"15","BM_36044",13.05177491,22.13909708,20.8484957,NA,24.86140421,11.92477942,26.39671177,NA,-36.26643406,21.83156207,28.7645,10.702,1979,"Inland",105,"F",47.8628,-122.5133,"WA",NA,NA,NA,NA,NA,1980,NA
"16","BM_36045",13.46425,22.39358333,22.61991667,NA,24.793375,10.8456686,26.41679167,NA,-35.38148604,11.74627083,26.954,7.466333333,1989,"Inland",NA,"",48.3683,-124.6236,"WA",NA,NA,NA,NA,NA,1990,NA
"17","BM_36047",14.86472788,21.98424055,28.25054296,NA,24.94667053,12.05071735,27.56863402,NA,-25.93844029,21.08433333,28.58533333,8.454333333,1989,"Inland",122,"M",48.26,-124.68139,"WA",NA,NA,NA,NA,NA,1990,NA
"18","BM_39398",18.60311082,20.91485137,25.39129124,NA,24.29569459,10.52203436,25.20052534,NA,-24.57307002,20.24481658,20.90433333,9.402333333,1980,"Inland",92,"F",47.8628,-122.5133,"WA",NA,NA,NA,NA,NA,1981,NA
"19","BM_51206",13.61477149,22.44895314,20.38706913,NA,25.33427482,10.83458935,28.19609488,NA,-32.9836177,18.10276203,25.212,8.280777778,1980,"Inland",NA,"M",47.3192,-122.4253,"WA","UWBM",48.2056,17.4742,132.7419,-11.8316,1981,-12.3126914273121
"20","BM_51213",13.69705477,22.09291838,23.06769674,NA,26.55854854,13.83063574,28.89579381,NA,-14.90018686,16.6,24.90433333,12.192,1983,"Inland",109,"M",47.2901,-122.6664,"WA","UWBM",44.9625,19.7667,125.3317,-10.4525,1984,-10.974181542365
"21","BM_80771",NA,21.95654997,19.64423783,NA,11.34849427,10.220875,24.99494172,NA,-29.471875,15.20503007,26.891,10.83833333,2004,"Inland",NA,"M",48.1742,-122.5281,"WA",NA,NA,NA,NA,NA,2005,NA
"22","BM_80772",12.70969713,21.21378115,17.98875427,NA,22.64773557,11.41245017,27.21916125,NA,-21.22917955,17.68381701,25.19966667,8.266666667,2007,"Inland",NA,"F",48.5369,-122.5283,"WA","UWBM",46.7091,16.5705,127.7654,-10.9489,2008,-11.9462056868277
"23","BM_80773",15.01376976,19.70325515,26.99023797,NA,24.10649012,11.99954553,26.10441796,NA,NA,14.22407259,24.383,7.808,2007,"Coastal",NA,"F",46.4913,-124.0501,"WA",NA,NA,NA,NA,NA,2008,NA
