ID,Sex,Year,Location 1,County,Location 2,Lat,Long,Length,Weight,Age,Museum,Sataus,Storage,Place Holder,Institution,Status,Run at 100,Run at 200,Run at 250
36045,Unknown,1989,,Clallam,Coastal,48.3683,-124.6236,,,,UWBM,,,1,,,,,
36047,M,1989,,Clallam,Coastal ,48.26,-124.68139,1220,,,UWBM,,,1,,,,,
81078,Unknown,2008,,Clallam,Inland,48.0946,-122.9153,,,,UWBM,,,1,,,,,
20225,M,1961,,Clatsop,Coastal,46.0679,-123.91,,,,UWBM,,,1,,,,,
20228,Unknown,1959,,Clatsop,Coastal,46.0999,-123.935,,,,UWBM,,,1,,,,,
34990,F,1987,,Clatsop,Coastal,46.277934,-123.486647,1520,,,UWBM,,,1,,,,,
35015,F,1988,,Clatsop,Coastal,46.269852,-123.672793,1040,,,UWBM,,,1,,,,,
NMML1984,M,1991,,Clatsop County,Coastal,46.23055556,-123.866666,148,,,NMML,,,1,,,,,
NMML2001,F,1991,,Clatsop County,Coastal,46.1331,-123.5713,155,,,NMML,,,1,,,,,
NMML2022,F,1992,,Clatsop County,Coastal,46.228537,-124.016056,160,,,NMML,,,1,,,,,
NMML2024,F,1992,,Clatsop County,Coastal,,,156,,,NMML,,,1,,,,,
NMML2032,M,1992,,Clatsop County,Coastal,46.265153,-123.966564,148,,,NMML,,,1,,,,,
NMML2045,M,1981,,Clatsop County,Coastal,46.176001,-123.982239,167,,,NMML,,,1,,,,,
NMML2050,M,1981,,Clatsop County,Coastal,46.207228,-123.955586,165,,,NMML,,,1,,,,,
NMML2062,M,1982,,Clatsop County,Coastal,46.2437222,-123.7333333,154,,,NMML,,,1,,,,,
NMML2064,M,1982,,Clatsop County,Coastal,46.16805556,-123.9352778,146,,,NMML,,,1,,,,,
NMML2068,M,1982,,Clatsop County,Coastal,46.204797,-123.949117,176,,,NMML,,,1,,,,,
25896,F,,Tokeland,Coastal,Coastal,46.703882,-123.971109,,,,SM,,,1,,,,,
