Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,years,Location.2,Length,Sex,Lat,Long,State
UA_28938,10.76482238,25.33302131,28.08585554,NA,27.27679396,12.42084429,30.05616637,NA,-18.17889165,18.50592362,28.28033333,12.49233333,1966,BB,NA,F,56.91666667,-158.6833333,AK
UA_42151,13.35796625,23.65075222,23.99964298,NA,25.54603375,12.6348952,26.94860657,NA,-30.26020604,19.29564831,26.716,9.3495,1996,BB,1470,F,58.2,-157.5,AK
UA_19174,11.2287841,23.63804449,25.10627085,NA,25.51127543,13.30931174,25.57010599,NA,-23.90969382,15.49729441,24.70966667,11.361,1981,BB,NA,M,55.88333333,-160.4666667,AK
UA_11827,11.32150629,22.99267503,24.60078848,NA,26.80370804,13.66581313,28.9607796,NA,-24.41477546,15.79023901,27.39733333,9.956833333,1975,BB,149,M,60.28333333,-148.0166667,AK
UA_47511,15.50824653,24.23105175,27.18376359,NA,27.57338956,14.16026417,30.30702258,NA,-28.43049729,23.79478852,29.646,12.856,1985,BB,1421,M,56.885,-158.8666667,AK
UA_28941,16.60413161,25.32406944,24.0934068,NA,23.16734593,14.39374103,29.77266041,NA,-6.953850468,19.28735351,27.46166667,11.53016667,1966,BB,NA,M,56.91666667,-158.6833333,AK
UA_19172,22.25380943,25.49459532,25.80491378,NA,27.56744057,14.4105091,28.94290882,NA,-30.74493761,20.04058422,29.623,12.53133333,1981,BB,1423,M,55.88333333,-160.4666667,AK
UA_28943,29.66171144,25.89694168,25.93171929,NA,26.20053856,14.52332763,30.47486738,NA,-29.77691304,20.34772099,29.42433333,13.453,1966,BB,NA,,56.91666667,-158.6833333,AK
UA_52184,16.28135842,26.16475688,26.9986976,NA,25.63030617,14.57765668,31.3549661,NA,-20.69416918,20.27287185,29.41466667,11.82733333,1997,BB,1540,F,58.2,-157.4166667,AK
UA_28935,20.21478996,24.52929781,23.19079559,NA,26.14171004,14.8610934,28.81696152,NA,-34.46362004,19.92479366,29.298,12.222,1966,BB,NA,M,56.91666667,-158.6833333,AK
UA_28940,13.72788795,26.04861812,23.45032342,NA,26.56294538,14.89327487,29.96966963,NA,-35.19497795,19.68532356,30.004,12.777,1966,BB,NA,F,56.91666667,-158.6833333,AK
UA_19173,12.78464882,25.09381301,26.21155931,NA,23.60837475,15.02239851,28.90532733,NA,-13.93887561,19.08158403,28.93133333,12.7055,1981,BB,NA,F,55.88333333,-160.4666667,AK
UA_52183,15.73583533,23.61776081,23.15544464,NA,22.27892599,15.24028271,27.45930373,NA,-2.859779455,19.11204648,25.80383333,9.434333333,1997,BB,NA,F,58.18333333,-157.45,AK
UA_19175,10.15163314,25.79730758,25.28239972,NA,25.57878353,15.35604063,29.3290971,NA,-24.51601828,16.80572957,29.31966667,12.089,1981,BB,NA,F,55.88333333,-160.4666667,AK
UA_42152,10.84533366,24.01708276,25.97694504,NA,26.02496827,16.27670003,25.02044226,NA,-20.68035198,21.14596925,29.13,12.10933333,1996,BB,1360,F,58.2,-157.5,AK
UA_43044,11.00154923,25.37828885,26.81139581,NA,25.72939123,16.65402159,26.44322735,NA,-25.18997285,17.24970559,30.193,11.847,1996,BB,1215,F,58.66666667,-160.25,AK
UA_47510,15.05204375,26.5673643,25.31013883,NA,25.98485828,16.89428471,31.32704147,NA,-12.0482422,19.55264278,28.9495,13.69766667,1985,BB,1447,M,56.885,-158.8666667,AK
UA_19159,12.50804603,25.8345259,26.9800071,NA,27.23199097,16.92511294,30.7904029,NA,-22.27477649,19.51236271,31.41883333,13.855,1981,BB,NA,M,56.9,-158.8,AK
UA_19161,11.62772555,25.85589696,26.14977462,NA,27.71395518,17.16733922,26.21360746,NA,-27.4880229,19.2197985,24.80433333,10.59466667,1981,BB,NA,M,56.9,-158.8,AK
UA_28937,11.02194112,25.25676971,25.81489205,NA,28.00504482,18.38866078,29.01772588,NA,-22.5209771,20.9532015,31.85733333,11.735,1966,BB,NA,F,56.91666667,-158.6833333,AK
UA_28936,9.557999673,26.26758391,28.10272162,NA,27.6886984,18.88829997,28.5602244,NA,-23.48364802,19.05203075,31.60566667,12.48366667,1966,BB,NA,F,56.91666667,-158.6833333,AK
SI_276059,13.73065677,18.76735291,23.43735647,NA,23.87007122,6.014049229,21.73708185,NA,-24.85705759,11.4235688,18.60833333,10.849,1942,Coastal,NA,F,46.619545,-123.95812,WA
SM_25744,14.63236089,24.49910309,26.17877491,NA,14.72719287,7.329783896,29.54817397,NA,-22.16997158,16.44233333,30.42116667,8.776,1978,Coastal,NA,F,47.227824,-124.212433,WA
