"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","LEU.mean","NLE.sd","ALA.sd","VAL.sd","ILE.sd","ASP.sd","PHE.sd","GLU.sd","TYR.sd","THR.sd","SER.sd","PRO.sd","GLY.sd","LEU.sd","X","Sex","Year","County","Location.2","Lat","Long","Length","Weight","Age","Date","Month"
"1","BM_20228",NA,24.0399328823024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1959,"Clatsop","Coastal",46.0999,-123.935,NA,NA,NA,"8/29/59",8
"2","BM_32052",NA,22.1457626348666,22.8517762634865,NA,NA,9.91983304940368,27.2331010789324,NA,-18.2000107893243,18.1391754684837,23.572,10.878,24.711,NA,0.0750888805819912,1.82527766592875,NA,NA,0.328972902195652,0.0615913789128268,NA,0.721331015886592,2.59529649844299,0.20313296138244,0.49401214559968,0.506299318585361,1,"M",1977,"Island","Inland",48.2933,-122.5985228,92,NA,NA,"4/24/77",4
"3","BM_32053",NA,24.5415416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1977,"Island","Inland",48.225,-122.7689,NA,NA,NA,"7/1/77",7
"4","BM_32516",NA,20.810102233677,25.0977573024055,NA,NA,NA,25.1126842783505,NA,NA,NA,28.032,8.5615,26.014,NA,0.161594553822926,0.129780823470058,NA,NA,NA,0.245479044361525,NA,NA,NA,0.0438406204335643,0.307591449816148,1.11157186002525,1,"F",1979,"Pacific","Coastal",46.3525,-124.0531,133,NA,NA,"5/10/79",5
"5","BM_34967",NA,21.844074742268,25.7273256013747,NA,NA,11.9382852233677,25.4874978522337,NA,-13.7741353092784,13.0274901202751,26.8716666666667,9.89066666666667,25.1813333333333,NA,0.0426729169769119,1.00111848946479,NA,NA,1.35545978705865,4.23794876323221,NA,21.6876220457095,5.46998561755457,0.971218993499065,0.229260405071031,0.396083745353596,1,"F",1987,"Cowlitz","Coastal",46.185552,-123.187834,124,NA,NA,"2/5/87",2
"6","BM_34969",15.473174437537,24.024625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350494983135014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1987,"Wahkiakum","Coastal",42.2706,-123.4558,104,NA,NA,"2/18/87",2
"7","BM_34974",19.6232113267253,21.5607665408645,27.025577807048,NA,22.449560866656,NA,24.9448417007368,NA,NA,NA,NA,12.178,NA,0.899064029390519,0.263050608287492,0.458810863921249,NA,0.405008425836478,NA,0.820969766971856,NA,NA,NA,NA,0.182738597900332,NA,NA,"M",1987,"Columbia","Coastal",46.1408,-123.2525,123,NA,NA,"2/19/87",2
"8","BM_34983",NA,24.2658713487972,23.6390882731959,NA,NA,NA,24.2677895189004,NA,NA,NA,NA,10.6738333333334,25.8283333333333,NA,0.137796881606024,0.519195624432151,NA,NA,NA,4.71497000646842,NA,NA,NA,NA,0.0702162781713498,0.370593753281284,NA,"M",1986,"Cowlitz","Coastal",46.185552,-123.187834,106,NA,NA,"2/4/86",2
"9","BM_34988",7.99149058759527,23.828433419244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.663053295413266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1987,"Wahkiakum","Coastal",46.1583,-123.2531,138,NA,NA,"1/29/87",1
"10","BM_34989",14.5483786512027,22.9590816151202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18982656878487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",1987,"Cowlitz","Coastal",46.185552,-123.187834,119,NA,NA,"1/30/87",1
"11","BM_34990",15.6101669044218,21.8812442641464,20.1599895090348,NA,22.7902598668571,NA,26.6841062173085,NA,NA,NA,NA,8.89633333333333,NA,1.18830336583172,0.107578086814234,0.289623603740931,NA,0.672762900283328,NA,0.553137190547835,NA,NA,NA,NA,0.173625082510477,NA,NA,"F",1987,"Clatsop","Coastal",46.277934,-123.486647,152,NA,NA,"2/5/87",2
"12","BM_34991",NA,24.8024173109966,25.5976342353951,NA,NA,NA,27.5126658075602,NA,NA,NA,NA,10.3395,25.816,NA,1.56366149580351,1.6379913056738,NA,NA,NA,0.252771779241002,NA,NA,NA,NA,0.202336079298098,0.524655439984158,NA,"M",1987,"Cowlitz","Coastal",46.185552,-123.187834,142,NA,NA,"2/6/87",2
"13","BM_34997",16.4151368093444,23.7724339569515,20.5087583370713,NA,23.6000729915783,NA,26.8600228177959,NA,NA,NA,NA,11.6283333333333,NA,0.332085131853555,0.179811760112795,0.568534114759788,NA,0.416425672368949,NA,0.35283504261798,NA,NA,NA,NA,0.180188703570975,NA,NA,"M",1987,"Coulitz","Coastal",46.185552,-123.187834,108,NA,NA,"2/16/88",2
"14","BM_35001",10.8356431293092,23.4248103312462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92702359571167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",1988,"Wahkiakum","Coastal",46.2706,-123.4558,NA,NA,NA,"2/17/88",2
"15","BM_35015",NA,23.9020878436426,21.2243047680413,NA,NA,NA,18.9049544673539,NA,NA,NA,NA,14.37,24.719,NA,0.371308699256116,4.52684566898159,NA,NA,NA,13.5288774492687,NA,NA,NA,NA,6.38613013608211,0.70981531396476,NA,"F",1988,"Clatsop","Coastal",46.269852,-123.672793,104,NA,NA,"3/5/88",3
"16","BM_36044",NA,22.1390970790377,NA,NA,NA,11.9247794243986,NA,NA,-36.2664340635741,21.8315620704469,28.7645,NA,NA,NA,NA,NA,NA,NA,0.391633967691629,NA,NA,0.69741840437449,0.468656529042666,0.117261355820929,NA,NA,1,"F",1979,"Kitsap","Inland",47.8628,-122.5133,105,NA,NA,"2/5/87",2
"17","BM_36045",NA,22.3935833333333,NA,NA,NA,10.8456685996562,NA,NA,-35.381486039519,11.7462708333334,26.954,NA,NA,NA,NA,NA,NA,NA,0.555590597391699,NA,NA,1.37428975964222,0.991075555804968,0.242575879599073,NA,NA,1,"",1989,"Clallam","Inland",48.3683,-124.6236,NA,NA,NA,"1/1/89",1
"18","BM_36047",14.8647278780068,21.9842405498281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51775483846823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1989,"Clallam","Inland",48.26,-124.68139,122,NA,NA,"9/19/89",9
"19","BM_39398",NA,20.9148513745703,25.3912912371135,NA,NA,10.5220343642611,25.2005253436425,NA,-24.5730700171822,20.2448165807561,20.9043333333333,9.40233333333333,24.994,NA,0.231612182169309,1.32942975517119,NA,NA,1.09051433322328,0.336527153086135,NA,1.15898897356547,0.529320112676241,0.560776544920821,0.156212462157581,0.192595430890767,1,"F",1980,"Kitsap","Inland",47.8628,-122.5133,92,NA,NA,"2/16/80",2
"20","BM_51206",NA,22.4489531420714,20.3870691265394,NA,NA,NA,28.1960948811697,NA,NA,NA,NA,8.28077777777778,26.7817777777778,NA,0.283702800101765,1.18509123358289,NA,NA,NA,0.489359006780008,NA,NA,NA,NA,0.0652049240173162,0.565193410911785,NA,"M",1980,"Pierce","Inland",47.3192,-122.4253,NA,NA,NA,"7/8/80",7
"21","BM_51213",13.6970547680412,22.0929183848796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.47045592827231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",1983,"Pierce","Inland",47.2901,-122.6664,109,NA,NA,"10/15/83",10
"22","BM_80771",NA,21.9565499713631,19.6442378293242,NA,NA,NA,24.9949417239404,NA,NA,NA,NA,10.8383333333334,23.5265555555556,NA,0.153772691666284,0.788613524015878,NA,NA,NA,0.535219659725605,NA,NA,NA,NA,0.0794254762311951,0.309066677702955,NA,"M",2004,"Island","Inland",48.1742,-122.5281,NA,NA,NA,"1/10/04",1
"23","BM_80772",NA,21.2137811473166,17.9887542657768,NA,NA,NA,27.2191612465133,NA,NA,NA,NA,8.26666666666667,24.7002222222222,NA,0.129485342924308,1.74181096251944,NA,NA,NA,0.154021521079251,NA,NA,NA,NA,0.174168071551061,0.244840651091954,NA,"F",2007,"Skagit","Inland",48.5369,-122.5283,NA,NA,NA,"4/21/07",4
"24","BM_80773",NA,19.7032551546392,26.9902379725087,NA,NA,11.999545532646,26.1044179553265,NA,NA,14.2240725945018,24.383,7.808,25.581,NA,0.624400194805283,1.53063170304311,NA,NA,1.94659161676953,1.05718482131259,NA,NA,1.99633952864796,1.89956021225967,0.157330861562505,1.79808926363515,1,"F",2007,"Pacific","Coastal",46.4913,-124.0501,NA,NA,NA,"6/26/07",6
"25","BM_80774",NA,23.0898114261169,26.0357268041237,NA,NA,11.2979196735394,26.2632341065293,NA,NA,NA,NA,8.53666666666667,24.1896666666667,NA,0.166240693287051,0.46525825265102,NA,NA,1.14501962822627,0.246920454345344,NA,NA,NA,NA,0.162715498135037,0.174081398585069,NA,"F",1994,"Columbia","Coastal",46.2693,-124.0801,NA,NA,NA,"2/8/94",2
"26","BM_80776",NA,21.8833288928359,21.2483433984606,NA,NA,NA,26.1349210084863,NA,NA,NA,NA,10.9443333333334,25.0595555555556,NA,0.13378094749572,0.112147022208068,NA,NA,NA,0.310647441622752,NA,NA,NA,NA,0.13630589265849,0.419554346876109,NA,"F",2006,"Kitsap","Inland",47.5958,-122.5058,NA,NA,NA,"7/14/06",7
"27","BM_80777",NA,22.2934172394042,24.0522797823596,NA,NA,NA,28.144133161512,NA,NA,NA,NA,8.08888888888889,25.2055555555556,NA,0.204859770251898,2.68504494618429,NA,NA,NA,0.323122236012486,NA,NA,NA,NA,0.282522576298953,1.31477859788093,NA,"M",2007,"Grays Harbor","Coastal",46.81,-124.0933,NA,NA,NA,"8/13/07",8
"28","BM_80778",NA,22.326366552119,20.4644868270332,NA,NA,NA,29.5709745131729,NA,NA,NA,NA,7.72533333333333,23.821,NA,0.135859817666354,0.423126089521186,NA,NA,NA,0.246631865670601,NA,NA,NA,NA,0.262704751464793,1.37897715913133,NA,"F",2008,"Grays Harbor","Coastal",46.9734,-124.1559,NA,NA,NA,"1/16/08",1
"29","BM_80780",13.8417914586305,23.1607444127438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49398164614517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",2006,"King","Inland",47.3486,-122.3244,NA,NA,NA,"7/10/06",7
"30","BM_80782",12.866216709622,21.9738333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30570062997538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M",2007,"Snohomish","Inland",47.8103,-122.377,NA,NA,NA,"6/8/07",6
"31","BM_81078",NA,20.4646761168385,19.9507001718214,NA,NA,10.2594862542955,24.6575648625429,NA,-24.7385803264606,20.4397650343644,18.7756666666667,8.845,24.1266666666667,NA,0.169495040955807,0.146336387121243,NA,NA,0.594373479497844,0.679269113239145,NA,1.78778482895077,0.643505272689426,0.181989926461146,0.209721243559158,0.522526873312114,1,"",2008,"Clallam","Inland",48.0946,-122.9153,NA,NA,NA,"8/29/08",8
"32","BM_81979",NA,21.9998290378007,17.153454467354,NA,NA,13.8418926116838,26.3989780927835,NA,-20.0472134879726,21.7451825601376,21.955,16.264,25.7076666666667,NA,0.156343424879688,7.11038522294033,NA,NA,0.979713622668935,0.507179028411552,NA,0.433886853535739,0.341182195131374,0.260551338511243,11.1468498240534,3.05959872096544,1,"M",2011,"Kitsap","Inland",47.5972,-122.3486,154,NA,NA,"2/8/11",2
"33","BM_82369",14.4936913659794,21.6528221649484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.346427525777562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",2014,"Yakutat","SE AK",59.9326,-139.5983,135,NA,NA,"5/25/14",5
"34","BM_82370",NA,23.0313988402063,22.3047759879725,NA,NA,NA,26.2040803264605,NA,NA,NA,NA,12.0655,24.8548333333333,NA,0.219215727814555,0.848562751744278,NA,NA,NA,0.439179869202757,NA,NA,NA,NA,0.105386101993412,0.603319408650388,NA,"F",2014,"Yakutat","SE AK",59.5278,-139.7673,111,NA,NA,"5/25/14",5
"35","BM_82371",NA,22.2381098224513,23.8317114833907,NA,NA,NA,27.6145110252005,NA,NA,NA,NA,11.679,26.5704444444444,NA,0.193337843192243,0.935256287630927,NA,NA,NA,0.194111558688787,NA,NA,NA,NA,0.205576275872302,1.92397627172013,NA,"F",2014,"Yakutat","SE AK",59.9385,-139.6076,118,NA,NA,"5/25/14",5
"36","BM_82372",NA,20.9653968140752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",2014,"Yakutat","SE AK",59.9342,-139.6176,122,NA,NA,"5/25/14",5
"37","BM_82685",NA,22.7012016235027,19.2753452585865,NA,NA,NA,27.5128050397865,NA,NA,NA,NA,13.7963888888889,26.8218888888889,NA,0.191685092765239,1.31658491226045,NA,NA,NA,0.819744752375332,NA,NA,NA,NA,2.41008065820465,0.61153535589684,NA,"",2012,"Whatcom","Inland",47.097241,-122.705579,99,NA,NA,"",NA
"38","NM_1905",NA,21.7128656009473,NA,NA,NA,NA,27.4393564239194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187362263713586,NA,NA,NA,NA,NA,NA,1,"M",1999,"Pierce Co.","Inland",47.2179,-122.6599,170,NA,NA,"7/21/99",7
"39","NM_1915",9.64441955298947,23.1850261989342,29.9850612048551,NA,25.4383031379513,13.4760829632918,27.1026955298992,NA,-25.0873269686204,16.220115008881,27.5146666666667,9.738,28.4,1.82334984306137,0.367034313319804,7.93100620567123,NA,0.249456224471112,0.43246572854185,0.219636112398035,NA,2.18191674357573,0.710557630049592,0.0354447927534263,0.774929674228572,1.77990477273364,1,"M",1996,"Pierce Co.","Inland",47.2179,-122.6599,149,NA,NA,"5/31/96",5
"40","NM_1917",NA,22.6146697636513,NA,NA,NA,5.88511242868786,NA,NA,-15.0355108394459,15.5262766503668,15.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"F",1998,"Pierce Co.","Inland",47.2179,-122.6599,145,NA,NA,"9/9/98",9
"41","NM_1918",NA,22.4093030392737,23.713005846655,NA,24.0217516528519,12.5821422932702,26.7642178063943,NA,-20.9155584172094,16.1334027037695,24.3276666666666,16.8651111111111,NA,NA,0.225765271534401,1.0470052269735,NA,0.697167494226234,1.22050809267551,0.472354978860406,NA,2.92791548357146,0.518683158664489,0.205161120325976,2.04955891628422,NA,1,"F",1998,"Pierce Co.","Inland",47.2179,-122.6599,145,NA,NA,"10/1/98",10
"42","NM_1919",NA,23.6453647128478,NA,NA,NA,NA,26.3299552249852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.918976704253782,NA,NA,NA,NA,NA,NA,1,"M",1998,"Pierce Co.","Inland",47.2179,-122.6599,154,NA,NA,"10/5/98",10
"43","NM_1984",NA,22.7080827868852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"M",1991,"Clatsop County","Coastal",46.23055556,-123.866666,148,NA,NA,"2/20/91",2
"44","NM_1995",NA,25.1851746595619,NA,NA,NA,NA,27.9526601539372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434882211775743,NA,NA,NA,NA,NA,NA,1,"F",1991,"Pacific County","Coastal",NA,NA,170,NA,NA,"3/18/91",3
"45","NM_2001",NA,21.2754601639344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"F",1991,"Clatsop County","Coastal",46.1331,-123.5713,155,NA,NA,"4/24/91",4
"46","NM_2016",NA,24.1307057430433,27.559598579041,NA,25.9206053878034,NA,29.2233203078746,NA,NA,NA,NA,11.9341666666667,NA,NA,0.16517843499821,0.802902471834189,NA,0.419138293703921,NA,0.369922692730078,NA,NA,NA,NA,6.27524311217815,NA,1,"M",1991,"Pacific County","Coastal",46.398712,-124.062234,159,NA,NA,"10/25/91",10
"47","NM_2024",NA,22.3545607650273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"F",1992,"Clatsop County","Coastal",NA,NA,156,NA,NA,"5/12/92",5
