,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,TP.class,TP.ger,X,Sex,years,County,Location.2,Lat,Long,Length,Weight,Age,Date,Month
86,SI_253043,12.47650963,NA,NA,NA,NA,17.53223865,28.88655924,NA,-6.611066426,19.58166667,7.183,NA,2.046621129,2.849841996,NA,F,1928,Skagit County,Inland,48.473108,-122.468463,NA,NA,NA,7/1/28,7
84,SI_253041,14.06892536,20.89324645,27.18672824,NA,26.23656123,16.63569812,28.79415194,NA,-24.80188492,12.36495619,24.89833333,8.11,2.152428134,3.036849725,NA,M,1928,Skagit County,Inland,48.473108,-122.468463,NA,NA,NA,7/1/28,7
85,SI_253042,14.27828165,18.68611062,21.75782653,NA,22.83488388,8.925944569,26.55679496,NA,-26.01126855,12.52795627,25.56877778,9.506777778,2.872480314,4.30950009,NA,F,1928,Skagit County,Inland,48.473108,-122.468463,NA,NA,NA,7/1/28,7
73,RM_2361,15.85361616,22.7529063,26.19753606,NA,14.87965815,14.093963,26.31757013,NA,-27.5442181,16.16044916,26.61766667,9.664666667,2.161000939,3.052001659,NA,,1937,Salish Sea,Inland,48.419694,-123.242538,NA,NA,NA,7/12/37,7
88,SI_274146,14.08519111,15.50832028,18.98265125,NA,20.40453924,7.499578292,17.20994543,NA,-24.01099657,8.878565243,27.253,8.271666667,1.830311466,2.467527242,NA,F,1942,Pacific County,Coastal,46.619545,-123.95812,NA,NA,NA,5/31/42,5
74,RM_4934,13.88831314,23.22767746,26.27708575,NA,26.65794037,14.94922054,26.94199091,NA,-22.54262678,20.4240097,27.948,13.549,2.13062768,2.998318691,NA,,1942,Salish Sea,Inland,48.412071,-123.313368,NA,NA,NA,8/16/42,8
87,SI_274144,32.0102305,25.84248335,26.2555719,NA,25.66628786,15.84088081,28.19665264,NA,-43.67725385,16.48415098,29.664,13.477,2.178391031,3.082737635,NA,M,1942,Pacific County,coastal,46.619545,-123.95812,NA,NA,NA,5/31/42,5
93,SI_276058,13.85736369,19.73631228,24.89545996,NA,24.12747092,10.47712633,23.9203968,NA,-28.7261659,15.76268861,28.1575,9.999,2.321482956,3.335644294,NA,F,1942,Pacific County,Coastal,46.490551,-124.0598,NA,NA,NA,6/14/42,6
92,SI_274156,13.63278419,23.36978526,26.54137286,NA,23.98296368,13.94583067,27.63340919,NA,-19.84617229,18.30140142,25.04733333,8.941333333,2.353628752,3.392460121,NA,F,1942,Pacific County,Coastal,46.619545,-123.95812,NA,NA,NA,7/14/42,7
90,SI_274153,12.99326428,24.64879899,26.84317969,NA,24.69745826,12.57958677,27.46594686,NA,-26.2119143,12.00533333,26.761,10.88966667,2.51136317,3.671246534,NA,F,1942,Thurston County,Inland,47.095908,-122.686415,NA,NA,NA,7/8/42,7
