Year ,Count,Group
1975,1694,Coastal Estuaries
1976,1742,Coastal Estuaries
1977,2082,Coastal Estuaries
1978,2570,Coastal Estuaries
1979,,Coastal Estuaries
1980,2864,Coastal Estuaries
1981,4408,Coastal Estuaries
1982,5197,Coastal Estuaries
1983,4416,Coastal Estuaries
1984,4203,Coastal Estuaries
1985,6008,Coastal Estuaries
1986,4807,Coastal Estuaries
1987,7600,Coastal Estuaries
1988,6796,Coastal Estuaries
1989,6475,Coastal Estuaries
1990,,Coastal Estuaries
1991,8681,Coastal Estuaries
1992,7761,Coastal Estuaries
1993,8161,Coastal Estuaries
1994,5786,Coastal Estuaries
1995,6492,Coastal Estuaries
1996,7191,Coastal Estuaries
1997,7643,Coastal Estuaries
1998,,Coastal Estuaries
1999,7117,Coastal Estuaries
1975,,Olympic Peninsula
1976,,Olympic Peninsula
1977,,Olympic Peninsula
1978,,Olympic Peninsula
1979,,Olympic Peninsula
1980,1639,Olympic Peninsula
1981,1677,Olympic Peninsula
1982,,Olympic Peninsula
1983,2359,Olympic Peninsula
1984,,Olympic Peninsula
1985,,Olympic Peninsula
1986,1789,Olympic Peninsula
1987,3204,Olympic Peninsula
1988,,Olympic Peninsula
1989,3667,Olympic Peninsula
1990,,Olympic Peninsula
1991,3832,Olympic Peninsula
1992,4191,Olympic Peninsula
1993,3544,Olympic Peninsula
1994,3505,Olympic Peninsula
1995,4867,Olympic Peninsula
1996,3124,Olympic Peninsula
1997,4221,Olympic Peninsula
1998,,Olympic Peninsula
1999,3313,Olympic Peninsula
1975,,Straight of Juan de Fuca
1976,,Straight of Juan de Fuca
1977,,Straight of Juan de Fuca
1978,417,Straight of Juan de Fuca
1979,,Straight of Juan de Fuca
1980,,Straight of Juan de Fuca
1981,,Straight of Juan de Fuca
1982,,Straight of Juan de Fuca
1983,883,Straight of Juan de Fuca
1984,1025,Straight of Juan de Fuca
1985,1288,Straight of Juan de Fuca
1986,849,Straight of Juan de Fuca
1987,1016,Straight of Juan de Fuca
1988,1518,Straight of Juan de Fuca
1989,1402,Straight of Juan de Fuca
1990,1142,Straight of Juan de Fuca
1991,1238,Straight of Juan de Fuca
1992,1580,Straight of Juan de Fuca
1993,2154,Straight of Juan de Fuca
1994,1488,Straight of Juan de Fuca
1995,2281,Straight of Juan de Fuca
1996,1988,Straight of Juan de Fuca
1997,2284,Straight of Juan de Fuca
1998,1734,Straight of Juan de Fuca
1999,1752,Straight of Juan de Fuca
1975,,San Juan Islands
1976,,San Juan Islands
1977,,San Juan Islands
1978,852,San Juan Islands
1979,,San Juan Islands
1980,,San Juan Islands
1981,,San Juan Islands
1982,,San Juan Islands
1983,1688,San Juan Islands
1984,2308,San Juan Islands
1985,1859,San Juan Islands
1986,2193,San Juan Islands
1987,2179,San Juan Islands
1988,2847,San Juan Islands
1989,2884,San Juan Islands
1990,3157,San Juan Islands
1991,3510,San Juan Islands
1992,3640,San Juan Islands
1993,4524,San Juan Islands
1994,4529,San Juan Islands
1995,4852,San Juan Islands
1996,5330,San Juan Islands
1997,4277,San Juan Islands
1998,4441,San Juan Islands
1999,3588,San Juan Islands
1975,,Eastern Bays
1976,,Eastern Bays
1977,,Eastern Bays
1978,755,Eastern Bays
1979,,Eastern Bays
1980,,Eastern Bays
1981,,Eastern Bays
1982,,Eastern Bays
1983,1347,Eastern Bays
1984,1727,Eastern Bays
1985,1416,Eastern Bays
1986,1613,Eastern Bays
1987,1751,Eastern Bays
1988,1902,Eastern Bays
1989,1839,Eastern Bays
1990,,Eastern Bays
1991,1939,Eastern Bays
1992,2102,Eastern Bays
1993,2175,Eastern Bays
1994,2144,Eastern Bays
1995,2068,Eastern Bays
1996,2521,Eastern Bays
1997,2008,Eastern Bays
1998,1810,Eastern Bays
1999,1873,Eastern Bays
1975,,Puget Sound
1976,,Puget Sound
1977,,Puget Sound
1978,337,Puget Sound
1979,,Puget Sound
1980,,Puget Sound
1981,,Puget Sound
1982,,Puget Sound
1983,,Puget Sound
1984,,Puget Sound
1985,732,Puget Sound
1986,,Puget Sound
1987,,Puget Sound
1988,,Puget Sound
1989,,Puget Sound
1990,,Puget Sound
1991,891,Puget Sound
1992,708,Puget Sound
1993,972,Puget Sound
1994,854,Puget Sound
1995,,Puget Sound
1996,1119,Puget Sound
1997,1060,Puget Sound
1998,1026,Puget Sound
1999,1025,Puget Sound
1975,,Hood Canal
1976,,Hood Canal
1977,,Hood Canal
1978,732,Hood Canal
1979,,Hood Canal
1980,,Hood Canal
1981,,Hood Canal
1982,,Hood Canal
1983,,Hood Canal
1984,,Hood Canal
1985,,Hood Canal
1986,,Hood Canal
1987,,Hood Canal
1988,,Hood Canal
1989,,Hood Canal
1990,,Hood Canal
1991,1206,Hood Canal
1992,989,Hood Canal
1993,592,Hood Canal
1994,,Hood Canal
1995,,Hood Canal
1996,975,Hood Canal
1997,695,Hood Canal
1998,577,Hood Canal
1999,711,Hood Canal
