YEAR,Biomass,Group
1973,,SqaxinPass
1974,,SqaxinPass
1975,298,SqaxinPass
1976,2138,SqaxinPass
1977,20,SqaxinPass
1978,58,SqaxinPass
1979,137,SqaxinPass
1980,683,SqaxinPass
1981,772,SqaxinPass
1982,,SqaxinPass
1983,,SqaxinPass
1984,,SqaxinPass
1985,,SqaxinPass
1986,,SqaxinPass
1987,,SqaxinPass
1988,,SqaxinPass
1989,,SqaxinPass
1990,566,SqaxinPass
1991,943,SqaxinPass
1992,771,SqaxinPass
1993,596,SqaxinPass
1994,225,SqaxinPass
1995,157,SqaxinPass
1996,374,SqaxinPass
1997,149,SqaxinPass
1998,68,SqaxinPass
1999,474,SqaxinPass
2000,371,SqaxinPass
2001,1597,SqaxinPass
2002,3150,SqaxinPass
2003,2201,SqaxinPass
2004,828,SqaxinPass
2005,436,SqaxinPass
2006,755,SqaxinPass
2007,557,SqaxinPass
2008,1025,SqaxinPass
2009,824,SqaxinPass
2010,510,SqaxinPass
2011,565,SqaxinPass
2012,589,SqaxinPass
1973,,WollochetBay
1974,,WollochetBay
1975,,WollochetBay
1976,,WollochetBay
1977,,WollochetBay
1978,,WollochetBay
1979,,WollochetBay
1980,,WollochetBay
1981,,WollochetBay
1982,,WollochetBay
1983,,WollochetBay
1984,,WollochetBay
1985,,WollochetBay
1986,,WollochetBay
1987,,WollochetBay
1988,,WollochetBay
1989,,WollochetBay
1990,,WollochetBay
1991,,WollochetBay
1992,,WollochetBay
1993,,WollochetBay
1994,,WollochetBay
1995,,WollochetBay
1996,,WollochetBay
1997,,WollochetBay
1998,,WollochetBay
1999,,WollochetBay
2000,142,WollochetBay
2001,133,WollochetBay
2002,106,WollochetBay
2003,152,WollochetBay
2004,52,WollochetBay
2005,67,WollochetBay
2006,27,WollochetBay
2007,35,WollochetBay
2008,45,WollochetBay
2009,360,WollochetBay
2010,11,WollochetBay
2011,21,WollochetBay
2012,31,WollochetBay
1973,,WollochetQM
1974,,WollochetQM
1975,,WollochetQM
1976,1357,WollochetQM
1977,1413,WollochetQM
1978,1860,WollochetQM
1979,1941,WollochetQM
1980,1930,WollochetQM
1981,17777,WollochetQM
1982,1778,WollochetQM
1983,909,WollochetQM
1984,1386,WollochetQM
1985,667,WollochetQM
1986,1181,WollochetQM
1987,924,WollochetQM
