record_code,format_version,submission_date,reporting_agency,release_agency,coordinator,tag_code_or_release_id,tag_type,first_sequential_number,last_sequential_number,related_group_type,related_group_id,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,total,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,release_location_state,release_location_rmis_region,release_location_rmis_basin,record_origin,,,Sum of total,Column Labels,,,,,,,,
N,4.1,20160414,YAKA,YAKA,11,!11YNKL0115,,,,,,1,1,2013,20150316,20150320,3F42001  300002 H,3F42001  300002 H,3F42001  300002 S,S,H,P,MX,26.84,126,N,,,,,5000,119782,,,119782,B,,,,,AD,KLICKITAT HATCHERY (YKFP),KLICKITAT HATCHERY (YKFP),KLICKITAT R  30.0002,WA,CECR,KLIC,N,,,Row Labels,AK,BC,CA,ID,NA,OR,WA,(blank),Grand Total
N,4.1,20041207,FWS,FWS,7,!07200300040,,,,,,1,3,2002,20030404,20030404,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,5.03,77,N,,,,,0,1685414,,,1685414,V,,,,,"No Mark retention done, all released unmarked, COLE20030401",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,C,,,1950,,,,,,,75261,,"75,261"
N,4.1,20041207,FWS,FWS,7,!07200300041,,,,,,1,3,2002,20030418,20030418,6FCSABAT CNFH,6FCSABAT CNFH,6FCSABAT CNFH,P,H,P,FR,5.23,78,N,,,,,0,5214104,,,5214104,V,,,,,"No Mark retention done, all released unmarked, COLE20030403",COLEMAN NFH,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,C,,,1951,,,,,,,4116254,,"4,116,254"
T,4.1,20060803,CDFW,CDWR,8,62763,12,,,,,1,1,2002,20030428,20030429,6FCSUCAR BENE,6FCSAFEA FRFH,6FCSAFEA,V,H,E,,7.56,92,N,5000,53522,,,5000,1339,,,54861,,0.0244,21,,,,BENICIA,FEATHER R HATCHERY,FEATHER RIVER,CA,CECA,SFBA,C,,,1952,,,,,,,23493212,,"23,493,212"
T,4.1,20160414,YAKA,YAKA,11,636648,13,,,,,1,1,2013,20150316,20150320,3F42001  300002 H,3F42001  300002 H,3F42001  300002 S,S,H,P,MX,26.84,126,N,5000,141068,,,,,,,141068,B,,,,,AD + CWT,KLICKITAT HATCHERY (YKFP),KLICKITAT HATCHERY (YKFP),KLICKITAT R  30.0002,WA,CECR,KLIC,N,,,1953,,,,,,,12789399,,"12,789,399"
T,4.1,20160212,FWS,FWS,7,54568,12,,,,,1,1,2009,20110413,20110413,3F42001  290023 R,3F42001  290023 H,3F42001  290023 S,S,H,O,FR,25.13,145,,5000,74033,,,5000,191668,,,265701,B,0.003,48,305,,Ca SCS 34 Wind River Carson NFH RVSD 4.2012 resubmited2.16newweight#,WIND R       29.0023,CARSON NFH,WIND R       29.0023,WA,CECR,WIND,N,,,1954,,,,,,,22290901,,"22,290,901"
T,4.1,20160212,FWS,FWS,7,54829,12,,,,,1,1,2009,20110414,20110414,3F42001  290023 R,3F42001  290023 H,3F42001  290023 S,S,H,O,FR,27.08,147,,5000,25069,,,5000,535513,,,560582,B,0.002,49,509,,Ca SCS 34 Wind River Carson NFHresumbit2.16weightchange,WIND R       29.0023,CARSON NFH,WIND R       29.0023,WA,CECR,WIND,N,,,1955,,,,,,,15635222,,"15,635,222"
N,4.1,20040126,NIFC,MAKA,14,!14200300102,,,,,,1,3,2002,20030530,20030530,3F21704  200010 R,3F21704  200010 H,3F21704  200015 S,G,H,,FR,8.25,,N,,,,,0,99840,,,99840,B,,,,,COOP W/ USFWS,EDUCKET CR   20.0010,EDUCKET CR HATCHERY,TSOO-YESS R      20.0015,WA,NWC,QUHO,C,,,1956,,,,,,,23129425,,"23,129,425"
N,4.1,20160414,YAKA,YAKA,11,!11YNKL0215,,,,,,1,1,2013,20150316,20150320,3F42001  300002 H,3F42001  300002 H,3F42001  300002 S,S,H,P,MX,26.07,117,N,,,,,5000,292940,,,292940,B,,,,,AD,KLICKITAT HATCHERY (YKFP),KLICKITAT HATCHERY (YKFP),KLICKITAT R  30.0002,WA,CECR,KLIC,N,,,1967,82400,86238,,,,,,,"168,638"
T,4.1,20160829,QDNR,QDNR,17,211167,12,,,,,1,,2015,2016,2016,,3F21702  210398 H,,,H,,,,,,,,,,,,,,0,,,,,,,NA,QUINAULT LK HATCHERY,NA,NA,,,N,,,1970,,,,,,,91284,,"91,284"
T,4.1,20151207,FWS,FWS,7,501010914,3,,,,,1,7,2007,20070521,20070904,6FCSASAC,6FCSABAT CNFH,6FCSABAT CNFH,F,H,E,FR,1.76,57,N,5009,68039,,,5009,342,,,68381,C,0.005,23,200,,"GCID Study Group-paint mark; 3,733 on 7/16 and 2,696 on 9/4 released at Coleman",SAC R COLUSA TO RBDD,COLEMAN NFH,COLEMAN NFH,CA,SAFA,SACR,N,,,1971,14522,,,,,,,,"14,522"
T,4.1,20160829,QDNR,QDNR,17,211168,12,,,,,1,,2015,2016,2016,,3F21702  210398 H,,,H,,,,,,,,,,,,,,0,,,,,,,NA,QUINAULT LK HATCHERY,NA,NA,,,N,,,1972,53721,108247,,,,,11157367,,"11,319,335"
T,4.1,20160414,YAKA,YAKA,11,636679,13,,,,,1,8,2014,20150622,20150626,3F42001  300002 H,3F42001  300002 H,3F42001  290131 S02,S,H,P,MX,5.34,77,N,5000,449346,,,,,,,449346,B,,,,,AD + CWT,KLICKITAT HATCHERY (YKFP),KLICKITAT HATCHERY (YKFP),LTL WHITE SALMON-NFH,WA,CECR,KLIC,N,,,1973,204000,9697,,,,,10377263,,"10,590,960"
