Year,Group,escapement
1976,"Above Bonneville (spring, 311)",14357
1977,"Above Bonneville (spring, 311)",14357
1978,"Above Bonneville (spring, 311)",14357
1979,"Above Bonneville (spring, 311)",14357
1980,"Above Bonneville (spring, 311)",14357
1981,"Above Bonneville (spring, 311)",26365
1982,"Above Bonneville (spring, 311)",26365
1983,"Above Bonneville (spring, 311)",26365
1984,"Above Bonneville (spring, 311)",26365
1985,"Above Bonneville (spring, 311)",26365
1986,"Above Bonneville (spring, 311)",38810
1987,"Above Bonneville (spring, 311)",38810
1988,"Above Bonneville (spring, 311)",38810
1989,"Above Bonneville (spring, 311)",38810
1990,"Above Bonneville (spring, 311)",38810
1991,"Above Bonneville (spring, 311)",21284
1992,"Above Bonneville (spring, 311)",21284
1993,"Above Bonneville (spring, 311)",21284
1994,"Above Bonneville (spring, 311)",21284
1995,"Above Bonneville (spring, 311)",21284
1996,"Above Bonneville (spring, 311)",9089
1997,"Above Bonneville (spring, 311)",50229
1998,"Above Bonneville (spring, 311)",17110
1999,"Above Bonneville (spring, 311)",10017
2000,"Above Bonneville (spring, 311)",51435
2001,"Above Bonneville (spring, 311)",222102
2002,"Above Bonneville (spring, 311)",117924
2003,"Above Bonneville (spring, 311)",100177
2004,"Above Bonneville (spring, 311)",91279
2005,"Above Bonneville (spring, 311)",49277
2006,"Above Bonneville (spring, 311)",41312
2007,"Above Bonneville (spring, 311)",41360
2008,"Above Bonneville (spring, 311)",94038
2009,"Above Bonneville (spring, 311)",83413
2010,"Above Bonneville (spring, 311)",149652
2011,"Above Bonneville (spring, 311)",115279
2012,"Above Bonneville (spring, 311)",95249
2013,"Above Bonneville (spring, 311)",52804
2014,"Above Bonneville (spring, 311)",106661
2015,"Above Bonneville (spring, 311)",133360
1971,"Below Bonneville (summer, 322)",19900
1972,"Below Bonneville (summer, 322)",19900
1973,"Below Bonneville (summer, 322)",19900
1974,"Below Bonneville (summer, 322)",19900
1975,"Below Bonneville (summer, 322)",19900
1976,"Below Bonneville (summer, 322)",25856
1977,"Below Bonneville (summer, 322)",25856
1978,"Below Bonneville (summer, 322)",25856
1979,"Below Bonneville (summer, 322)",25856
