	Analysis Date	Sample	Museum	Sample ID	Analysis #	Amount (mg)	Comments		PeakArea N (Vs)	N quantity (ug)	Percent N Accuracy	Percent N Precision	d15N vs Air N2 (permil)	d15N Accuracy	d15N Precision		PeakArea C (Vs)	C quantity (ug)	Percent C Accuracy	Percent C Precision	d13C vs VPDB (permil)	d13C Accuracy	d13C Precision
	20190202	1_A1	UWBM	BM_80772	100469	0.311		 	202.6393	46.7091	-0.061295	0.063322	16.5705	-0.04856	0.023651	 	99.244	127.7654	-0.55485	0.1527	-10.9489	0.034222	0.023196
	20190202	1_A2	UWBM	BM_Makah 2017	100470	0.297		 	186.4613	43.0163	-0.061295	0.063322	16.7439	-0.04856	0.023651	 	94.388	121.6829	-0.55485	0.1527	-14.4187	0.034222	0.023196
	20190202	1_A3	UWBM	BM_80783	100471	0.313		 	202.6833	46.7192	-0.061295	0.063322	16.9459	-0.04856	0.023651	 	100.176	128.9328	-0.55485	0.1527	-13.115	0.034222	0.023196
	20190202	1_A4	UWBM	BM_80777	100472	0.31		 	193.6193	44.6502	-0.061295	0.063322	17.2891	-0.04856	0.023651	 	99.849	128.5232	-0.55485	0.1527	-13.1147	0.034222	0.023196
	20190202	1_A5	UWBM	BM_51213	100473	0.312		 	194.9873	44.9625	-0.061295	0.063322	19.7667	-0.04856	0.023651	 	97.301	125.3317	-0.55485	0.1527	-10.4525	0.034222	0.023196
	20190202	1_A6	UWBM	BM_80776	100474	0.312		 	155.8453	36.0278	-0.061295	0.063322	17.5523	-0.04856	0.023651	 	81.975	106.1348	-0.55485	0.1527	-12.3599	0.034222	0.023196
	20190202	1_A7	UWBM	BM_82685	100475	0.312		 	183.4503	42.329	-0.061295	0.063322	18.71	-0.04856	0.023651	 	92.659	119.5172	-0.55485	0.1527	-13.3727	0.034222	0.023196
	20190202	1_A8	UWBM	BM_80782	100476	0.306		 	200.9113	46.3147	-0.061295	0.063322	17.1076	-0.04856	0.023651	 	98.085	126.3137	-0.55485	0.1527	-11.9114	0.034222	0.023196
	20190202	1_A9	UWBM	BM_80778	100480	0.306		 	209.7373	48.3294	-0.061295	0.063322	16.2282	-0.04856	0.023651	 	101.863	131.0459	-0.55485	0.1527	-12.8056	0.034222	0.023196
	20190202	1_A10	UWBM	BM_80780	100481	0.301		 	177.6253	40.9994	-0.061295	0.063322	17.2182	-0.04856	0.023651	 	89.239	115.2334	-0.55485	0.1527	-11.1575	0.034222	0.023196
	20190202	1_A11	UWBM	BM_80780_2	100482	0.302		 	182.1953	42.0425	-0.061295	0.063322	17.2098	-0.04856	0.023651	 	91.031	117.478	-0.55485	0.1527	-11.0196	0.034222	0.023196
	20190202	1_A12	UWBM	BM_51206	100483	0.317		 	209.1953	48.2056	-0.061295	0.063322	17.4742	-0.04856	0.023651	 	103.217	132.7419	-0.55485	0.1527	-11.8316	0.034222	0.023196
	20190202	1_B1	SM	SM_16096	100484	0.309		 	189.9053	43.8024	-0.061295	0.063322	16.851	-0.04856	0.023651	 	96.846	124.7617	-0.55485	0.1527	-13.4157	0.034222	0.023196
	20190202	1_B2	NMML	NMML_2044	100485	0.304		 	182.3603	42.0802	-0.061295	0.063322	17.9678	-0.04856	0.023651	 	91.804	118.4463	-0.55485	0.1527	-13.3601	0.034222	0.023196
	20190202	1_B3	NMML	NMML_2233	100486	0.31		 	207.0293	47.7112	-0.061295	0.063322	17.0187	-0.04856	0.023651	 	103.335	132.8897	-0.55485	0.1527	-12.5233	0.034222	0.023196
	20190202	1_B4	NMML	NMML_2065	100490	0.298		 	185.3993	42.7739	-0.061295	0.063322	16.9694	-0.04856	0.023651	 	93.178	120.1673	-0.55485	0.1527	-12.3241	0.034222	0.023196
	20190202	1_B5	NMML	NMML_2234	100491	0.308		 	185.3993	42.7739	-0.061295	0.063322	16.3416	-0.04856	0.023651	 	93.934	121.1143	-0.55485	0.1527	-13.1792	0.034222	0.023196
	20190202	1_B6	NMML	NMML_2066	100492	0.317		 	211.8433	48.8101	-0.061295	0.063322	17.7061	-0.04856	0.023651	 	104.404	134.2287	-0.55485	0.1527	-13.2923	0.034222	0.023196
