River,LocationName,CollectionDate,Qm3s,Time,Nitrate,d18Owater
A,CEDAR RIVER AT LOGAN ST/RENTON,6/8/15,8.648341296,1,0.107,-10.664
A,CEDAR RIVER AT LOGAN ST/RENTON,2/8/16,37.24635643,2,0.17,-10.717
A,CEDAR RIVER AT LOGAN ST/RENTON,3/7/16,59.91444304,3,0.199,-11.118
A,CEDAR RIVER AT LOGAN ST/RENTON,1/12/15,38.74031172,4,0.218,-10.899
A,CEDAR RIVER AT LOGAN ST/RENTON,11/3/14,17.26348359,5,0.389,-10.856
A,CEDAR RIVER AT LOGAN ST/RENTON,9/21/15,3.770040165,6,0.277,-10.099
A,CEDAR RIVER AT LOGAN ST/RENTON,10/13/14,7.950185711,7,0.268,0
A,CEDAR RIVER AT LOGAN ST/RENTON,7/11/16,9.151208607,8,0.167,-10.484
A,CEDAR RIVER AT LOGAN ST/RENTON,12/7/15,43.12160419,9,0.163,-10.938
A,CEDAR RIVER AT LOGAN ST/RENTON,12/8/14,35.18997087,10,0.11,-10.843
A,CEDAR RIVER AT LOGAN ST/RENTON,9/12/16,3.996574565,11,0.175,-10.534
A,CEDAR RIVER AT LOGAN ST/RENTON,1/4/16,58.43611077,12,0.104,-10.348
A,CEDAR RIVER AT LOGAN ST/RENTON,5/11/15,9.975325132,13,0.144,-10.619
A,CEDAR RIVER AT LOGAN ST/RENTON,8/22/16,4.414491475,14,0.635,-10.385
A,CEDAR RIVER AT LOGAN ST/RENTON,7/13/15,7.510787089,15,0.518,-10.1755
A,CEDAR RIVER AT LOGAN ST/RENTON,6/13/16,9.567172635,16,0.545,-10.635
A,CEDAR RIVER AT LOGAN ST/RENTON,8/17/15,3.71535945,17,0.251,-10.315
A,CEDAR RIVER AT LOGAN ST/RENTON,4/11/16,24.59753479,18,0.203,-10.675
A,CEDAR RIVER AT LOGAN ST/RENTON,4/13/15,14.88096662,19,0.207,-10.485
A,CEDAR RIVER AT LOGAN ST/RENTON,2/9/15,38.21205694,20,0.19,-10.467
A,CEDAR RIVER AT LOGAN ST/RENTON,3/9/15,25.63158621,21,0.152,-10.467
A,CEDAR RIVER AT LOGAN ST/RENTON,10/12/15,6.891723254,22,0.174,-9.755
A,CEDAR RIVER AT LOGAN ST/RENTON,11/2/15,11.22224077,23,0.186,-9.598
A,CEDAR RIVER AT LOGAN ST/RENTON,5/9/16,13.39286996,24,0.15,-10.686
F,SKAGIT RIVER NEAR MOUNT VERNON,5/11/16,510.9717739,1,0.108,-13.884
F,SKAGIT RIVER NEAR MOUNT VERNON,10/14/15,287.6596304,2,0.149,-12.777
F,SKAGIT RIVER NEAR MOUNT VERNON,8/19/15,189.1952816,3,0.103,-13.652
F,SKAGIT RIVER NEAR MOUNT VERNON,2/10/16,643.2795807,4,0.149,-13.429
F,SKAGIT RIVER NEAR MOUNT VERNON,9/23/15,252.5467984,5,0.136,-12.652
F,SKAGIT RIVER NEAR MOUNT VERNON,10/15/14,261.8034626,6,0.107,0
F,SKAGIT RIVER NEAR MOUNT VERNON,5/13/15,321.4933243,7,0.119,-13.591
F,SKAGIT RIVER NEAR MOUNT VERNON,6/10/15,328.7678125,8,0.036,-13.815
F,SKAGIT RIVER NEAR MOUNT VERNON,1/6/16,594.1645793,9,0.037,-13.406
F,SKAGIT RIVER NEAR MOUNT VERNON,11/5/14,580.4944,10,0.029,0
F,SKAGIT RIVER NEAR MOUNT VERNON,6/15/16,510.5811972,11,0.015,-13.783
F,SKAGIT RIVER NEAR MOUNT VERNON,3/9/16,750.5904882,12,0.068,-13.311
F,SKAGIT RIVER NEAR MOUNT VERNON,7/15/15,247.3814235,13,0.098,-13.759
F,SKAGIT RIVER NEAR MOUNT VERNON,4/15/15,438.0316028,14,0.195,-13.396
F,SKAGIT RIVER NEAR MOUNT VERNON,12/10/14,819.5272496,15,0.113,0
F,SKAGIT RIVER NEAR MOUNT VERNON,8/24/16,256.9017269,16,0.156,-13.992
