"","X","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s","TP.GLU","TP.ALA","TP.ASP","TP.VAL","TP.PRO","TPmean"
"1",1,"BM_20228",13.29155738,24.03993288,22.55807163,NA,25.88973439,10.86231661,28.54661061,NA,-14.97925227,16.09664186,27.22275,12.03325,1959,"Coastal",NA,"",46.0999,-123.935,"WA",NA,NA,NA,NA,NA,1960,NA,4.88801892561984,6.68693511363636,5.09385483606557,2.90977122605364,3.60968738219895,4.63765349671487
"2",2,"BM_32052",13.82677456,22.14576263,22.85177626,NA,22.45310278,9.919833049,27.23310108,NA,-18.20001079,18.13917547,23.572,10.878,1977,"Inland",92,"M",48.2933,-122.5985228,"WA",NA,NA,NA,NA,NA,1978,NA,4.78069736433884,6.539367966875,4.98741295971311,2.86001678576628,3.54169833028796,4.54183868139624
"3",3,"BM_32053",17.99134894,24.54154167,25.2605,NA,24.52154167,13.6774433,28.30520833,NA,-3.935905069,19.84966667,28.351,10.08666667,1977,"Inland",NA,"M",48.225,-122.7689,"WA",NA,NA,NA,NA,NA,1978,NA,4.00389897561984,5.47127018238636,4.21698177090164,2.49989186226054,3.04959045052356,3.84832664833839
"4",4,"BM_32516",15.42084278,20.81010223,25.0977573,NA,9.179434708,NA,25.11268428,NA,NA,NA,28.032,8.5615,1979,"Coastal",133,"F",46.3525,-124.0531,"WA",NA,NA,NA,NA,NA,1980,NA,NA,NA,NA,NA,NA,NA
"5",5,"BM_34967",20.15124485,21.84407474,25.7273256,NA,27.06912758,11.93828522,25.48749785,NA,-13.77413531,13.02749012,26.87166667,9.890666667,1987,"Coastal",124,"F",46.185552,-123.187834,"WA",NA,NA,NA,NA,NA,1988,NA,3.69192100867769,5.04230047784091,3.90756100040984,2.355258398659,2.85194995837696,3.56979816879288
"6",6,"BM_34969",15.47317444,24.024625,23.94979167,NA,25.52725,12.55011945,27.69229167,NA,-3.870218546,18.82433333,29.46666667,11.04266667,1987,"Coastal",104,"M",42.2706,-123.4558,"WA",NA,NA,NA,NA,NA,1988,NA,4.15269444380165,5.67586395113636,4.36455760409836,2.56887366934866,3.14385354816754,3.98116864331051
"7",7,"BM_34974",21.85508417,21.56076654,27.02557781,NA,20.7483262,9.545861254,24.9448417,NA,NA,19.71933333,NA,12.178,1987,"Coastal",123,"M",46.1408,-123.2525,"WA",NA,NA,NA,NA,NA,1988,NA,4.22697781495868,5.77800358647727,4.43823209516393,2.6033115540613,3.19091264717277,4.04748753956679
"8",8,"BM_34983",15.82907313,24.26587135,23.63908827,NA,20.75247541,9.275568299,24.26778952,NA,-12.06914991,15.54855735,28.436,10.67383333,1986,"Coastal",106,"M",46.185552,-123.187834,"WA",NA,NA,NA,NA,NA,1987,NA,4.10932018789256,5.61622434926136,4.32153887487705,2.54876529783525,3.11637561641361,3.94244486525597
"9",9,"BM_34988",7.991490588,23.82843342,27.38628651,NA,26.56309192,12.64108407,28.90800816,NA,-21.64469864,17.389,31.37466667,10.72466667,1987,"Coastal",138,"M",46.1583,-123.2531,"WA",NA,NA,NA,NA,NA,1988,NA,4.47803589380166,6.12320844488636,4.68723232090164,2.71970246417625,3.3499599117801,4.2716278071092
"10",10,"BM_34989",14.54837865,22.95908162,22.74430326,NA,25.87286813,11.16191237,29.17720619,NA,-26.61213359,20.11066667,28.43166667,11.00133333,1987,"Coastal",119,"F",46.185552,-123.187834,"WA",NA,NA,NA,NA,NA,1988,NA,4.98376267520661,6.81858276931818,5.18881380081967,2.95415817509579,3.67034179947644,4.72313184398334
